response,response_label,unit,permutation,n_runs,estimate,contrast,cover_value,cover_label,final_estimate,estimate_centered
Prec,Precipitation,mm,1,2,2.84996084508202,PF - SF[e],0.25,25% cover,3.7387473526835,-0.888786507601485
Prec,Precipitation,mm,1,3,2.16728960134196,PF - SF[e],0.25,25% cover,3.7387473526835,-1.57145775134154
Prec,Precipitation,mm,1,4,2.84996084508202,PF - SF[e],0.25,25% cover,3.7387473526835,-0.888786507601485
Prec,Precipitation,mm,1,5,3.53263208882208,PF - SF[e],0.25,25% cover,3.7387473526835,-0.206115263861425
Prec,Precipitation,mm,1,6,3.16206020307618,PF - SF[e],0.25,25% cover,3.7387473526835,-0.576687149607325
Prec,Precipitation,mm,1,7,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,1,8,3.10563268722081,PF - SF[e],0.25,25% cover,3.7387473526835,-0.6331146654627
Prec,Precipitation,mm,1,9,2.96467296102946,PF - SF[e],0.25,25% cover,3.7387473526835,-0.774074391654045
Prec,Precipitation,mm,1,10,3.1922250090704,PF - SF[e],0.25,25% cover,3.7387473526835,-0.54652234361311
Prec,Precipitation,mm,1,11,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,1,12,3.47620457296671,PF - SF[e],0.25,25% cover,3.7387473526835,-0.262542779716799
Prec,Precipitation,mm,1,13,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,1,14,3.47620457296671,PF - SF[e],0.25,25% cover,3.7387473526835,-0.262542779716799
Prec,Precipitation,mm,1,15,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,1,16,3.47620457296671,PF - SF[e],0.25,25% cover,3.7387473526835,-0.262542779716799
Prec,Precipitation,mm,1,17,3.53263208882208,PF - SF[e],0.25,25% cover,3.7387473526835,-0.206115263861425
Prec,Precipitation,mm,1,18,3.69883292399868,PF - SF[e],0.25,25% cover,3.7387473526835,-0.039914428684825
Prec,Precipitation,mm,1,19,3.53263208882208,PF - SF[e],0.25,25% cover,3.7387473526835,-0.206115263861425
Prec,Precipitation,mm,1,20,3.47620457296671,PF - SF[e],0.25,25% cover,3.7387473526835,-0.262542779716799
Prec,Precipitation,mm,1,21,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,1,22,3.47620457296671,PF - SF[e],0.25,25% cover,3.7387473526835,-0.262542779716799
Prec,Precipitation,mm,1,23,3.53263208882208,PF - SF[e],0.25,25% cover,3.7387473526835,-0.206115263861425
Prec,Precipitation,mm,1,24,3.47620457296671,PF - SF[e],0.25,25% cover,3.7387473526835,-0.262542779716799
Prec,Precipitation,mm,1,25,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,1,26,3.47620457296671,PF - SF[e],0.25,25% cover,3.7387473526835,-0.262542779716799
Prec,Precipitation,mm,1,27,3.53263208882208,PF - SF[e],0.25,25% cover,3.7387473526835,-0.206115263861425
Prec,Precipitation,mm,1,28,3.57254651750691,PF - SF[e],0.25,25% cover,3.7387473526835,-0.1662008351766
Prec,Precipitation,mm,1,29,3.61246094619173,PF - SF[e],0.25,25% cover,3.7387473526835,-0.126286406491775
Prec,Precipitation,mm,1,30,3.7387473526835,PF - SF[e],0.25,25% cover,3.7387473526835,0
Prec,Precipitation,mm,2,2,2.58062870136746,PF - SF[e],0.25,25% cover,3.7387473526835,-1.15811865131605
Prec,Precipitation,mm,2,3,4.55224776700197,PF - SF[e],0.25,25% cover,3.7387473526835,0.813500414318465
Prec,Precipitation,mm,2,4,4.44389632865909,PF - SF[e],0.25,25% cover,3.7387473526835,0.705148975975585
Prec,Precipitation,mm,2,5,4.33554489031621,PF - SF[e],0.25,25% cover,3.7387473526835,0.596797537632705
Prec,Precipitation,mm,2,6,4.44389632865909,PF - SF[e],0.25,25% cover,3.7387473526835,0.705148975975585
Prec,Precipitation,mm,2,7,4.55224776700197,PF - SF[e],0.25,25% cover,3.7387473526835,0.813500414318465
Prec,Precipitation,mm,2,8,5.72925696617176,PF - SF[e],0.25,25% cover,3.7387473526835,1.99050961348826
Prec,Precipitation,mm,2,9,6.90626616534155,PF - SF[e],0.25,25% cover,3.7387473526835,3.16751881265805
Prec,Precipitation,mm,2,10,5.72925696617176,PF - SF[e],0.25,25% cover,3.7387473526835,1.99050961348826
Prec,Precipitation,mm,2,11,4.55224776700197,PF - SF[e],0.25,25% cover,3.7387473526835,0.813500414318465
Prec,Precipitation,mm,2,12,5.46230856760576,PF - SF[e],0.25,25% cover,3.7387473526835,1.72356121492226
Prec,Precipitation,mm,2,13,6.14249961626047,PF - SF[e],0.25,25% cover,3.7387473526835,2.40375226357697
Prec,Precipitation,mm,2,14,5.8128985814642,PF - SF[e],0.25,25% cover,3.7387473526835,2.0741512287807
Prec,Precipitation,mm,2,15,5.48329754666793,PF - SF[e],0.25,25% cover,3.7387473526835,1.74455019398443
Prec,Precipitation,mm,2,16,5.01777265683495,PF - SF[e],0.25,25% cover,3.7387473526835,1.27902530415145
Prec,Precipitation,mm,2,17,4.55224776700197,PF - SF[e],0.25,25% cover,3.7387473526835,0.813500414318465
Prec,Precipitation,mm,2,18,5.01777265683495,PF - SF[e],0.25,25% cover,3.7387473526835,1.27902530415145
Prec,Precipitation,mm,2,19,4.55224776700197,PF - SF[e],0.25,25% cover,3.7387473526835,0.813500414318465
Prec,Precipitation,mm,2,20,4.44389632865909,PF - SF[e],0.25,25% cover,3.7387473526835,0.705148975975585
Prec,Precipitation,mm,2,21,4.55224776700197,PF - SF[e],0.25,25% cover,3.7387473526835,0.813500414318465
Prec,Precipitation,mm,2,22,4.44389632865909,PF - SF[e],0.25,25% cover,3.7387473526835,0.705148975975585
Prec,Precipitation,mm,2,23,4.33554489031621,PF - SF[e],0.25,25% cover,3.7387473526835,0.596797537632705
Prec,Precipitation,mm,2,24,4.44389632865909,PF - SF[e],0.25,25% cover,3.7387473526835,0.705148975975585
Prec,Precipitation,mm,2,25,4.55224776700197,PF - SF[e],0.25,25% cover,3.7387473526835,0.813500414318465
Prec,Precipitation,mm,2,26,4.44389632865909,PF - SF[e],0.25,25% cover,3.7387473526835,0.705148975975585
Prec,Precipitation,mm,2,27,4.33554489031621,PF - SF[e],0.25,25% cover,3.7387473526835,0.596797537632705
Prec,Precipitation,mm,2,28,4.10028932474575,PF - SF[e],0.25,25% cover,3.7387473526835,0.36154197206224
Prec,Precipitation,mm,2,29,3.86503375917528,PF - SF[e],0.25,25% cover,3.7387473526835,0.126286406491775
Prec,Precipitation,mm,2,30,3.7387473526835,PF - SF[e],0.25,25% cover,3.7387473526835,0
Prec,Precipitation,mm,3,2,3.26863235909309,PF - SF[e],0.25,25% cover,3.7387473526835,-0.470114993590413
Prec,Precipitation,mm,3,3,2.96467296102946,PF - SF[e],0.25,25% cover,3.7387473526835,-0.774074391654045
Prec,Precipitation,mm,3,4,3.1922250090704,PF - SF[e],0.25,25% cover,3.7387473526835,-0.54652234361311
Prec,Precipitation,mm,3,5,2.96467296102946,PF - SF[e],0.25,25% cover,3.7387473526835,-0.774074391654045
Prec,Precipitation,mm,3,6,2.56598128118571,PF - SF[e],0.25,25% cover,3.7387473526835,-1.17276607149779
Prec,Precipitation,mm,3,7,2.96467296102946,PF - SF[e],0.25,25% cover,3.7387473526835,-0.774074391654045
Prec,Precipitation,mm,3,8,3.1922250090704,PF - SF[e],0.25,25% cover,3.7387473526835,-0.54652234361311
Prec,Precipitation,mm,3,9,2.96467296102946,PF - SF[e],0.25,25% cover,3.7387473526835,-0.774074391654045
Prec,Precipitation,mm,3,10,3.1922250090704,PF - SF[e],0.25,25% cover,3.7387473526835,-0.54652234361311
Prec,Precipitation,mm,3,11,3.10575573321694,PF - SF[e],0.25,25% cover,3.7387473526835,-0.632991619466565
Prec,Precipitation,mm,3,12,3.26276639516414,PF - SF[e],0.25,25% cover,3.7387473526835,-0.475980957519369
Prec,Precipitation,mm,3,13,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,3,14,3.51611900165153,PF - SF[e],0.25,25% cover,3.7387473526835,-0.222628351031974
Prec,Precipitation,mm,3,15,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,3,16,3.35657484846547,PF - SF[e],0.25,25% cover,3.7387473526835,-0.382172504218035
Prec,Precipitation,mm,3,17,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,3,18,3.35657484846547,PF - SF[e],0.25,25% cover,3.7387473526835,-0.382172504218035
Prec,Precipitation,mm,3,19,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,3,20,3.47620457296671,PF - SF[e],0.25,25% cover,3.7387473526835,-0.262542779716799
Prec,Precipitation,mm,3,21,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
