response,response_label,unit,permutation,n_runs,estimate,contrast,cover_value,cover_label,final_estimate,estimate_centered
Prec,Precipitation,mm,1,2,-7.34043811101878,PF - SF[e],0.25,25% cover,-5.66935652462075,-1.67108158639803
Prec,Precipitation,mm,1,3,-8.97821005212836,PF - SF[e],0.25,25% cover,-5.66935652462075,-3.30885352750761
Prec,Precipitation,mm,1,4,-7.34043811101878,PF - SF[e],0.25,25% cover,-5.66935652462075,-1.67108158639803
Prec,Precipitation,mm,1,5,-6.3399950765297,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.670638551908946
Prec,Precipitation,mm,1,6,-6.72470173923898,PF - SF[e],0.25,25% cover,-5.66935652462075,-1.05534521461823
Prec,Precipitation,mm,1,7,-6.3399950765297,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.670638551908946
Prec,Precipitation,mm,1,8,-6.02133062321946,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.351974098598701
Prec,Precipitation,mm,1,9,-5.70266616990921,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.0333096452884556
Prec,Precipitation,mm,1,10,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,1,11,-5.70266616990921,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.0333096452884556
Prec,Precipitation,mm,1,12,-5.71002862062301,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.0406720960022557
Prec,Precipitation,mm,1,13,-5.70266616990921,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.0333096452884556
Prec,Precipitation,mm,1,14,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,1,15,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,1,16,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,1,17,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,1,18,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,1,19,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,1,20,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,1,21,-5.70266616990921,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.0333096452884556
Prec,Precipitation,mm,1,22,-5.71002862062301,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.0406720960022557
Prec,Precipitation,mm,1,23,-5.70266616990921,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.0333096452884556
Prec,Precipitation,mm,1,24,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,1,25,-5.70266616990921,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.0333096452884556
Prec,Precipitation,mm,1,26,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,1,27,-5.70266616990921,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.0333096452884556
Prec,Precipitation,mm,1,28,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,1,29,-5.70266616990921,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.0333096452884556
