response,response_label,unit,permutation,n_runs,estimate,contrast,cover_value,cover_label,final_estimate,estimate_centered
Prec,Precipitation,mm,1,2,3.73593808542649,PF - SF[e],0.25,25% cover,1.39245086560322,2.34348721982327
Prec,Precipitation,mm,1,3,3.31088751038442,PF - SF[e],0.25,25% cover,1.39245086560322,1.9184366447812
Prec,Precipitation,mm,1,4,2.32845083878351,PF - SF[e],0.25,25% cover,1.39245086560322,0.93599997318029
Prec,Precipitation,mm,1,5,1.3460141671826,PF - SF[e],0.25,25% cover,1.39245086560322,-0.0464366984206199
Prec,Precipitation,mm,1,6,2.32845083878351,PF - SF[e],0.25,25% cover,1.39245086560322,0.93599997318029
Prec,Precipitation,mm,1,7,1.3460141671826,PF - SF[e],0.25,25% cover,1.39245086560322,-0.0464366984206199
Prec,Precipitation,mm,1,8,2.32845083878351,PF - SF[e],0.25,25% cover,1.39245086560322,0.93599997318029
Prec,Precipitation,mm,1,9,2.63504530252771,PF - SF[e],0.25,25% cover,1.39245086560322,1.24259443692449
Prec,Precipitation,mm,1,10,2.97296640645607,PF - SF[e],0.25,25% cover,1.39245086560322,1.58051554085284
Prec,Precipitation,mm,1,11,2.79037180474347,PF - SF[e],0.25,25% cover,1.39245086560322,1.39792093914025
Prec,Precipitation,mm,1,12,2.87961153467006,PF - SF[e],0.25,25% cover,1.39245086560322,1.48716066906684
Prec,Precipitation,mm,1,13,2.79037180474347,PF - SF[e],0.25,25% cover,1.39245086560322,1.39792093914025
Prec,Precipitation,mm,1,14,2.71270855363559,PF - SF[e],0.25,25% cover,1.39245086560322,1.32025768803237
Prec,Precipitation,mm,1,15,2.63504530252771,PF - SF[e],0.25,25% cover,1.39245086560322,1.24259443692449
Prec,Precipitation,mm,1,16,2.71270855363559,PF - SF[e],0.25,25% cover,1.39245086560322,1.32025768803237
Prec,Precipitation,mm,1,17,2.63504530252771,PF - SF[e],0.25,25% cover,1.39245086560322,1.24259443692449
Prec,Precipitation,mm,1,18,2.71270855363559,PF - SF[e],0.25,25% cover,1.39245086560322,1.32025768803237
Prec,Precipitation,mm,1,19,2.63504530252771,PF - SF[e],0.25,25% cover,1.39245086560322,1.24259443692449
Prec,Precipitation,mm,1,20,1.99052973485516,PF - SF[e],0.25,25% cover,1.39245086560322,0.598078869251935
Prec,Precipitation,mm,1,21,1.3460141671826,PF - SF[e],0.25,25% cover,1.39245086560322,-0.0464366984206199
Prec,Precipitation,mm,1,22,1.99052973485516,PF - SF[e],0.25,25% cover,1.39245086560322,0.598078869251935
Prec,Precipitation,mm,1,23,1.3460141671826,PF - SF[e],0.25,25% cover,1.39245086560322,-0.0464366984206199
Prec,Precipitation,mm,1,24,1.30572369856873,PF - SF[e],0.25,25% cover,1.39245086560322,-0.0867271670344949
Prec,Precipitation,mm,1,25,1.3460141671826,PF - SF[e],0.25,25% cover,1.39245086560322,-0.0464366984206199
Prec,Precipitation,mm,1,26,1.30572369856873,PF - SF[e],0.25,25% cover,1.39245086560322,-0.0867271670344949
Prec,Precipitation,mm,1,27,1.3460141671826,PF - SF[e],0.25,25% cover,1.39245086560322,-0.0464366984206199
Prec,Precipitation,mm,1,28,1.30572369856873,PF - SF[e],0.25,25% cover,1.39245086560322,-0.0867271670344949
Prec,Precipitation,mm,1,29,1.3460141671826,PF - SF[e],0.25,25% cover,1.39245086560322,-0.0464366984206199
Prec,Precipitation,mm,1,30,1.39245086560322,PF - SF[e],0.25,25% cover,1.39245086560322,0
Prec,Precipitation,mm,2,2,2.41044217984267,PF - SF[e],0.25,25% cover,1.39245086560322,1.01799131423945
Prec,Precipitation,mm,2,3,0.739826410462456,PF - SF[e],0.25,25% cover,1.39245086560322,-0.652624455140764
Prec,Precipitation,mm,2,4,0.394304350904122,PF - SF[e],0.25,25% cover,1.39245086560322,-0.998146514699098
Prec,Precipitation,mm,2,5,0.0487822913457876,PF - SF[e],0.25,25% cover,1.39245086560322,-1.34366857425743
Prec,Precipitation,mm,2,6,0.31243966871898,PF - SF[e],0.25,25% cover,1.39245086560322,-1.08001119688424
Prec,Precipitation,mm,2,7,0.576097046092173,PF - SF[e],0.25,25% cover,1.39245086560322,-0.816353819511047
Prec,Precipitation,mm,2,8,0.657961728277314,PF - SF[e],0.25,25% cover,1.39245086560322,-0.734489137325905
Prec,Precipitation,mm,2,9,0.576097046092173,PF - SF[e],0.25,25% cover,1.39245086560322,-0.816353819511047
Prec,Precipitation,mm,2,10,0.657961728277314,PF - SF[e],0.25,25% cover,1.39245086560322,-0.734489137325905
Prec,Precipitation,mm,2,11,0.576097046092173,PF - SF[e],0.25,25% cover,1.39245086560322,-0.816353819511047
Prec,Precipitation,mm,2,12,0.657961728277314,PF - SF[e],0.25,25% cover,1.39245086560322,-0.734489137325905
Prec,Precipitation,mm,2,13,0.576097046092173,PF - SF[e],0.25,25% cover,1.39245086560322,-0.816353819511047
Prec,Precipitation,mm,2,14,0.657961728277314,PF - SF[e],0.25,25% cover,1.39245086560322,-0.734489137325905
Prec,Precipitation,mm,2,15,0.739826410462456,PF - SF[e],0.25,25% cover,1.39245086560322,-0.652624455140764
Prec,Precipitation,mm,2,16,1.08935698724315,PF - SF[e],0.25,25% cover,1.39245086560322,-0.303093878360072
Prec,Precipitation,mm,2,17,1.43888756402384,PF - SF[e],0.25,25% cover,1.39245086560322,0.0464366984206202
Prec,Precipitation,mm,2,18,1.08935698724315,PF - SF[e],0.25,25% cover,1.39245086560322,-0.303093878360072
Prec,Precipitation,mm,2,19,1.43888756402384,PF - SF[e],0.25,25% cover,1.39245086560322,0.0464366984206202
Prec,Precipitation,mm,2,20,1.08935698724315,PF - SF[e],0.25,25% cover,1.39245086560322,-0.303093878360072
Prec,Precipitation,mm,2,21,1.43888756402384,PF - SF[e],0.25,25% cover,1.39245086560322,0.0464366984206202
Prec,Precipitation,mm,2,22,1.08935698724315,PF - SF[e],0.25,25% cover,1.39245086560322,-0.303093878360072
Prec,Precipitation,mm,2,23,1.43888756402384,PF - SF[e],0.25,25% cover,1.39245086560322,0.0464366984206202
Prec,Precipitation,mm,2,24,1.71881621718933,PF - SF[e],0.25,25% cover,1.39245086560322,0.326365351586105
Prec,Precipitation,mm,2,25,1.43888756402384,PF - SF[e],0.25,25% cover,1.39245086560322,0.0464366984206202
Prec,Precipitation,mm,2,26,1.39245086560322,PF - SF[e],0.25,25% cover,1.39245086560322,0
