response,response_label,unit,contrast,cover_value,cover_label,n_runs,median,lower,upper
Evapo,ET,mm,PF - SF[a],0.25,25% cover,2,-0.487069320583647,-3.43569671117986,2.20555610599713
Evapo,ET,mm,PF - SF[a],0.25,25% cover,3,0.286649320799803,-3.2145600427208,1.9143450421702
Evapo,ET,mm,PF - SF[a],0.25,25% cover,4,-0.172933322535698,-2.76459354828362,1.73317288770555
Evapo,ET,mm,PF - SF[a],0.25,25% cover,5,0.286649320799803,-2.4642181577817,1.7351578826197
Evapo,ET,mm,PF - SF[a],0.25,25% cover,6,-0.0169940466129237,-2.38922129212305,1.56996930020178
Evapo,ET,mm,PF - SF[a],0.25,25% cover,7,0.244106982484002,-2.8777474645487,1.4738523445333
Evapo,ET,mm,PF - SF[a],0.25,25% cover,8,-0.0829318857828483,-2.44710413584597,1.35067873703199
Evapo,ET,mm,PF - SF[a],0.25,25% cover,9,0.244106982484002,-2.4237573426788,1.2238224908808
Evapo,ET,mm,PF - SF[a],0.25,25% cover,10,-0.0831904913846486,-2.38462073102725,1.12985574039055
Evapo,ET,mm,PF - SF[a],0.25,25% cover,11,-0.244106982483999,-2.3454841193757,1.0358889899003
Evapo,ET,mm,PF - SF[a],0.25,25% cover,12,-0.0722963012038989,-2.15638023420066,1.03837806360665
Evapo,ET,mm,PF - SF[a],0.25,25% cover,13,-0.244106982483999,-2.2401424175666,0.894424644063303
Evapo,ET,mm,PF - SF[a],0.25,25% cover,14,0,-2.08193110212025,0.844647884544301
Evapo,ET,mm,PF - SF[a],0.25,25% cover,15,-0.244106982483999,-2.2401424175666,0.851869764339401
Evapo,ET,mm,PF - SF[a],0.25,25% cover,16,0,-2.08193110212025,0.844647884544301
Evapo,ET,mm,PF - SF[a],0.25,25% cover,17,-0.244106982483999,-1.93163035244622,0.851869764339401
Evapo,ET,mm,PF - SF[a],0.25,25% cover,18,0,-2.06107448871455,0.823370444682354
Evapo,ET,mm,PF - SF[a],0.25,25% cover,19,-0.244106982483999,-1.88304939053278,0.794871125025303
Evapo,ET,mm,PF - SF[a],0.25,25% cover,20,0,-1.49345728344239,0.823370444682354
Evapo,ET,mm,PF - SF[a],0.25,25% cover,21,-0.244106982483999,-1.8820065598625,0.794871125025303
Evapo,ET,mm,PF - SF[a],0.25,25% cover,22,0,-1.49293586810725,0.7082217717616
Evapo,ET,mm,PF - SF[a],0.25,25% cover,23,0.244106982484002,-1.103865176352,0.621572418497902
Evapo,ET,mm,PF - SF[a],0.25,25% cover,24,0,-1.1459886569561,0.7082217717616
Evapo,ET,mm,PF - SF[a],0.25,25% cover,25,-0.244106982483999,-1.103865176352,0.621572418497902
Evapo,ET,mm,PF - SF[a],0.25,25% cover,26,0,-0.756917965200849,0.454110869648851
Evapo,ET,mm,PF - SF[a],0.25,25% cover,27,-0.244106982483999,-0.409970754049699,0.286649320799803
