response,response_label,unit,contrast,cover_value,cover_label,n_runs,median,lower,upper
Evapo,ET,mm,PF - SF[a],0.25,25% cover,2,-0.0284480270428524,-6.42810605429693,5.6343437896558
Evapo,ET,mm,PF - SF[a],0.25,25% cover,3,0.0226696060245502,-4.37476814268655,4.39948619712035
Evapo,ET,mm,PF - SF[a],0.25,25% cover,4,0,-3.88748708557542,3.25544766023027
Evapo,ET,mm,PF - SF[a],0.25,25% cover,5,0.0226696060245502,-3.38660919987275,3.99532305802165
Evapo,ET,mm,PF - SF[a],0.25,25% cover,6,-0.0172403917002271,-3.24113928899207,2.39033134939472
Evapo,ET,mm,PF - SF[a],0.25,25% cover,7,-0.0226696060245502,-3.04384727225295,1.99308910583645
Evapo,ET,mm,PF - SF[a],0.25,25% cover,8,-0.0202298567619508,-2.56009009004185,1.94447325557479
Evapo,ET,mm,PF - SF[a],0.25,25% cover,9,0,-3.02345937690445,1.57125394967131
Evapo,ET,mm,PF - SF[a],0.25,25% cover,10,0,-2.57192263632343,1.13326289442343
Evapo,ET,mm,PF - SF[a],0.25,25% cover,11,-0.0226696060245502,-3.02293661035705,0.511902703180653
Evapo,ET,mm,PF - SF[a],0.25,25% cover,12,-0.0142509266385034,-2.00960314317313,1.0374245371896
Evapo,ET,mm,PF - SF[a],0.25,25% cover,13,0,-1.90378097008192,0.279840475092084
Evapo,ET,mm,PF - SF[a],0.25,25% cover,14,-0.00712546331925168,-1.70984757185035,0.390917531271754
Evapo,ET,mm,PF - SF[a],0.25,25% cover,15,-0.0226696060245502,-1.89882039060385,0.27389016155135
Evapo,ET,mm,PF - SF[a],0.25,25% cover,16,-0.0142509266385034,-1.61063598228895,0.283034741908153
Evapo,ET,mm,PF - SF[a],0.25,25% cover,17,-0.0226696060245502,-1.89882039060385,0.27389016155135
Evapo,ET,mm,PF - SF[a],0.25,25% cover,18,0,-1.61063598228895,0.271860519403404
Evapo,ET,mm,PF - SF[a],0.25,25% cover,19,0.0226696060245502,-1.32245157397405,0.269830877255451
Evapo,ET,mm,PF - SF[a],0.25,25% cover,20,0,-0.708539034066803,0.209579333227801
Evapo,ET,mm,PF - SF[a],0.25,25% cover,21,-0.0226696060245502,-1.32245157397405,0.269830877255451
Evapo,ET,mm,PF - SF[a],0.25,25% cover,22,0,-0.708539034066803,0.207549691079848
Evapo,ET,mm,PF - SF[a],0.25,25% cover,23,-0.0226696060245502,-0.0946264941595487,0.145268504904251
Evapo,ET,mm,PF - SF[a],0.25,25% cover,24,0,-0.702560103943355,0.207549691079848
Evapo,ET,mm,PF - SF[a],0.25,25% cover,25,-0.0226696060245502,-0.0946264941595487,0.145268504904251
Evapo,ET,mm,PF - SF[a],0.25,25% cover,26,0,-0.0886475640361013,0.0997176427699458
Evapo,ET,mm,PF - SF[a],0.25,25% cover,27,-0.0226696060245502,-0.0826686339126539,0.0541667806356472
Evapo,ET,mm,PF - SF[a],0.25,25% cover,28,0,-0.0526691199685985,0.0384181933301022
Evapo,ET,mm,PF - SF[a],0.25,25% cover,29,0.0226696060245502,-0.0226696060245502,0.0226696060245502
Evapo,ET,mm,PF - SF[a],0.25,25% cover,30,0,0,0
Evapo,ET,mm,PF - SF[a],0.5,50% cover,2,0.0172952548038268,-3.7634562514169,3.89422677665264
Evapo,ET,mm,PF - SF[a],0.5,50% cover,3,-0.0832481122954505,-4.42282436679276,3.46725663146995
Evapo,ET,mm,PF - SF[a],0.5,50% cover,4,0.280220702075127,-3.20853131085488,3.62095763443492
Evapo,ET,mm,PF - SF[a],0.5,50% cover,5,-0.0832481122954505,-2.47644531377075,3.20050960436553
Evapo,ET,mm,PF - SF[a],0.5,50% cover,6,0.146383572038253,-2.41357626060411,2.8735613413065
Evapo,ET,mm,PF - SF[a],0.5,50% cover,7,-0.0832481122954505,-2.46245016623835,3.19773249972506
Evapo,ET,mm,PF - SF[a],0.5,50% cover,8,0.184086255300706,-1.9033784283837,2.35270501969796
Evapo,ET,mm,PF - SF[a],0.5,50% cover,9,0.0832481122954505,-1.34749874342049,2.30239565779235
Evapo,ET,mm,PF - SF[a],0.5,50% cover,10,0.0663952803036807,-1.9033784283837,2.10131570352711
Evapo,ET,mm,PF - SF[a],0.5,50% cover,11,0.0832481122954505,-1.34749874342049,2.25348270154815
Evapo,ET,mm,PF - SF[a],0.5,50% cover,12,0.191322577030952,-1.40732912179602,2.10131570352711
Evapo,ET,mm,PF - SF[a],0.5,50% cover,13,0.0832481122954505,-1.47198880618685,1.94914870550605
Evapo,ET,mm,PF - SF[a],0.5,50% cover,14,0.124624757400156,-1.34118645987072,1.83081395331826
Evapo,ET,mm,PF - SF[a],0.5,50% cover,15,0.0832481122954505,-1.34430669052905,1.71247920113046
Evapo,ET,mm,PF - SF[a],0.5,50% cover,16,0.258020396661749,-1.1521805506765,1.67006026076395
Evapo,ET,mm,PF - SF[a],0.5,50% cover,17,-0.0832481122954505,-0.969424904961375,1.62976226741578
Evapo,ET,mm,PF - SF[a],0.5,50% cover,18,0,-0.847173040673845,1.67006026076395
Evapo,ET,mm,PF - SF[a],0.5,50% cover,19,0,-0.96005441082395,1.62764132039745
Evapo,ET,mm,PF - SF[a],0.5,50% cover,20,0,-0.84352013641265,1.67006026076395
Evapo,ET,mm,PF - SF[a],0.5,50% cover,21,-0.0832481122954505,-0.96005441082395,1.62764132039745
Evapo,ET,mm,PF - SF[a],0.5,50% cover,22,0,-0.656110253664153,1.30307702166076
Evapo,ET,mm,PF - SF[a],0.5,50% cover,23,0.0832481122954505,-0.352166096504348,0.99474093786089
Evapo,ET,mm,PF - SF[a],0.5,50% cover,24,0,-0.655073484642369,1.30307702166076
Evapo,ET,mm,PF - SF[a],0.5,50% cover,25,-0.0832481122954505,-0.352166096504348,0.978512722924052
Evapo,ET,mm,PF - SF[a],0.5,50% cover,26,0,-0.3511027436615,0.7889008142715
Evapo,ET,mm,PF - SF[a],0.5,50% cover,27,-0.0832481122954505,-0.350039390818644,0.599288905618955
Evapo,ET,mm,PF - SF[a],0.5,50% cover,28,0,-0.216643751557044,0.341268508957199
Evapo,ET,mm,PF - SF[a],0.5,50% cover,29,-0.0832481122954505,-0.0832481122954505,0.0832481122954505
Evapo,ET,mm,PF - SF[a],0.5,50% cover,30,0,0,0
Evapo,ET,mm,PF - SF[a],0.75,75% cover,2,-0.238463284508249,-6.33563664918987,5.91123661230237
Evapo,ET,mm,PF - SF[a],0.75,75% cover,3,-0.0440990948039968,-5.526666411842,5.39064219379328
Evapo,ET,mm,PF - SF[a],0.75,75% cover,4,-0.212288424469257,-5.33043147664776,4.08455653138897
Evapo,ET,mm,PF - SF[a],0.75,75% cover,5,-0.0290065994509945,-5.34072420608901,5.37559327783301
Evapo,ET,mm,PF - SF[a],0.75,75% cover,6,-0.128184680415004,-5.17952538368868,3.75284334500552
Evapo,ET,mm,PF - SF[a],0.75,75% cover,7,-0.0290065994509945,-5.087223501765,2.873597510029
Evapo,ET,mm,PF - SF[a],0.75,75% cover,8,0,-4.12355803413,2.84822959947094
Evapo,ET,mm,PF - SF[a],0.75,75% cover,9,-0.0290065994509945,-5.016559973071,2.873597510029
Evapo,ET,mm,PF - SF[a],0.75,75% cover,10,0,-3.961475917621,2.70996890316316
Evapo,ET,mm,PF - SF[a],0.75,75% cover,11,-0.0290065994509945,-3.094731280882,2.790180973689
Evapo,ET,mm,PF - SF[a],0.75,75% cover,12,0,-2.870787020116,2.532217217655
Evapo,ET,mm,PF - SF[a],0.75,75% cover,13,-0.0290065994509945,-2.835182178061,2.623504507576
Evapo,ET,mm,PF - SF[a],0.75,75% cover,14,0,-2.34367221471603,2.408283311815
Evapo,ET,mm,PF - SF[a],0.75,75% cover,15,0.0290065994509945,-2.835182178061,2.623504507576
Evapo,ET,mm,PF - SF[a],0.75,75% cover,16,0,-2.2359867411195,2.36930715927192
Evapo,ET,mm,PF - SF[a],0.75,75% cover,17,-0.0290065994509945,-2.835182178061,2.190836925281
Evapo,ET,mm,PF - SF[a],0.75,75% cover,18,0,-2.20038189906451,2.1520025076845
Evapo,ET,mm,PF - SF[a],0.75,75% cover,19,-0.0290065994509945,-1.565581620068,2.113168090088
Evapo,ET,mm,PF - SF[a],0.75,75% cover,20,0,-1.6444009716685,2.1520025076845
Evapo,ET,mm,PF - SF[a],0.75,75% cover,21,0.0290065994509945,-1.565581620068,2.113168090088
