region,response,term,median_beta,lower_beta,upper_beta,mean_beta,sd_beta
CBA,Prec,(Intercept),2312.88150841471,2294.03931654556,2324.17089997349,2312.20736880173,8.15880907813352
CBA,Prec,TipoSF_early,6.17646973997841,-0.26804965277498,12.8483173798449,6.31473409836685,4.16469757949493
CBA,Prec,TipoSF_intermediate,3.98922628448463,-10.0998122812723,13.2819155620653,3.65869614437853,6.58177480395089
CBA,Prec,TipoSF_advanced,16.5708361107787,-0.732974384151941,26.6187298412018,16.2551680799139,7.29765695328052
CBA,Prec,"ns(frac_area, df = 3)1",6.11992511158487,1.42542272883283,10.4632527968027,6.121077572708,2.60210791985923
CBA,Prec,"ns(frac_area, df = 3)2",1.82813373340074,-7.80259969276518,11.4299203382419,1.61148411618852,5.59706983878992
CBA,Prec,"ns(frac_area, df = 3)3",-1.14607327432613,-3.81288047678517,2.47776178639136,-1.00147959344879,2.01953042696356
CBA,Prec,"TipoSF_early:ns(frac_area, df = 3)1",2.55720389279206,-13.714417965775,20.3849320020542,2.36231282177991,10.4519255181515
CBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)1",-5.16969811813584,-19.071401912981,5.69700479275126,-5.99943441942781,7.03904961554918
CBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)1",-18.6605703314498,-32.3849365580981,-10.336282416252,-20.2654568644875,7.78275274948914
CBA,Prec,"TipoSF_early:ns(frac_area, df = 3)2",-38.7478981445758,-56.1362374286343,-14.7475326698533,-37.5239920465289,12.4496107541172
CBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)2",7.16207292006991,-18.9304562865951,40.3485459943559,5.57442571218201,16.1157284191758
CBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)2",-39.887235138811,-64.0466006298829,-3.54115436285949,-37.7495401764593,17.4222613629741
CBA,Prec,"TipoSF_early:ns(frac_area, df = 3)3",-23.6438673973679,-35.2847914649876,-6.43425014119002,-22.4546292000415,8.32389710057711
CBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)3",9.89568265700651,-0.569726532266704,23.3635104041305,10.8835328322574,6.03645633136077
CBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)3",1.37671149753152,-5.99066160329348,11.3002038140467,1.37116854610822,4.40085033070784
EBA,Prec,(Intercept),2217.36436286828,2180.43293258155,2238.81028094926,2214.2881084961,16.576653105366
EBA,Prec,TipoSF_early,-1.02527796089682,-8.84091201188462,5.6917376924722,-1.20701413260725,4.47725032962868
EBA,Prec,TipoSF_intermediate,-4.75295846586469,-13.6496602107727,3.287884775067,-4.50998428743621,4.3395326793986
EBA,Prec,TipoSF_advanced,7.76436484523331,-9.72725904191235,23.8537869009755,6.96310618437488,8.37479076573222
EBA,Prec,"ns(frac_area, df = 3)1",2.01310093472751,-5.13994949430209,8.89262853494314,1.6451979888553,4.01762512933452
EBA,Prec,"ns(frac_area, df = 3)2",-3.81125000866659,-18.2664250974182,8.56947636200109,-4.86649480118622,7.92132128028676
EBA,Prec,"ns(frac_area, df = 3)3",-2.15577857802433,-6.87511599114443,3.18708328812218,-2.09800530928677,2.69935882467351
EBA,Prec,"TipoSF_early:ns(frac_area, df = 3)1",8.57188032104371,-8.9803827622275,28.9008535393073,8.84162452950471,10.996205599365
EBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)1",-1.82344768369519,-15.6846578838612,12.3613372498299,-1.5526711082012,8.29951366519536
EBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)1",-9.05569608439559,-25.5526040448126,4.21707953033403,-8.08028299822393,8.59476900718919
EBA,Prec,"TipoSF_early:ns(frac_area, df = 3)2",16.1129560157082,0.186712001308953,39.9276636718355,18.4951447202071,11.4592315125615
EBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)2",-18.5389193737169,-40.4129687834944,3.69939782628041,-19.4980473174357,11.8377662369614
EBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)2",14.5703803287462,-18.5860899814581,55.0165905104061,15.5474372602739,20.0516506167489
EBA,Prec,"TipoSF_early:ns(frac_area, df = 3)3",4.09495115645497,-16.949908965118,18.4624063283975,3.62225470220345,9.90900654734325
EBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)3",-21.754491723818,-36.0417051932659,-8.11826356159222,-21.8026639758242,8.09400517822305
EBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)3",23.3886249944936,12.675524055429,40.2738402774922,24.1166681934903,7.77122186214591
SBA,Prec,(Intercept),1914.63169674204,1884.17376253909,1949.97385341428,1915.06141013491,18.6721636544054
SBA,Prec,TipoSF_early,0.505803202139439,-5.4623767540599,8.71437488156567,0.947432894460142,4.15065180912818
SBA,Prec,TipoSF_intermediate,4.83897920276839,-2.60350446503755,12.1267486956,4.57020938586121,4.25111450416092
SBA,Prec,TipoSF_advanced,-8.83026348286857,-15.2737331385381,1.83787241755108,-8.30424367664099,4.76976745901044
SBA,Prec,"ns(frac_area, df = 3)1",2.67576552962669,-3.25285786653015,8.12238548262729,2.7555942701659,3.40013446655473
SBA,Prec,"ns(frac_area, df = 3)2",-15.7681514658002,-27.1539343039063,-2.85768929648385,-15.5749749005971,6.35012188215485
SBA,Prec,"ns(frac_area, df = 3)3",-21.5307611129574,-25.7046551416939,-14.0058629145201,-20.9579097070188,3.08495074940209
SBA,Prec,"TipoSF_early:ns(frac_area, df = 3)1",-13.9140752531324,-32.7992561574435,-3.61085058949084,-16.3080344211446,8.61986135243316
SBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)1",-6.84969660397649,-18.8781903978958,4.71396384239977,-7.40301923727637,7.53695868860988
SBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)1",6.27631478776263,-7.14514306316473,18.8040564562786,6.72354885795524,8.6271365179762
SBA,Prec,"TipoSF_early:ns(frac_area, df = 3)2",28.8054854562623,4.13764520556203,46.5468140613321,29.5666438513933,11.9408772920106
SBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)2",15.7343707596612,-2.47915978334037,31.0624538821933,15.8094109491518,9.65551509598879
SBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)2",12.1539901942896,-14.4910391018692,32.8106860117621,11.2334719209618,12.3063508380351
SBA,Prec,"TipoSF_early:ns(frac_area, df = 3)3",56.2730166938836,37.2363049720889,66.8364437722697,54.5912349401115,9.84904234588045
SBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)3",23.2422546781803,16.6034710918136,31.0682875195333,23.8044002491739,4.41040470559855
SBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)3",17.0794947406326,-2.46754493603894,29.1283915625282,16.7441797756494,8.342100289878
