region,response,term,median_beta,lower_beta,upper_beta,mean_beta,sd_beta
CBA,Temp,(Intercept),24.0817947429804,22.9315301115254,25.027844082278,24.058325657211,0.735097249602275
CBA,Temp,TipoSF_early,0.164892032863597,0.123717725410301,0.187599083584831,0.162030554829689,0.0173594239759713
CBA,Temp,TipoSF_intermediate,0.167653738242992,0.133773210798886,0.19872264374579,0.164127414931461,0.0190503442638535
CBA,Temp,TipoSF_advanced,0.187809452587906,0.138404904066077,0.224687011244059,0.187370834815009,0.0236754513785388
CBA,Temp,"ns(frac_area, df = 3)1",0.206144508002326,0.193590698618781,0.242694019051094,0.20989873552982,0.013413376959294
CBA,Temp,"ns(frac_area, df = 3)2",0.0687502957164078,0.00130726372725941,0.122844928134482,0.0696078987210208,0.0345094864328913
CBA,Temp,"ns(frac_area, df = 3)3",0.0254568030105008,0.00324222765384455,0.0387364175606307,0.0235155194844936,0.0108338082543276
CBA,Temp,"TipoSF_early:ns(frac_area, df = 3)1",-0.379128439069377,-0.430164883720993,-0.331147712188217,-0.38045321512963,0.0258874918321376
CBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.348510901457387,-0.392212632910347,-0.326600205626368,-0.350762875737741,0.0204041278012477
CBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.375592412408482,-0.42169704038402,-0.355561190070717,-0.380112256023297,0.0190305569751038
CBA,Temp,"TipoSF_early:ns(frac_area, df = 3)2",-0.407054899403502,-0.46675514138337,-0.296819300437015,-0.399412337052032,0.0448862811670983
CBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)2",-0.345418040810823,-0.424862943234367,-0.268883437117126,-0.342769142447571,0.0467370273008734
CBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)2",-0.388263115496012,-0.478658883378067,-0.261129636620302,-0.383941293991164,0.0584259972430625
CBA,Temp,"TipoSF_early:ns(frac_area, df = 3)3",-0.288521289817517,-0.326459445741996,-0.248744867349428,-0.286390521086183,0.0216440102660411
CBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.23790020792735,-0.267254434156288,-0.194593244463405,-0.236975278987441,0.0200004069134432
CBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.280981903161629,-0.308355013293936,-0.237691580301633,-0.279620189812936,0.0202550585839572
EBA,Temp,(Intercept),24.9539634416706,24.8240398107714,25.1071472337829,24.9533115275735,0.0670327149272065
EBA,Temp,TipoSF_early,0.602114061581376,0.545581270231735,0.644034866848043,0.597105756599262,0.0292311119734992
EBA,Temp,TipoSF_intermediate,0.660104307276634,0.607951456594753,0.692970346582476,0.654958403567265,0.0254524546124692
EBA,Temp,TipoSF_advanced,0.716085764901578,0.654293682946429,0.768270213299094,0.712591662375257,0.0287451803961351
EBA,Temp,"ns(frac_area, df = 3)1",0.555374458979464,0.521441764206854,0.599700253308178,0.554637426777242,0.0220935434550968
EBA,Temp,"ns(frac_area, df = 3)2",0.591851808156254,0.45695332416069,0.675086273981987,0.586625376362624,0.0584347319173225
EBA,Temp,"ns(frac_area, df = 3)3",0.17287969075746,0.132071112699477,0.206875422428016,0.173641107213959,0.0196242149756159
EBA,Temp,"TipoSF_early:ns(frac_area, df = 3)1",-0.848834101405442,-0.924362970300431,-0.784920050399296,-0.851966827949603,0.0391916096181341
EBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.861091784203662,-0.928047781473249,-0.81170942132712,-0.861397205460835,0.0319582821424293
EBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.887013620363515,-0.941189919014809,-0.809847047995606,-0.882999084414623,0.0332004507831062
EBA,Temp,"TipoSF_early:ns(frac_area, df = 3)2",-1.40934233812499,-1.51065270940986,-1.25846373917638,-1.40014279974813,0.0734914661796631
EBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.36962400709867,-1.46574731626913,-1.22929223879851,-1.36288104975312,0.0674294373829416
EBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.51705427408865,-1.65955662827253,-1.3773072334523,-1.5129633655612,0.0722821518724899
EBA,Temp,"TipoSF_early:ns(frac_area, df = 3)3",-0.785737823973573,-0.84893106352154,-0.715242076778651,-0.78887770251518,0.0389271032423487
EBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.788573314111934,-0.828350141099047,-0.727277479826316,-0.78267447471085,0.0303661556418246
EBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.879743640883774,-0.946172194710308,-0.84398742098137,-0.885957009858987,0.0308097214549514
SBA,Temp,(Intercept),24.9609456035772,24.8249722840797,25.0721887511147,24.9575244470058,0.0626822480266029
SBA,Temp,TipoSF_early,0.686082955163966,0.643257389820411,0.725882213420969,0.684798854822912,0.0267787126946292
SBA,Temp,TipoSF_intermediate,0.719613468509099,0.679344459483775,0.783076917235567,0.727877566050096,0.0292586238492475
SBA,Temp,TipoSF_advanced,0.773902092274763,0.69744710515301,0.863093859208101,0.77520471968453,0.0419453588669368
SBA,Temp,"ns(frac_area, df = 3)1",0.665666930939497,0.597115698139322,0.730591826755551,0.666245229404486,0.0347867997589754
SBA,Temp,"ns(frac_area, df = 3)2",0.651393955353181,0.560994504330374,0.738642512242805,0.653388084989564,0.0519570226824357
SBA,Temp,"ns(frac_area, df = 3)3",0.22618879238632,0.174330851352308,0.262233090257806,0.222390910172711,0.024088939244844
SBA,Temp,"TipoSF_early:ns(frac_area, df = 3)1",-0.987387487243029,-1.05821426176997,-0.882773450171057,-0.983037210929329,0.0464538586237899
SBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)1",-1.02608824691304,-1.11296970211869,-0.939964604352584,-1.02756541810997,0.0484192392327762
SBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)1",-1.02826560042255,-1.12616921785408,-0.893539900637974,-1.03237704488267,0.0578628993032271
