region;response;run;contrast_type;frac_area;PF_minus_SF_early;PF_minus_SF_intermediate;PF_minus_SF_advanced
CBA;Evapo;1;Spatially adjusted;0,01;39,8273925940405;32,5679282964231;26,4768445676118
CBA;Evapo;1;Spatially adjusted;0,0302040816326531;39,2670926922442;32,1744007445275;25,5558535555658
CBA;Evapo;1;Spatially adjusted;0,0504081632653061;38,6903982770027;31,767731300343;24,6250277059537
CBA;Evapo;1;Spatially adjusted;0,0706122448979592;38,080914834871;31,3347780715812;23,6745321812102
CBA;Evapo;1;Spatially adjusted;0,0908163265306122;37,4222478524036;30,8623991659526;22,694532143769
CBA;Evapo;1;Spatially adjusted;0,111020408163265;36,6980028161556;30,3374526911691;21,6751927560645
CBA;Evapo;1;Spatially adjusted;0,131224489795918;35,8917852126817;29,7467967549412;20,6066791805308
CBA;Evapo;1;Spatially adjusted;0,151428571428571;34,9872005285367;29,0772894649806;19,479156579602
CBA;Evapo;1;Spatially adjusted;0,171632653061224;33,9678542502754;28,315788928998;18,2827901157123
CBA;Evapo;1;Spatially adjusted;0,191836734693878;32,8173518644528;27,4491532547052;17,007744951296
CBA;Evapo;1;Spatially adjusted;0,212040816326531;31,5192988576237;26,4642405498128;15,6441862487868
CBA;Evapo;1;Spatially adjusted;0,232244897959184;30,0573007163423;25,3479089220323;14,1822791706195
CBA;Evapo;1;Spatially adjusted;0,252448979591837;28,4149629271644;24,0870164790749;12,6121888792277
CBA;Evapo;1;Spatially adjusted;0,27265306122449;26,5758909766444;22,6684213286514;10,9240805370459
CBA;Evapo;1;Spatially adjusted;0,292857142857143;24,5236903513367;21,0789815784738;9,10811930650812
CBA;Evapo;1;Spatially adjusted;0,313061224489796;22,2419665377968;19,3055553362524;7,15447035004854
CBA;Evapo;1;Spatially adjusted;0,333265306122449;19,7143250225793;17,3350007096988;5,05329883010154
CBA;Evapo;1;Spatially adjusted;0,353469387755102;16,9320359559329;15,1607672433374;2,80073888131551
CBA;Evapo;1;Spatially adjusted;0,373673469387755;13,9170281428812;12,8026702289455;0,41680052719812
CBA;Evapo;1;Spatially adjusted;0,393877551020408;10,6988950521438;10,2871163951138;-2,07253723652821
CBA;Evapo;1;Spatially adjusted;0,414081632653061;7,3072301524378;7,64051247043312;-4,64129541414127
CBA;Evapo;1;Spatially adjusted;0,434285714285714;3,77162691248145;4,88926518349399;-7,2634950099191
CBA;Evapo;1;Spatially adjusted;0,454489795918367;0,121678800993095;2,0597812628871;-9,91315702813972
CBA;Evapo;1;Spatially adjusted;0,47469387755102;-3,61302071330874;-0,821532562796847;-12,5643024730803
CBA;Evapo;1;Spatially adjusted;0,494897959183674;-7,40287816170667;-3,7282695649676;-15,1909523490192
CBA;Evapo;1;Spatially adjusted;0,515102040816327;-11,2183000754817;-6,63402301503379;-17,7671276602337
CBA;Evapo;1;Spatially adjusted;0,53530612244898;-15,0296929859162;-9,51238618440539;-20,2668494110021
CBA;Evapo;1;Spatially adjusted;0,555510204081633;-18,8074634242917;-12,3369523444915;-22,6641386056017
CBA;Evapo;1;Spatially adjusted;0,575714285714286;-22,5220179218904;-15,0813147667016;-24,9330162483111
CBA;Evapo;1;Spatially adjusted;0,595918367346939;-26,1437630099936;-17,7190667224445;-27,0475033434072
CBA;Evapo;1;Spatially adjusted;0,616122448979592;-29,6431052198836;-20,2238014831303;-28,9816208951681
CBA;Evapo;1;Spatially adjusted;0,636326530612245;-32,9904510828421;-22,569112320168;-30,709389907872
CBA;Evapo;1;Spatially adjusted;0,656530612244898;-36,1562071301507;-24,7285925049669;-32,2048313857963
CBA;Evapo;1;Spatially adjusted;0,676734693877551;-39,1107798930916;-26,6758353089363;-33,4419663332189
CBA;Evapo;1;Spatially adjusted;0,696938775510204;-41,8320162389105;-28,3913210010571;-34,4021068946026
CBA;Evapo;1;Spatially adjusted;0,717142857142857;-44,3275243787114;-29,8830778405968;-35,0957297751515
CBA;Evapo;1;Spatially adjusted;0,73734693877551;-46,612352859562;-31,1660210843936;-35,5406028202547
CBA;Evapo;1;Spatially adjusted;0,757551020408163;-48,7015502285299;-32,2550659892868;-35,7544938753006
CBA;Evapo;1;Spatially adjusted;0,777755102040816;-50,6101650326837;-33,1651278121153;-35,755170785679
CBA;Evapo;1;Spatially adjusted;0,797959183673469;-52,3532458190905;-33,9111218097171;-35,5604013967782
CBA;Evapo;1;Spatially adjusted;0,818163265306122;-53,9458411348185;-34,5079632389313;-35,1879535539874
CBA;Evapo;1;Spatially adjusted;0,838367346938776;-55,4029995269357;-34,970567356597;-34,6555951026958
CBA;Evapo;1;Spatially adjusted;0,858571428571429;-56,73976954251;-35,3138494195525;-33,9810938882922
CBA;Evapo;1;Spatially adjusted;0,878775510204082;-57,9711997286086;-35,5527246846368;-33,1822177561655
CBA;Evapo;1;Spatially adjusted;0,898979591836735;-59,1123386323004;-35,7021084086884;-32,276734551705
CBA;Evapo;1;Spatially adjusted;0,919183673469388;-60,178234800653;-35,7769158485464;-31,2824121202996
CBA;Evapo;1;Spatially adjusted;0,939387755102041;-61,1839367807336;-35,7920622610493;-30,2170183073383
CBA;Evapo;1;Spatially adjusted;0,959591836734694;-62,1444931196109;-35,7624629030358;-29,0983209582098
CBA;Evapo;1;Spatially adjusted;0,979795918367347;-63,0749523643522;-35,7030330313451;-27,9440879183032
CBA;Evapo;1;Spatially adjusted;1;-63,9903630620258;-35,6286879028155;-26,7720870330079
CBA;Evapo;1;Current landscape;0,0304357632994652;-120,892704212554;-100,612093799663;-83,8929302891038
CBA;Evapo;1;Current landscape;0,0729946121573448;-87,5751006868577;-66,9219587016357;-54,0912090319075
CBA;Evapo;1;Current landscape;0,12485908716917;-66,4627612279514;-49,4048507509685;-29,0582765073509
CBA;Evapo;1;Current landscape;0,173878684639931;7,95982075988059;6,80208047949486;29,8841474004046
CBA;Evapo;1;Current landscape;0,229346692562103;-33,4362690822784;-21,900391786608;-7,9342411291525
CBA;Evapo;1;Current landscape;0,274657130241394;-26,2235974346411;-9,11934804118141;-4,61398441096458
CBA;Evapo;1;Current landscape;0,322626173496246;-34,4097019849839;-23,8180758188053;-8,84493380898925
CBA;Evapo;1;Current landscape;0,379913628101349;-21,6036912207783;-13,9478703074392;10,6289207148016
CBA;Evapo;1;Current landscape;0,427888184785843;-10,3069204678468;-4,78461629055187;15,7434391981026
CBA;Evapo;1;Current landscape;0,472653448581696;-11,0436725074803;-22,0714427511268;15,5741706733388
CBA;Evapo;1;Current landscape;0,52579265832901;-27,6499070451298;-31,6091727009978;-4,00984866386966
CBA;Evapo;1;Current landscape;0,576654195785522;-41,9325012465745;-21,7933052850356;2,05339179540374
CBA;Evapo;1;Current landscape;0,624217212200165;-36,4011344995945;-12,7194651859786;0,623935774587835
CBA;Evapo;1;Current landscape;0,67583829164505;-10,3591901222208;-6,35124522750834;6,87310555194608
CBA;Evapo;1;Current landscape;0,727669298648834;-26,4806388562192;-42,5690703613354;-5,11140846763738
CBA;Evapo;1;Current landscape;0,778245151042938;-49,0289586568506;-31,3213789143636;-3,34229165409442
CBA;Evapo;1;Current landscape;0,828168392181396;-39,4876439195557;-10,0909301116069;-0,331100997306066
CBA;Evapo;1;Current landscape;0,877693116664886;-22,1781301098808;-10,5958202495522;14,7910981807549
CBA;Evapo;1;Current landscape;0,927282512187958;-35,9318154398309;-14,2749168430453;15,5239262639032
CBA;Evapo;1;Current landscape;1;-29,8457252802082;13,3924588789143;39,633689820565
CBA;Evapo;2;Spatially adjusted;0,01;41,4044613107367;43,3885818821857;37,1199902720841
CBA;Evapo;2;Spatially adjusted;0,0302040816326531;41,2086588221603;42,5869025594145;35,8342681518611
CBA;Evapo;2;Spatially adjusted;0,0504081632653061;40,9917277387387;41,771815096555;34,5379790571833
