region;response;contrast_type;frac_plot;frac_bin;stage;median;lower;upper;n_runs
CBA;Evapo;Spatially adjusted;0,01;;SF[e];39,7189426376459;30,4528570490738;48,4968385671357;30
CBA;Evapo;Spatially adjusted;0,01;;SF[i];36,3306500680516;26,5071359278421;45,9877976678167;30
CBA;Evapo;Spatially adjusted;0,01;;SF[a];31,4661783416201;22,7991322678051;41,7390224094588;30
CBA;Evapo;Spatially adjusted;0,030204;;SF[e];38,9879467294703;30,5191031884636;47,1281027794823;30
CBA;Evapo;Spatially adjusted;0,030204;;SF[i];35,7441997198495;26,5971460083471;44,5081170147059;30
CBA;Evapo;Spatially adjusted;0,030204;;SF[a];30,6363548281244;22,2408680334932;39,841272490534;30
CBA;Evapo;Spatially adjusted;0,050408;;SF[e];38,2936097955839;30,5666905643127;45,7484235022738;30
CBA;Evapo;Spatially adjusted;0,050408;;SF[i];35,1330641815589;26,6720507184252;43,0213105099461;30
CBA;Evapo;Spatially adjusted;0,050408;;SF[a];29,7586834029336;21,6714002872317;37,9387839391237;30
CBA;Evapo;Spatially adjusted;0,070612;;SF[e];37,6027806928693;30,5769604130796;44,3224040244911;30
CBA;Evapo;Spatially adjusted;0,070612;;SF[i];34,4211112328411;26,716744687649;41,547498963218;30
CBA;Evapo;Spatially adjusted;0,070612;;SF[a];28,7592760559902;21,0795255170715;36,0366824650745;30
CBA;Evapo;Spatially adjusted;0,090816;;SF[e];36,7005736720896;30,5312539712239;42,8572604016172;30
CBA;Evapo;Spatially adjusted;0,090816;;SF[i];33,6767502911799;26,7161225455917;40,4218126273147;30
CBA;Evapo;Spatially adjusted;0,090816;;SF[a];27,5136931865425;20,454040211063;34,3887014995163;30
CBA;Evapo;Spatially adjusted;0,11102;;SF[e];35,7454076650359;30,4109124752044;41,3465627579149;30
CBA;Evapo;Spatially adjusted;0,11102;;SF[i];32,8891786922609;26,6550789218262;39,2513169700064;30
CBA;Evapo;Spatially adjusted;0,11102;;SF[a];26,2323852322221;19,7837408572569;32,6064885059286;30
CBA;Evapo;Spatially adjusted;0,131224;;SF[e];34,7240429251394;30,1972771614802;39,7789225881774;30
CBA;Evapo;Spatially adjusted;0,131224;;SF[i];32,0475937717695;26,5185084459257;37,8866819457059;30
CBA;Evapo;Spatially adjusted;0,131224;;SF[a];25,091212085824;19,0574239437035;31,0395303625624;30
CBA;Evapo;Spatially adjusted;0,151429;;SF[e];33,6232397058322;29,5662028031246;38,5243400099277;30
CBA;Evapo;Spatially adjusted;0,151429;;SF[i];31,22813585344;26,2913057474628;36,2705934874572;30
CBA;Evapo;Spatially adjusted;0,151429;;SF[a];23,948484865299;18,2638859584539;29,4471321094374;30
CBA;Evapo;Spatially adjusted;0,171633;;SF[e];32,4297582605449;28,6719374524054;37,1974328975239;30
CBA;Evapo;Spatially adjusted;0,171633;;SF[i];30,2724908332563;25,9583654560109;34,9486620544059;30
