region,response,run,term,estimate
CBA,Evapo,1,(Intercept),1438.06180169019
CBA,Evapo,1,TipoSF_early,-39.8273925940405
CBA,Evapo,1,TipoSF_intermediate,-32.5679282964233
CBA,Evapo,1,TipoSF_advanced,-26.4768445676118
CBA,Evapo,1,"ns(frac_area, df = 3)1",-39.669614507632
CBA,Evapo,1,"ns(frac_area, df = 3)2",-17.6614020971416
CBA,Evapo,1,"ns(frac_area, df = 3)3",-14.9909261836481
CBA,Evapo,1,"TipoSF_early:ns(frac_area, df = 3)1",86.4025879324229
CBA,Evapo,1,"TipoSF_intermediate:ns(frac_area, df = 3)1",67.6937536433225
CBA,Evapo,1,"TipoSF_advanced:ns(frac_area, df = 3)1",68.3105291191827
CBA,Evapo,1,"TipoSF_early:ns(frac_area, df = 3)2",106.618743779335
CBA,Evapo,1,"TipoSF_intermediate:ns(frac_area, df = 3)2",73.989549014369
CBA,Evapo,1,"TipoSF_advanced:ns(frac_area, df = 3)2",72.1618422506395
CBA,Evapo,1,"TipoSF_early:ns(frac_area, df = 3)3",98.6523787823704
CBA,Evapo,1,"TipoSF_intermediate:ns(frac_area, df = 3)3",64.5712177078612
CBA,Evapo,1,"TipoSF_advanced:ns(frac_area, df = 3)3",44.7319376106758
CBA,Evapo,2,(Intercept),1457.06594931221
CBA,Evapo,2,TipoSF_early,-41.4044613107366
CBA,Evapo,2,TipoSF_intermediate,-43.3885818821858
CBA,Evapo,2,TipoSF_advanced,-37.1199902720842
CBA,Evapo,2,"ns(frac_area, df = 3)1",-48.1883092037076
CBA,Evapo,2,"ns(frac_area, df = 3)2",-25.6351458521228
CBA,Evapo,2,"ns(frac_area, df = 3)3",-21.4493718382778
CBA,Evapo,2,"TipoSF_early:ns(frac_area, df = 3)1",96.5240135644884
CBA,Evapo,2,"TipoSF_intermediate:ns(frac_area, df = 3)1",80.3402269603916
CBA,Evapo,2,"TipoSF_advanced:ns(frac_area, df = 3)1",81.7403526752578
CBA,Evapo,2,"TipoSF_early:ns(frac_area, df = 3)2",108.424080212996
CBA,Evapo,2,"TipoSF_intermediate:ns(frac_area, df = 3)2",97.8965774190117
CBA,Evapo,2,"TipoSF_advanced:ns(frac_area, df = 3)2",95.9155003144976
CBA,Evapo,2,"TipoSF_early:ns(frac_area, df = 3)3",108.066342681255
CBA,Evapo,2,"TipoSF_intermediate:ns(frac_area, df = 3)3",80.9326523051664
CBA,Evapo,2,"TipoSF_advanced:ns(frac_area, df = 3)3",61.8720054831487
CBA,Evapo,3,(Intercept),1459.97440119203
CBA,Evapo,3,TipoSF_early,-42.7270720211656
CBA,Evapo,3,TipoSF_intermediate,-39.956200753599
CBA,Evapo,3,TipoSF_advanced,-33.0638762249908
CBA,Evapo,3,"ns(frac_area, df = 3)1",-44.024938616676
CBA,Evapo,3,"ns(frac_area, df = 3)2",-32.9073609162364
CBA,Evapo,3,"ns(frac_area, df = 3)3",-17.05907130938
CBA,Evapo,3,"TipoSF_early:ns(frac_area, df = 3)1",79.249461069932
CBA,Evapo,3,"TipoSF_intermediate:ns(frac_area, df = 3)1",64.3076837805499
CBA,Evapo,3,"TipoSF_advanced:ns(frac_area, df = 3)1",67.6198205244158
CBA,Evapo,3,"TipoSF_early:ns(frac_area, df = 3)2",120.621219879013
CBA,Evapo,3,"TipoSF_intermediate:ns(frac_area, df = 3)2",94.6283161448679
CBA,Evapo,3,"TipoSF_advanced:ns(frac_area, df = 3)2",87.936783025469
CBA,Evapo,3,"TipoSF_early:ns(frac_area, df = 3)3",107.473893830319
CBA,Evapo,3,"TipoSF_intermediate:ns(frac_area, df = 3)3",72.8617998423336
CBA,Evapo,3,"TipoSF_advanced:ns(frac_area, df = 3)3",53.5909669055866
CBA,Evapo,4,(Intercept),1458.90716827261
CBA,Evapo,4,TipoSF_early,-38.1180950495039
CBA,Evapo,4,TipoSF_intermediate,-36.8166690677905
CBA,Evapo,4,TipoSF_advanced,-29.9824049296507
CBA,Evapo,4,"ns(frac_area, df = 3)1",-39.4247729303493
CBA,Evapo,4,"ns(frac_area, df = 3)2",-28.5246120955971
CBA,Evapo,4,"ns(frac_area, df = 3)3",-17.0894994487392
CBA,Evapo,4,"TipoSF_early:ns(frac_area, df = 3)1",72.2306038487542
CBA,Evapo,4,"TipoSF_intermediate:ns(frac_area, df = 3)1",63.249670319848
CBA,Evapo,4,"TipoSF_advanced:ns(frac_area, df = 3)1",64.7468804388335
CBA,Evapo,4,"TipoSF_early:ns(frac_area, df = 3)2",111.400266854473
CBA,Evapo,4,"TipoSF_intermediate:ns(frac_area, df = 3)2",86.4978884272012
CBA,Evapo,4,"TipoSF_advanced:ns(frac_area, df = 3)2",79.7312483193634
CBA,Evapo,4,"TipoSF_early:ns(frac_area, df = 3)3",105.26541179072
CBA,Evapo,4,"TipoSF_intermediate:ns(frac_area, df = 3)3",72.6198100300404
CBA,Evapo,4,"TipoSF_advanced:ns(frac_area, df = 3)3",51.5689168912174
CBA,Evapo,5,(Intercept),1464.36899966772
CBA,Evapo,5,TipoSF_early,-39.0167766162786
CBA,Evapo,5,TipoSF_intermediate,-27.7162712772375
CBA,Evapo,5,TipoSF_advanced,-23.7417076799199
CBA,Evapo,5,"ns(frac_area, df = 3)1",-41.8977506799751
CBA,Evapo,5,"ns(frac_area, df = 3)2",-16.5896003669848
CBA,Evapo,5,"ns(frac_area, df = 3)3",-12.1367523289658
CBA,Evapo,5,"TipoSF_early:ns(frac_area, df = 3)1",78.8038386640566
CBA,Evapo,5,"TipoSF_intermediate:ns(frac_area, df = 3)1",64.2373846953236
CBA,Evapo,5,"TipoSF_advanced:ns(frac_area, df = 3)1",64.4877755859817
CBA,Evapo,5,"TipoSF_early:ns(frac_area, df = 3)2",110.3258679001
CBA,Evapo,5,"TipoSF_intermediate:ns(frac_area, df = 3)2",63.354736633075
CBA,Evapo,5,"TipoSF_advanced:ns(frac_area, df = 3)2",64.4752394379357
CBA,Evapo,5,"TipoSF_early:ns(frac_area, df = 3)3",101.48457564981
CBA,Evapo,5,"TipoSF_intermediate:ns(frac_area, df = 3)3",65.0819262661099
CBA,Evapo,5,"TipoSF_advanced:ns(frac_area, df = 3)3",45.9082389122879
CBA,Evapo,6,(Intercept),1451.75363465115
CBA,Evapo,6,TipoSF_early,-26.8466025397332
CBA,Evapo,6,TipoSF_intermediate,-23.3194154612544
CBA,Evapo,6,TipoSF_advanced,-20.3141607267748
CBA,Evapo,6,"ns(frac_area, df = 3)1",-34.9514883189853
CBA,Evapo,6,"ns(frac_area, df = 3)2",-8.15679099942186
CBA,Evapo,6,"ns(frac_area, df = 3)3",-5.26036775460756
CBA,Evapo,6,"TipoSF_early:ns(frac_area, df = 3)1",72.4122930928504
CBA,Evapo,6,"TipoSF_intermediate:ns(frac_area, df = 3)1",58.0192364479096
CBA,Evapo,6,"TipoSF_advanced:ns(frac_area, df = 3)1",62.6631758794548
CBA,Evapo,6,"TipoSF_early:ns(frac_area, df = 3)2",77.6371607778523
CBA,Evapo,6,"TipoSF_intermediate:ns(frac_area, df = 3)2",50.3301876997427
CBA,Evapo,6,"TipoSF_advanced:ns(frac_area, df = 3)2",52.6424756862874
CBA,Evapo,6,"TipoSF_early:ns(frac_area, df = 3)3",88.1661207800907
CBA,Evapo,6,"TipoSF_intermediate:ns(frac_area, df = 3)3",51.642615165129
CBA,Evapo,6,"TipoSF_advanced:ns(frac_area, df = 3)3",32.2415246728267
CBA,Evapo,7,(Intercept),1446.30494428474
CBA,Evapo,7,TipoSF_early,-40.0726453780347
CBA,Evapo,7,TipoSF_intermediate,-32.0017824010116
CBA,Evapo,7,TipoSF_advanced,-32.8510395417171
CBA,Evapo,7,"ns(frac_area, df = 3)1",-47.0440554259316
CBA,Evapo,7,"ns(frac_area, df = 3)2",-22.2285699957513
CBA,Evapo,7,"ns(frac_area, df = 3)3",-15.1472051873121
CBA,Evapo,7,"TipoSF_early:ns(frac_area, df = 3)1",88.419999522356
