region;response;run;status;error_message;n_cells_per_stratum;df_frac;elapsed_min
CBA;Evapo;1;success;;200;3;459,05
CBA;Evapo;2;success;;200;3;230,15
CBA;Evapo;3;success;;200;3;196,75
CBA;Evapo;4;success;;200;3;232,68
CBA;Evapo;5;success;;200;3;395,32
CBA;Evapo;6;success;;200;3;268,54
CBA;Evapo;7;success;;200;3;266,5
CBA;Evapo;8;success;;200;3;244,36
CBA;Evapo;9;success;;200;3;186,28
CBA;Evapo;10;success;;200;3;377,73
CBA;Evapo;11;success;;200;3;198,95
CBA;Evapo;12;success;;200;3;194,65
CBA;Evapo;13;success;;200;3;412,22
CBA;Evapo;14;success;;200;3;212,35
CBA;Evapo;15;success;;200;3;244,88
CBA;Evapo;16;success;;200;3;292,68
CBA;Evapo;17;success;;200;3;289,98
CBA;Evapo;18;success;;200;3;444,69
CBA;Evapo;19;success;;200;3;329,52
CBA;Evapo;20;success;;200;3;208,06
CBA;Evapo;21;success;;200;3;290,08
CBA;Evapo;22;success;;200;3;219,79
CBA;Evapo;23;success;;200;3;345,45
CBA;Evapo;24;success;;200;3;224,6
CBA;Evapo;25;success;;200;3;184,79
CBA;Evapo;26;success;;200;3;304,24
CBA;Evapo;27;success;;200;3;416,77
CBA;Evapo;28;success;;200;3;296,91
CBA;Evapo;29;success;;200;3;450
CBA;Evapo;30;success;;200;3;187,67
