region;response;run;CCC;RMSE;MAE;Bias;R2;Residual_SD;n_eval;n_cells_per_stratum;selected_cells;rows_model;n_unique_cells
CBA;Evapo;1;0,884726079467545;62,6057414602019;43,3813524806284;2,77414130647036e-12;0,794829777640652;62,6060645991181;96872;200;3306;96872;3306
CBA;Evapo;2;0,878799206488752;61,8704478266755;42,7586313711594;1,35761983501286e-12;0,785482129991971;61,8707657329785;97310;200;3300;97310;3300
CBA;Evapo;3;0,881960200153277;60,550558133354;42,146061878037;-1,9482035935598e-12;0,790455329589941;60,5508711200264;96731;200;3290;96731;3290
CBA;Evapo;4;0,891348386592713;60,9321830481762;42,0074873087247;2,27585866712768e-12;0,805374456036452;60,9324976497135;96841;200;3278;96841;3278
CBA;Evapo;5;0,876639464812443;62,0392702289104;42,8785155449793;-7,05928499293777e-13;0,782106937107295;62,0395906126639;96821;200;3278;96821;3278
CBA;Evapo;6;0,900076088021767;61,8178233659339;42,9027944643389;-2,65227999612647e-12;0,819491747291309;61,8181405943385;97435;200;3291;97435;3291
CBA;Evapo;7;0,895071190020005;61,6131561595699;42,6793276530161;4,48499274258426e-13;0,811374616067422;61,6134773483201;95915;200;3262;95915;3262
CBA;Evapo;8;0,888695101500184;62,5233490577814;43,2762688125049;7,05702401061754e-13;0,801129333697778;62,5236702528438;97330;200;3298;97330;3298
CBA;Evapo;9;0,892830983588986;62,1150353166689;43,0314667637528;1,82371454185312e-12;0,807763441957673;62,1153582899836;96162;200;3270;96162;3270
CBA;Evapo;10;0,898435586278964;62,0755359251265;43,0897696292125;1,03268360603254e-12;0,816822056218546;62,0758533325879;97786;200;3311;97786;3311
CBA;Evapo;11;0,883032737352163;63,0963502287121;43,48870344023;-2,50590611518931e-12;0,792152511432217;63,0966777969109;96311;200;3287;96311;3287
CBA;Evapo;12;0,882163179317568;60,9666153716396;42,2144850939543;9,63140748153675e-13;0,790780987617746;60,9669302810296;96801;200;3303;96801;3303
CBA;Evapo;13;0,893596235423159;60,2432443979189;41,8147683252682;5,11422786661264e-12;0,808989296944681;60,2435548109015;97038;200;3289;97038;3289
CBA;Evapo;14;0,896441411117546;62,2536960927396;43,3194716707391;-3,9438249437694e-12;0,813589115859771;62,2540165379704;97137;200;3299;97137;3299
CBA;Evapo;15;0,890946549523048;62,1926196770545;42,9007519716953;2,28157694537125e-13;0,804734975447293;62,1929412479736;96702;200;3285;96702;3285
CBA;Evapo;16;0,878583777638614;62,6566371589699;43,3776041387504;1,76648961122814e-12;0,785178081644387;62,6569655781759;95392;200;3291;95392;3291
CBA;Evapo;17;0,897111874106242;61,247117919424;42,5606433718439;3,38483206306817e-12;0,814679276912784;61,2474344477226;96749;200;3292;96749;3292
CBA;Evapo;18;0,888906797821398;62,1367352146865;42,8763650069252;1,10449227481805e-12;0,801475490810844;62,1370585967685;96074;200;3272;96074;3272
CBA;Evapo;19;0,886177382931665;63,4965053362133;43,8964185193384;-6,86100125397769e-13;0,79712288417317;63,4968322157082;97126;200;3296;97126;3296
CBA;Evapo;20;0,898209222214504;60,8712678318822;42,0605769349165;5,82656429603749e-13;0,816457816289791;60,8715828084436;96629;200;3278;96629;3278
CBA;Evapo;21;0,884613790640386;61,6726476632602;42,5649857285899;-1,74170661169807e-13;0,794638536902385;61,6729656708744;96968;200;3280;96968;3280
CBA;Evapo;22;0,889988566873659;61,7861719884399;42,7334116579384;5,40271527956552e-12;0,803193030283197;61,7864889113022;97479;200;3295;97479;3295
CBA;Evapo;23;0,897823555485597;61,8961620426313;42,8797751812118;2,49731538007914e-13;0,815831237536407;61,8964812356882;96958;200;3293;96958;3293
CBA;Evapo;24;0,884931032611667;61,2919659760296;42,5521730846546;4,51105217957502e-14;0,795151319643516;61,2922845372021;96202;200;3277;96202;3277
CBA;Evapo;25;0,887139954580854;62,1256614070077;42,9243020527479;-1,05063634637313e-12;0,79865678450422;62,1259830108499;96588;200;3284;96588;3284
CBA;Evapo;26;0,883618249021367;61,2254952381408;42,395572108018;7,42760933896382e-12;0,793070659755427;61,2258132323665;96269;200;3271;96269;3271
CBA;Evapo;27;0,886727137916191;61,2841206511176;42,463300430099;3,41391118799845e-13;0,797986238669692;61,2844328942752;98136;200;3307;98136;3307
CBA;Evapo;28;0,879983698945307;61,6853010362681;42,5544543918799;-1,16431207959203e-12;0,787335756307648;61,6856189484789;97017;200;3279;97017;3279
CBA;Evapo;29;0,890482647439302;61,1021207323758;42,3045297764349;-3,39587469020074e-14;0,803980049407556;61,1024352078902;97150;200;3276;97150;3276
CBA;Evapo;30;0,896244135746979;62,3875703421952;43,246400512938;-4,00761241428242e-13;0,813264398440074;62,3878916319896;97090;200;3285;97090;3285
