region;response;contrast_type;frac_plot;frac_bin;stage;median;lower;upper;n_runs;significant
EBA;Evapo;Spatially adjusted;0,01;;SF[e];130,61181770184;119,130171896582;141,199143706165;30;TRUE
EBA;Evapo;Spatially adjusted;0,01;;SF[i];136,711058023873;123,892724863069;148,87656401181;30;TRUE
EBA;Evapo;Spatially adjusted;0,01;;SF[a];137,495317900542;124,440979056949;148,890749429235;30;TRUE
EBA;Evapo;Spatially adjusted;0,030204;;SF[e];125,104566182709;114,482331786438;134,483844004815;30;TRUE
EBA;Evapo;Spatially adjusted;0,030204;;SF[i];131,635278134046;120,012764307539;142,920593317926;30;TRUE
EBA;Evapo;Spatially adjusted;0,030204;;SF[a];132,096220334007;120,075109261104;142,290356118651;30;TRUE
EBA;Evapo;Spatially adjusted;0,050408;;SF[e];119,508748229949;109,82125341712;127,769851481219;30;TRUE
EBA;Evapo;Spatially adjusted;0,050408;;SF[i];126,640492458683;116,113753723639;136,956356860372;30;TRUE
EBA;Evapo;Spatially adjusted;0,050408;;SF[a];126,732960677803;115,693278484233;135,688270855652;30;TRUE
EBA;Evapo;Spatially adjusted;0,070612;;SF[e];113,894946970053;105,133698529454;121,058473313132;30;TRUE
EBA;Evapo;Spatially adjusted;0,070612;;SF[i];121,618791257591;112,176643083;130,97558887548;30;TRUE
EBA;Evapo;Spatially adjusted;0,070612;;SF[a];121,218324480078;111,279525745314;129,390432023075;30;TRUE
EBA;Evapo;Spatially adjusted;0,090816;;SF[e];108,680836418633;100,517608120014;114,765127704711;30;TRUE
EBA;Evapo;Spatially adjusted;0,090816;;SF[i];116,571013973231;108,182382357253;124,970023599578;30;TRUE
EBA;Evapo;Spatially adjusted;0,090816;;SF[a];115,713679179546;106,817890063318;123,505410833853;30;TRUE
EBA;Evapo;Spatially adjusted;0,11102;;SF[e];103,004896075801;96,2071289954283;108,670420012659;30;TRUE
EBA;Evapo;Spatially adjusted;0,11102;;SF[i];111,490957300169;104,111921518028;118,95612917161;30;TRUE
EBA;Evapo;Spatially adjusted;0,11102;;SF[a];110,262758335142;102,335211873285;117,583638052193;30;TRUE
EBA;Evapo;Spatially adjusted;0,131224;;SF[e];96,9470107450707;91,345626914052;102,539445823492;30;TRUE
EBA;Evapo;Spatially adjusted;0,131224;;SF[i];106,257616871295;99,5389777477385;113,260579387631;30;TRUE
EBA;Evapo;Spatially adjusted;0,131224;;SF[a];104,415887471848;97,654550130945;111,615925779987;30;TRUE
EBA;Evapo;Spatially adjusted;0,151429;;SF[e];91,0763229472153;86,1018582427185;96,4315970402206;30;TRUE
EBA;Evapo;Spatially adjusted;0,151429;;SF[i];100,99367593864;94,3304358971423;107,492886665189;30;TRUE
EBA;Evapo;Spatially adjusted;0,151429;;SF[a];98,7217732737061;92,6377364870462;105,593086119125;30;TRUE
EBA;Evapo;Spatially adjusted;0,171633;;SF[e];85,2940946448114;80,7861243891457;90,2824179522425;30;TRUE
EBA;Evapo;Spatially adjusted;0,171633;;SF[i];95,6355306659339;89,0585930299049;101,411745224462;30;TRUE
EBA;Evapo;Spatially adjusted;0,171633;;SF[a];92,8699734240867;87,5195030462721;99,5059311714991;30;TRUE
EBA;Evapo;Spatially adjusted;0,191837;;SF[e];79,4667133427474;75,3528801546037;84,0185212322393;30;TRUE
EBA;Evapo;Spatially adjusted;0,191837;;SF[i];90,0095614977035;83,7150398951232;95,239267507864;30;TRUE
EBA;Evapo;Spatially adjusted;0,191837;;SF[a];86,7988968495844;81,9187025511415;93,3452730389991;30;TRUE
EBA;Evapo;Spatially adjusted;0,212041;;SF[e];73,4499481209979;69,4467556693833;78,2111888863869;30;TRUE
EBA;Evapo;Spatially adjusted;0,212041;;SF[i];84,0087258540232;78,6748775682171;88,9779944916797;30;TRUE
EBA;Evapo;Spatially adjusted;0,212041;;SF[a];80,919095660715;75,8702680109925;86,9356595691281;30;TRUE
EBA;Evapo;Spatially adjusted;0,232245;;SF[e];67,4871420413255;63,5097555257162;72,1928887733571;30;TRUE
EBA;Evapo;Spatially adjusted;0,232245;;SF[i];78,2668594758462;73,0570496775598;83,1183015919594;30;TRUE
EBA;Evapo;Spatially adjusted;0,232245;;SF[a];74,7055536094074;69,7792952955007;80,3436163402799;30;TRUE
EBA;Evapo;Spatially adjusted;0,252449;;SF[e];61,3126513842822;57,644406053066;66,0731986750582;30;TRUE
EBA;Evapo;Spatially adjusted;0,252449;;SF[i];72,8504278683327;67,2694217051051;77,2492493495036;30;TRUE
EBA;Evapo;Spatially adjusted;0,252449;;SF[a];68,4400957663987;63,7618305221069;73,9467189790836;30;TRUE
EBA;Evapo;Spatially adjusted;0,272653;;SF[e];55,40535920534;51,4953141243181;60,0485517196543;30;TRUE
EBA;Evapo;Spatially adjusted;0,272653;;SF[i];66,9607175013628;61,4055394886711;71,2051810082214;30;TRUE
EBA;Evapo;Spatially adjusted;0,272653;;SF[a];62,5091892776199;57,6848129682136;67,9196583677042;30;TRUE
EBA;Evapo;Spatially adjusted;0,292857;;SF[e];49,3857551106;45,2527090612516;54,0934924073051;30;TRUE
EBA;Evapo;Spatially adjusted;0,292857;;SF[i];60,9379735208545;55,4590485079258;64,8946458771635;30;TRUE
EBA;Evapo;Spatially adjusted;0,292857;;SF[a];56,4075423306137;51,5051599629579;61,7045069104619;30;TRUE
EBA;Evapo;Spatially adjusted;0,313061;;SF[e];43,1545865252575;38,9369824497689;48,1139795531369;30;TRUE
EBA;Evapo;Spatially adjusted;0,313061;;SF[i];54,6703815030625;49,4235942425379;58,274512646617;30;TRUE
EBA;Evapo;Spatially adjusted;0,313061;;SF[a];50,1847010078067;45,2149764716203;55,1321847272791;30;TRUE
EBA;Evapo;Spatially adjusted;0,333265;;SF[e];36,459820445813;32,4597212993561;41,8631462607326;30;TRUE
EBA;Evapo;Spatially adjusted;0,333265;;SF[i];47,9337623024315;43,2928221721753;51,5501275402287;30;TRUE
EBA;Evapo;Spatially adjusted;0,333265;;SF[a];43,812563233286;38,80636745948;48,3522991592843;30;TRUE
EBA;Evapo;Spatially adjusted;0,353469;;SF[e];29,779412003539;25,9501756362011;35,3339325411145;30;TRUE
EBA;Evapo;Spatially adjusted;0,353469;;SF[i];41,0882733685448;37,065409686446;44,7184200167693;30;TRUE
EBA;Evapo;Spatially adjusted;0,353469;;SF[a];37,1471843769249;32,2777710410739;41,3873442208817;30;TRUE
EBA;Evapo;Spatially adjusted;0,373673;;SF[e];23,2015644446142;19,4247030939352;28,5633905662589;30;TRUE
EBA;Evapo;Spatially adjusted;0,373673;;SF[i];34,2170494901808;30,7601618147146;37,692357306569;30;TRUE
EBA;Evapo;Spatially adjusted;0,373673;;SF[a];30,0817968604879;25,6529579279636;34,2662767065862;30;TRUE
EBA;Evapo;Spatially adjusted;0,393878;;SF[e];16,4755750025445;12,9033829093643;21,8956433623177;30;TRUE
EBA;Evapo;Spatially adjusted;0,393878;;SF[i];27,0678045927167;24,4009154962851;30,5129900747148;30;TRUE
EBA;Evapo;Spatially adjusted;0,393878;;SF[a];23,0386584769614;18,9667938025975;27,0262607284144;30;TRUE
EBA;Evapo;Spatially adjusted;0,414082;;SF[e];9,705007359467;6,40629431929524;15,2874091393495;30;TRUE
EBA;Evapo;Spatially adjusted;0,414082;;SF[i];20,0445393566995;17,7734523643142;23,2213689862916;30;TRUE
