region,response,run,term,estimate
EBA,Evapo,1,(Intercept),1576.69731221068
EBA,Evapo,1,TipoSF_early,-130.45529099533
EBA,Evapo,1,TipoSF_intermediate,-137.511879369092
EBA,Evapo,1,TipoSF_advanced,-144.138010322704
EBA,Evapo,1,"ns(frac_area, df = 3)1",-115.978013838282
EBA,Evapo,1,"ns(frac_area, df = 3)2",-123.016341128407
EBA,Evapo,1,"ns(frac_area, df = 3)3",-52.9854456136966
EBA,Evapo,1,"TipoSF_early:ns(frac_area, df = 3)1",188.019394023333
EBA,Evapo,1,"TipoSF_intermediate:ns(frac_area, df = 3)1",199.855335696591
EBA,Evapo,1,"TipoSF_advanced:ns(frac_area, df = 3)1",199.079737342731
EBA,Evapo,1,"TipoSF_early:ns(frac_area, df = 3)2",302.232356225195
EBA,Evapo,1,"TipoSF_intermediate:ns(frac_area, df = 3)2",297.545990425207
EBA,Evapo,1,"TipoSF_advanced:ns(frac_area, df = 3)2",317.40107072628
EBA,Evapo,1,"TipoSF_early:ns(frac_area, df = 3)3",176.870033231367
EBA,Evapo,1,"TipoSF_intermediate:ns(frac_area, df = 3)3",187.458066940519
EBA,Evapo,1,"TipoSF_advanced:ns(frac_area, df = 3)3",189.790478549387
EBA,Evapo,2,(Intercept),1578.58683183071
EBA,Evapo,2,TipoSF_early,-132.553949247557
EBA,Evapo,2,TipoSF_intermediate,-136.043845301364
EBA,Evapo,2,TipoSF_advanced,-137.561987402581
EBA,Evapo,2,"ns(frac_area, df = 3)1",-116.27797384526
EBA,Evapo,2,"ns(frac_area, df = 3)2",-127.260866203175
EBA,Evapo,2,"ns(frac_area, df = 3)3",-56.3927520214599
EBA,Evapo,2,"TipoSF_early:ns(frac_area, df = 3)1",203.294264176866
EBA,Evapo,2,"TipoSF_intermediate:ns(frac_area, df = 3)1",200.960555615886
EBA,Evapo,2,"TipoSF_advanced:ns(frac_area, df = 3)1",194.993624320275
EBA,Evapo,2,"TipoSF_early:ns(frac_area, df = 3)2",305.278627458763
EBA,Evapo,2,"TipoSF_intermediate:ns(frac_area, df = 3)2",297.220382288204
EBA,Evapo,2,"TipoSF_advanced:ns(frac_area, df = 3)2",304.651376104603
EBA,Evapo,2,"TipoSF_early:ns(frac_area, df = 3)3",183.157067379715
EBA,Evapo,2,"TipoSF_intermediate:ns(frac_area, df = 3)3",189.070505013141
EBA,Evapo,2,"TipoSF_advanced:ns(frac_area, df = 3)3",191.776435397054
EBA,Evapo,3,(Intercept),1589.28353908294
EBA,Evapo,3,TipoSF_early,-133.7426420478
EBA,Evapo,3,TipoSF_intermediate,-143.113868423874
EBA,Evapo,3,TipoSF_advanced,-141.840794587623
EBA,Evapo,3,"ns(frac_area, df = 3)1",-112.832511478261
EBA,Evapo,3,"ns(frac_area, df = 3)2",-130.849325207641
EBA,Evapo,3,"ns(frac_area, df = 3)3",-53.7308861167566
EBA,Evapo,3,"TipoSF_early:ns(frac_area, df = 3)1",184.348895735344
EBA,Evapo,3,"TipoSF_intermediate:ns(frac_area, df = 3)1",182.376094412795
EBA,Evapo,3,"TipoSF_advanced:ns(frac_area, df = 3)1",190.44035883632
EBA,Evapo,3,"TipoSF_early:ns(frac_area, df = 3)2",320.697587071026
EBA,Evapo,3,"TipoSF_intermediate:ns(frac_area, df = 3)2",318.557300187182
EBA,Evapo,3,"TipoSF_advanced:ns(frac_area, df = 3)2",317.947413813573
EBA,Evapo,3,"TipoSF_early:ns(frac_area, df = 3)3",187.929200644832
EBA,Evapo,3,"TipoSF_intermediate:ns(frac_area, df = 3)3",199.777487666809
EBA,Evapo,3,"TipoSF_advanced:ns(frac_area, df = 3)3",186.106327052336
EBA,Evapo,4,(Intercept),1591.20832629886
EBA,Evapo,4,TipoSF_early,-137.952155908389
EBA,Evapo,4,TipoSF_intermediate,-145.546492130348
EBA,Evapo,4,TipoSF_advanced,-144.897682158048
EBA,Evapo,4,"ns(frac_area, df = 3)1",-119.017800327699
EBA,Evapo,4,"ns(frac_area, df = 3)2",-139.083848106718
EBA,Evapo,4,"ns(frac_area, df = 3)3",-61.9471213144832
EBA,Evapo,4,"TipoSF_early:ns(frac_area, df = 3)1",200.796262852082
EBA,Evapo,4,"TipoSF_intermediate:ns(frac_area, df = 3)1",207.658525749223
EBA,Evapo,4,"TipoSF_advanced:ns(frac_area, df = 3)1",203.359603704646
EBA,Evapo,4,"TipoSF_early:ns(frac_area, df = 3)2",315.983503266736
EBA,Evapo,4,"TipoSF_intermediate:ns(frac_area, df = 3)2",316.661120183448
EBA,Evapo,4,"TipoSF_advanced:ns(frac_area, df = 3)2",322.029749852931
EBA,Evapo,4,"TipoSF_early:ns(frac_area, df = 3)3",183.892477753058
EBA,Evapo,4,"TipoSF_intermediate:ns(frac_area, df = 3)3",199.711062205841
EBA,Evapo,4,"TipoSF_advanced:ns(frac_area, df = 3)3",201.351950421584
EBA,Evapo,5,(Intercept),1586.00014280209
EBA,Evapo,5,TipoSF_early,-120.28755228896
EBA,Evapo,5,TipoSF_intermediate,-128.85634244126
EBA,Evapo,5,TipoSF_advanced,-129.361597769642
EBA,Evapo,5,"ns(frac_area, df = 3)1",-109.54965646985
EBA,Evapo,5,"ns(frac_area, df = 3)2",-118.966662773896
EBA,Evapo,5,"ns(frac_area, df = 3)3",-50.9857492070696
EBA,Evapo,5,"TipoSF_early:ns(frac_area, df = 3)1",185.721549162724
EBA,Evapo,5,"TipoSF_intermediate:ns(frac_area, df = 3)1",194.341164478211
EBA,Evapo,5,"TipoSF_advanced:ns(frac_area, df = 3)1",190.645115462967
EBA,Evapo,5,"TipoSF_early:ns(frac_area, df = 3)2",278.119382102581
EBA,Evapo,5,"TipoSF_intermediate:ns(frac_area, df = 3)2",284.097106600757
EBA,Evapo,5,"TipoSF_advanced:ns(frac_area, df = 3)2",295.80919217227
EBA,Evapo,5,"TipoSF_early:ns(frac_area, df = 3)3",164.894595145636
EBA,Evapo,5,"TipoSF_intermediate:ns(frac_area, df = 3)3",182.565024345163
EBA,Evapo,5,"TipoSF_advanced:ns(frac_area, df = 3)3",180.526184779677
EBA,Evapo,6,(Intercept),1575.24919734625
EBA,Evapo,6,TipoSF_early,-124.363220342897
EBA,Evapo,6,TipoSF_intermediate,-131.092835829128
EBA,Evapo,6,TipoSF_advanced,-132.915121322582
EBA,Evapo,6,"ns(frac_area, df = 3)1",-110.218502741991
EBA,Evapo,6,"ns(frac_area, df = 3)2",-112.391362031602
EBA,Evapo,6,"ns(frac_area, df = 3)3",-48.4449743679839
EBA,Evapo,6,"TipoSF_early:ns(frac_area, df = 3)1",185.571602691212
EBA,Evapo,6,"TipoSF_intermediate:ns(frac_area, df = 3)1",191.342508948448
EBA,Evapo,6,"TipoSF_advanced:ns(frac_area, df = 3)1",190.56234006397
EBA,Evapo,6,"TipoSF_early:ns(frac_area, df = 3)2",282.438243944316
EBA,Evapo,6,"TipoSF_intermediate:ns(frac_area, df = 3)2",285.811416418414
EBA,Evapo,6,"TipoSF_advanced:ns(frac_area, df = 3)2",296.218696009383
EBA,Evapo,6,"TipoSF_early:ns(frac_area, df = 3)3",169.743748729641
EBA,Evapo,6,"TipoSF_intermediate:ns(frac_area, df = 3)3",180.849567088156
EBA,Evapo,6,"TipoSF_advanced:ns(frac_area, df = 3)3",171.744995125375
EBA,Evapo,7,(Intercept),1586.33850949009
EBA,Evapo,7,TipoSF_early,-128.327719571253
EBA,Evapo,7,TipoSF_intermediate,-138.307235065677
EBA,Evapo,7,TipoSF_advanced,-144.051462021243
EBA,Evapo,7,"ns(frac_area, df = 3)1",-115.895334461108
EBA,Evapo,7,"ns(frac_area, df = 3)2",-118.49183168369
EBA,Evapo,7,"ns(frac_area, df = 3)3",-58.0808586811876
EBA,Evapo,7,"TipoSF_early:ns(frac_area, df = 3)1",190.130290678861
EBA,Evapo,7,"TipoSF_intermediate:ns(frac_area, df = 3)1",198.557232973968
EBA,Evapo,7,"TipoSF_advanced:ns(frac_area, df = 3)1",209.791314222316
EBA,Evapo,7,"TipoSF_early:ns(frac_area, df = 3)2",290.33404225632
EBA,Evapo,7,"TipoSF_intermediate:ns(frac_area, df = 3)2",298.730833756107
EBA,Evapo,7,"TipoSF_advanced:ns(frac_area, df = 3)2",324.620269237828
EBA,Evapo,7,"TipoSF_early:ns(frac_area, df = 3)3",187.371812458445
EBA,Evapo,7,"TipoSF_intermediate:ns(frac_area, df = 3)3",196.150810540284
EBA,Evapo,7,"TipoSF_advanced:ns(frac_area, df = 3)3",196.807787610671
EBA,Evapo,8,(Intercept),1573.33628082445
EBA,Evapo,8,TipoSF_early,-132.801563041877
EBA,Evapo,8,TipoSF_intermediate,-136.339301751911
EBA,Evapo,8,TipoSF_advanced,-133.82074679864
