region,response,term,median_beta,lower_beta,upper_beta,mean_beta,sd_beta
EBA,Evapo,(Intercept),1586.16543147469,1573.83184729352,1597.37007138836,1584.73503973,7.7497889752139
EBA,Evapo,TipoSF_early,-130.611817701839,-141.199143706165,-119.130171896582,-130.490098001424,5.99685615857111
EBA,Evapo,TipoSF_intermediate,-136.711058023873,-148.876564011811,-123.892724863069,-136.56170090531,6.70930795198921
EBA,Evapo,TipoSF_advanced,-137.495317900542,-148.890749429236,-124.440979056949,-137.60004787971,6.87039921790334
EBA,Evapo,"ns(frac_area, df = 3)1",-113.528467299975,-119.837549610119,-105.12031164106,-113.76658392425,4.37098885980528
EBA,Evapo,"ns(frac_area, df = 3)2",-124.053042573996,-144.738066437316,-102.31988795329,-124.142603954976,11.6318204374385
EBA,Evapo,"ns(frac_area, df = 3)3",-53.6656287611836,-60.0630317209691,-48.6060182147753,-53.7744270158752,3.30482446300508
EBA,Evapo,"TipoSF_early:ns(frac_area, df = 3)1",186.696104847439,175.077727556832,201.80085041765,187.759661646303,7.98896900945279
EBA,Evapo,"TipoSF_intermediate:ns(frac_area, df = 3)1",194.323968188616,178.921416673368,206.398627849872,193.798366984333,7.80659938394607
EBA,Evapo,"TipoSF_advanced:ns(frac_area, df = 3)1",192.73188008466,181.103953091501,206.374108994896,193.989172398281,7.19645594929139
EBA,Evapo,"TipoSF_early:ns(frac_area, df = 3)2",304.033417208146,273.320007997529,328.617590183034,302.648727666785,15.4326631468182
EBA,Evapo,"TipoSF_intermediate:ns(frac_area, df = 3)2",298.854158865095,269.872050060738,328.207616304362,299.459352684816,15.3593532356146
EBA,Evapo,"TipoSF_advanced:ns(frac_area, df = 3)2",310.128826299293,277.088651684278,337.832702958148,308.219775932081,16.2529746961849
EBA,Evapo,"TipoSF_early:ns(frac_area, df = 3)3",181.950983710646,168.092755631594,194.565567280859,181.421212823703,7.7909606733389
EBA,Evapo,"TipoSF_intermediate:ns(frac_area, df = 3)3",188.729202144447,181.139301147611,201.479538764987,190.340418310783,6.30268819180018
EBA,Evapo,"TipoSF_advanced:ns(frac_area, df = 3)3",188.074582417933,175.551430564523,206.064041405021,188.293041158356,8.01138355219746
