region;response;run;status;error_message;n_cells_per_stratum;df_frac;elapsed_min
EBA;Evapo;1;success;;200;3;354,27
EBA;Evapo;2;success;;200;3;327,04
EBA;Evapo;3;success;;200;3;287,12
EBA;Evapo;4;success;;200;3;265,17
EBA;Evapo;5;success;;200;3;211,09
EBA;Evapo;6;success;;200;3;285,86
EBA;Evapo;7;success;;200;3;431,81
EBA;Evapo;8;success;;200;3;497,53
EBA;Evapo;9;success;;200;3;473,6
EBA;Evapo;10;success;;200;3;417,24
EBA;Evapo;11;success;;200;3;355,8
EBA;Evapo;12;success;;200;3;524,97
EBA;Evapo;13;success;;200;3;219
EBA;Evapo;14;success;;200;3;247,8
EBA;Evapo;15;success;;200;3;378,03
EBA;Evapo;16;success;;200;3;312,56
EBA;Evapo;17;success;;200;3;229,45
EBA;Evapo;18;success;;200;3;320,54
EBA;Evapo;19;success;;200;3;346,94
EBA;Evapo;20;success;;200;3;547,93
EBA;Evapo;21;success;;200;3;235,13
EBA;Evapo;22;success;;200;3;295,44
EBA;Evapo;23;success;;200;3;322,37
EBA;Evapo;24;success;;200;3;288,12
EBA;Evapo;25;success;;200;3;389,64
EBA;Evapo;26;success;;200;3;584,17
EBA;Evapo;27;success;;200;3;547,98
EBA;Evapo;28;success;;200;3;278,02
EBA;Evapo;29;success;;200;3;399,85
EBA;Evapo;30;success;;200;3;306,89
