region;response;run;CCC;RMSE;MAE;Bias;R2;Residual_SD;n_eval;n_cells_per_stratum;selected_cells;rows_model;n_unique_cells
EBA;Evapo;1;0,812420163379687;80,3464597868377;59,063547876305;-6,33623490346495e-13;0,688241235692869;80,3468653752687;99050;200;3887;99050;3887
EBA;Evapo;2;0,80376558328603;81,1777623661538;59,5747254221277;1,82324752006672e-12;0,67637389415316;81,1781694997766;99695;200;3910;99695;3910
EBA;Evapo;3;0,805332641879701;82,215174912082;60,288368274403;-3,51505798511764e-12;0,678561161660474;82,2155927729727;98377;200;3905;98377;3905
EBA;Evapo;4;0,807834139054747;81,7309586130116;59,7878637525976;5,74866391355549e-13;0,681967367631748;81,7313726744114;98695;200;3902;98695;3902
EBA;Evapo;5;0,804525278263154;80,1378444976568;58,9749225563463;-2,07482993625756e-13;0,677424915643663;80,1382495073199;98934;200;3891;98934;3891
EBA;Evapo;6;0,804436362100446;80,0027054016127;58,5817233993508;2,10379379992255e-12;0,677326797084202;80,0031133445301;98057;200;3889;98057;3889
EBA;Evapo;7;0,801519105251785;82,4982260704653;60,4134012897242;2,32276740616833e-12;0,673350703319701;82,4986460402068;98220;200;3879;98220;3879
EBA;Evapo;8;0,806421393598847;80,8659091545055;59,4438933007064;-1,48203629076234e-12;0,680043212272099;80,8663190036952;98654;200;3912;98654;3912
EBA;Evapo;9;0,806175068421275;80,9391033408928;59,5836176144096;1,99412006006177e-12;0,67965852654237;80,9395115788948;99133;200;3891;99133;3891
EBA;Evapo;10;0,805444524943496;80,6590671031441;59,1574200235898;9,70139055343104e-14;0,678687150612702;80,6594748665471;98905;200;3897;98905;3897
EBA;Evapo;11;0,80222663904664;81,6750606626935;60,002541066935;-1,09857856530363e-12;0,674333421544764;81,6754757109349;98393;200;3903;98393;3903
EBA;Evapo;12;0,804957802602168;81,7642259984144;60,1311758839371;-2,10087404223608e-14;0,67802612423044;81,7646392945078;98918;200;3904;98918;3904
EBA;Evapo;13;0,802676487177303;81,9762279767946;60,2584678776878;-1,58658124424915e-12;0,674910167972779;81,9766396890246;99556;200;3910;99556;3910
EBA;Evapo;14;0,804420802534302;81,661464452145;60,2424648875749;-4,11503514081797e-13;0,677325738211303;81,6618804417554;98154;200;3906;98154;3906
EBA;Evapo;15;0,798080321766777;81,5055326796509;59,7505173721618;2,32257267550955e-12;0,668745931026993;81,5059481373634;98092;200;3897;98092;3897
EBA;Evapo;16;0,800939042270781;81,5794185572256;59,6993252220564;7,68545350158217e-13;0,672547497569585;81,5798289278272;99398;200;3908;99398;3908
EBA;Evapo;17;0,806389189894545;81,3009063726766;59,7250792942426;-4,41824885139088e-13;0,679927388703768;81,301313788802;99777;200;3896;99777;3896
EBA;Evapo;18;0,805583022010372;81,7120640727256;60,0335169425054;7,85901280868504e-14;0,678903835170645;81,7124804049273;98134;200;3897;98134;3897
EBA;Evapo;19;0,806663852846229;80,7078199818243;59,0647731940152;-6,95661348959283e-13;0,680360815991753;80,7082289551574;98672;200;3892;98672;3892
EBA;Evapo;20;0,805730527143859;82,2740296426302;60,2265325802318;5,64495512040272e-13;0,679130682139318;82,2744497971593;97910;200;3909;97910;3909
EBA;Evapo;21;0,804733637511108;82,1166102896447;60,1856585533818;8,26421105628984e-13;0,677725611428396;82,117025967872;98775;200;3901;98775;3901
EBA;Evapo;22;0,803776493525256;81,8910760661617;60,0709495953058;-2,34219890975464e-12;0,67639262398652;81,891486781411;99694;200;3906;99694;3906
EBA;Evapo;23;0,80321692291289;81,7668649978331;59,8694034657321;-2,80978504817733e-12;0,675671371109217;81,7672795855998;98613;200;3897;98613;3897
EBA;Evapo;24;0,809671939464612;80,761716214652;59,1954282294489;6,68603381182702e-13;0,684436097932292;80,7621214852467;99640;200;3899;99640;3899
EBA;Evapo;25;0,797364786305026;81,2232346656053;59,6227243489305;1,05423581777511e-12;0,667753641206852;81,2236451648847;98933;200;3903;98933;3903
EBA;Evapo;26;0,812957254383498;82,1494506715034;60,2057922760125;-1,55994859070536e-12;0,689017146204027;82,1498684149146;98326;200;3893;98326;3893
EBA;Evapo;27;0,797461227678052;81,0769838726986;59,4331210666554;-6,41867293813806e-13;0,667893630302339;81,0773950000391;98604;200;3908;98604;3908
EBA;Evapo;28;0,806771861455287;81,0088364454688;59,1999347752183;-5,09546396929697e-13;0,680513921294122;81,0092488836363;98208;200;3889;98208;3889
EBA;Evapo;29;0,808635080092976;80,8660773122481;59,6562943643524;2,47856158491566e-12;0,683050714955096;80,8664891410068;98180;200;3875;98180;3875
EBA;Evapo;30;0,806013367826944;81,6081453423135;59,8711669726858;1,71287172024439e-12;0,679458859541134;81,6085564281586;99260;200;3912;99260;3912
