region,Tipo_cell,frac_class,n_cells_total,n_cells_21_years,prop_cells_21_years,max_years
CBA,PF,"[0,0.2]",44741,37694,0.842493462372321,21
CBA,PF,"(0.2,0.4]",37534,27970,0.745191026802366,21
CBA,PF,"(0.4,0.6]",61853,35041,0.566520621473494,21
CBA,PF,"(0.6,0.8]",85842,50006,0.58253535565341,21
CBA,PF,"(0.8,1]",823777,792763,0.962351461621288,21
CBA,SF_advanced,"[0,0.2]",27060,0,0,14
CBA,SF_advanced,"(0.2,0.4]",10444,0,0,14
CBA,SF_advanced,"(0.4,0.6]",3024,0,0,14
CBA,SF_advanced,"(0.6,0.8]",774,0,0,14
CBA,SF_advanced,"(0.8,1]",153,0,0,14
CBA,SF_early,"[0,0.2]",65667,0,0,20
CBA,SF_early,"(0.2,0.4]",5349,0,0,11
CBA,SF_early,"(0.4,0.6]",855,0,0,11
CBA,SF_early,"(0.6,0.8]",204,0,0,9
CBA,SF_early,"(0.8,1]",36,0,0,8
CBA,SF_intermediate,"[0,0.2]",52248,0,0,10
CBA,SF_intermediate,"(0.2,0.4]",11845,0,0,10
CBA,SF_intermediate,"(0.4,0.6]",2601,0,0,10
CBA,SF_intermediate,"(0.6,0.8]",617,0,0,10
CBA,SF_intermediate,"(0.8,1]",117,0,0,10
EBA,PF,"[0,0.2]",32020,19551,0.610587133041849,21
EBA,PF,"(0.2,0.4]",45186,14506,0.32102863718851,21
EBA,PF,"(0.4,0.6]",121695,18526,0.152233041620445,21
EBA,PF,"(0.6,0.8]",137823,24997,0.181370308293971,21
EBA,PF,"(0.8,1]",491066,397137,0.80872428553392,21
EBA,SF_advanced,"[0,0.2]",98865,0,0,14
EBA,SF_advanced,"(0.2,0.4]",51416,0,0,14
EBA,SF_advanced,"(0.4,0.6]",19024,0,0,14
EBA,SF_advanced,"(0.6,0.8]",5949,0,0,14
EBA,SF_advanced,"(0.8,1]",1637,0,0,14
EBA,SF_early,"[0,0.2]",216840,0,0,20
EBA,SF_early,"(0.2,0.4]",32814,0,0,16
EBA,SF_early,"(0.4,0.6]",8643,0,0,12
EBA,SF_early,"(0.6,0.8]",2768,0,0,11
EBA,SF_early,"(0.8,1]",890,0,0,12
EBA,SF_intermediate,"[0,0.2]",183074,0,0,10
EBA,SF_intermediate,"(0.2,0.4]",65731,0,0,10
EBA,SF_intermediate,"(0.4,0.6]",20403,0,0,10
EBA,SF_intermediate,"(0.6,0.8]",5988,0,0,10
EBA,SF_intermediate,"(0.8,1]",1703,0,0,10
SBA,PF,"[0,0.2]",35492,23341,0.657641158570946,21
SBA,PF,"(0.2,0.4]",44136,22911,0.519100054377379,21
SBA,PF,"(0.4,0.6]",159429,34672,0.21747611789574,21
SBA,PF,"(0.6,0.8]",205346,49618,0.241631198075443,21
SBA,PF,"(0.8,1]",1035780,864905,0.835027708586766,21
SBA,SF_advanced,"[0,0.2]",67219,0,0,14
SBA,SF_advanced,"(0.2,0.4]",13470,0,0,14
SBA,SF_advanced,"(0.4,0.6]",3890,0,0,14
SBA,SF_advanced,"(0.6,0.8]",1317,0,0,14
SBA,SF_advanced,"(0.8,1]",503,0,0,14
SBA,SF_early,"[0,0.2]",294839,0,0,20
SBA,SF_early,"(0.2,0.4]",23416,0,0,15
SBA,SF_early,"(0.4,0.6]",6313,0,0,11
SBA,SF_early,"(0.6,0.8]",2114,0,0,11
SBA,SF_early,"(0.8,1]",680,0,0,11
SBA,SF_intermediate,"[0,0.2]",179867,0,0,10
SBA,SF_intermediate,"(0.2,0.4]",24864,0,0,10
SBA,SF_intermediate,"(0.4,0.6]",7058,0,0,10
SBA,SF_intermediate,"(0.6,0.8]",2448,0,0,10
SBA,SF_intermediate,"(0.8,1]",904,0,0,10
