region,response,run,term,estimate
SBA,Evapo,1,(Intercept),1448.79169265728
SBA,Evapo,1,TipoSF_early,-162.907322441844
SBA,Evapo,1,TipoSF_intermediate,-162.592829070438
SBA,Evapo,1,TipoSF_advanced,-149.901838573705
SBA,Evapo,1,"ns(frac_area, df = 3)1",-152.621442431782
SBA,Evapo,1,"ns(frac_area, df = 3)2",-132.226424929793
SBA,Evapo,1,"ns(frac_area, df = 3)3",-30.9303110390617
SBA,Evapo,1,"TipoSF_early:ns(frac_area, df = 3)1",221.813518731986
SBA,Evapo,1,"TipoSF_intermediate:ns(frac_area, df = 3)1",229.252508474479
SBA,Evapo,1,"TipoSF_advanced:ns(frac_area, df = 3)1",242.971616506591
SBA,Evapo,1,"TipoSF_early:ns(frac_area, df = 3)2",321.003170001791
SBA,Evapo,1,"TipoSF_intermediate:ns(frac_area, df = 3)2",360.175612101517
SBA,Evapo,1,"TipoSF_advanced:ns(frac_area, df = 3)2",358.923871918618
SBA,Evapo,1,"TipoSF_early:ns(frac_area, df = 3)3",148.646609102254
SBA,Evapo,1,"TipoSF_intermediate:ns(frac_area, df = 3)3",193.264387164064
SBA,Evapo,1,"TipoSF_advanced:ns(frac_area, df = 3)3",183.927670913111
SBA,Evapo,2,(Intercept),1440.76191108945
SBA,Evapo,2,TipoSF_early,-143.195099252179
SBA,Evapo,2,TipoSF_intermediate,-138.218162440869
SBA,Evapo,2,TipoSF_advanced,-127.706950703082
SBA,Evapo,2,"ns(frac_area, df = 3)1",-151.280542174873
SBA,Evapo,2,"ns(frac_area, df = 3)2",-108.339028009397
SBA,Evapo,2,"ns(frac_area, df = 3)3",-19.0687810290336
SBA,Evapo,2,"TipoSF_early:ns(frac_area, df = 3)1",224.651225589477
SBA,Evapo,2,"TipoSF_intermediate:ns(frac_area, df = 3)1",223.847253651777
SBA,Evapo,2,"TipoSF_advanced:ns(frac_area, df = 3)1",248.603365876779
SBA,Evapo,2,"TipoSF_early:ns(frac_area, df = 3)2",258.505025140674
SBA,Evapo,2,"TipoSF_intermediate:ns(frac_area, df = 3)2",290.194359640401
SBA,Evapo,2,"TipoSF_advanced:ns(frac_area, df = 3)2",305.924795930376
SBA,Evapo,2,"TipoSF_early:ns(frac_area, df = 3)3",121.835469948282
SBA,Evapo,2,"TipoSF_intermediate:ns(frac_area, df = 3)3",170.733901235858
SBA,Evapo,2,"TipoSF_advanced:ns(frac_area, df = 3)3",163.996904544348
SBA,Evapo,3,(Intercept),1441.49739761161
SBA,Evapo,3,TipoSF_early,-159.412860960873
SBA,Evapo,3,TipoSF_intermediate,-149.139698511006
SBA,Evapo,3,TipoSF_advanced,-141.906053819572
SBA,Evapo,3,"ns(frac_area, df = 3)1",-157.301114102222
SBA,Evapo,3,"ns(frac_area, df = 3)2",-128.223195847028
SBA,Evapo,3,"ns(frac_area, df = 3)3",-29.3538292254173
SBA,Evapo,3,"TipoSF_early:ns(frac_area, df = 3)1",231.539283450875
SBA,Evapo,3,"TipoSF_intermediate:ns(frac_area, df = 3)1",234.206630397596
SBA,Evapo,3,"TipoSF_advanced:ns(frac_area, df = 3)1",260.601836214851
SBA,Evapo,3,"TipoSF_early:ns(frac_area, df = 3)2",305.862975899741
SBA,Evapo,3,"TipoSF_intermediate:ns(frac_area, df = 3)2",314.599073243028
SBA,Evapo,3,"TipoSF_advanced:ns(frac_area, df = 3)2",342.577830340587
SBA,Evapo,3,"TipoSF_early:ns(frac_area, df = 3)3",147.470958315619
SBA,Evapo,3,"TipoSF_intermediate:ns(frac_area, df = 3)3",189.297957586483
SBA,Evapo,3,"TipoSF_advanced:ns(frac_area, df = 3)3",194.109006596894
SBA,Evapo,4,(Intercept),1426.54961619101
SBA,Evapo,4,TipoSF_early,-145.999802350269
SBA,Evapo,4,TipoSF_intermediate,-146.694877257331
SBA,Evapo,4,TipoSF_advanced,-129.379518684633
SBA,Evapo,4,"ns(frac_area, df = 3)1",-151.411916282976
SBA,Evapo,4,"ns(frac_area, df = 3)2",-98.9693724011364
SBA,Evapo,4,"ns(frac_area, df = 3)3",-26.2564845900629
SBA,Evapo,4,"TipoSF_early:ns(frac_area, df = 3)1",225.795618297655
SBA,Evapo,4,"TipoSF_intermediate:ns(frac_area, df = 3)1",222.262260244085
SBA,Evapo,4,"TipoSF_advanced:ns(frac_area, df = 3)1",242.662039696589
SBA,Evapo,4,"TipoSF_early:ns(frac_area, df = 3)2",275.618914028043
SBA,Evapo,4,"TipoSF_intermediate:ns(frac_area, df = 3)2",319.813941473358
SBA,Evapo,4,"TipoSF_advanced:ns(frac_area, df = 3)2",307.259613899835
SBA,Evapo,4,"TipoSF_early:ns(frac_area, df = 3)3",141.722604511984
SBA,Evapo,4,"TipoSF_intermediate:ns(frac_area, df = 3)3",181.695682313215
SBA,Evapo,4,"TipoSF_advanced:ns(frac_area, df = 3)3",165.882404311686
SBA,Evapo,5,(Intercept),1445.28383555695
SBA,Evapo,5,TipoSF_early,-164.167211437398
SBA,Evapo,5,TipoSF_intermediate,-155.309291014765
SBA,Evapo,5,TipoSF_advanced,-147.845783822108
SBA,Evapo,5,"ns(frac_area, df = 3)1",-162.809936923519
SBA,Evapo,5,"ns(frac_area, df = 3)2",-119.789260323644
SBA,Evapo,5,"ns(frac_area, df = 3)3",-28.7334785019643
SBA,Evapo,5,"TipoSF_early:ns(frac_area, df = 3)1",232.164272911451
SBA,Evapo,5,"TipoSF_intermediate:ns(frac_area, df = 3)1",235.702709279423
SBA,Evapo,5,"TipoSF_advanced:ns(frac_area, df = 3)1",250.099964282915
SBA,Evapo,5,"TipoSF_early:ns(frac_area, df = 3)2",316.982014898793
SBA,Evapo,5,"TipoSF_intermediate:ns(frac_area, df = 3)2",333.01048732222
SBA,Evapo,5,"TipoSF_advanced:ns(frac_area, df = 3)2",364.807679762301
SBA,Evapo,5,"TipoSF_early:ns(frac_area, df = 3)3",151.572084818784
SBA,Evapo,5,"TipoSF_intermediate:ns(frac_area, df = 3)3",200.19771558611
SBA,Evapo,5,"TipoSF_advanced:ns(frac_area, df = 3)3",187.454597697693
SBA,Evapo,6,(Intercept),1437.37290237965
SBA,Evapo,6,TipoSF_early,-149.962029351838
SBA,Evapo,6,TipoSF_intermediate,-146.447670626616
SBA,Evapo,6,TipoSF_advanced,-133.323905029808
SBA,Evapo,6,"ns(frac_area, df = 3)1",-155.347308880468
SBA,Evapo,6,"ns(frac_area, df = 3)2",-106.866874491568
SBA,Evapo,6,"ns(frac_area, df = 3)3",-29.9492621142375
SBA,Evapo,6,"TipoSF_early:ns(frac_area, df = 3)1",233.672732161262
SBA,Evapo,6,"TipoSF_intermediate:ns(frac_area, df = 3)1",234.379502702769
SBA,Evapo,6,"TipoSF_advanced:ns(frac_area, df = 3)1",254.592610716964
SBA,Evapo,6,"TipoSF_early:ns(frac_area, df = 3)2",292.64585084724
SBA,Evapo,6,"TipoSF_intermediate:ns(frac_area, df = 3)2",309.923081306572
SBA,Evapo,6,"TipoSF_advanced:ns(frac_area, df = 3)2",323.203077810145
SBA,Evapo,6,"TipoSF_early:ns(frac_area, df = 3)3",149.047379694285
SBA,Evapo,6,"TipoSF_intermediate:ns(frac_area, df = 3)3",180.227632180975
SBA,Evapo,6,"TipoSF_advanced:ns(frac_area, df = 3)3",175.673606497599
SBA,Evapo,7,(Intercept),1443.40523035707
SBA,Evapo,7,TipoSF_early,-157.432275191721
SBA,Evapo,7,TipoSF_intermediate,-151.954424863515
SBA,Evapo,7,TipoSF_advanced,-146.69093372299
SBA,Evapo,7,"ns(frac_area, df = 3)1",-149.48068774262
SBA,Evapo,7,"ns(frac_area, df = 3)2",-121.38693032065
SBA,Evapo,7,"ns(frac_area, df = 3)3",-26.546842237567
SBA,Evapo,7,"TipoSF_early:ns(frac_area, df = 3)1",223.632747133582
SBA,Evapo,7,"TipoSF_intermediate:ns(frac_area, df = 3)1",217.763288915112
SBA,Evapo,7,"TipoSF_advanced:ns(frac_area, df = 3)1",231.485213787159
SBA,Evapo,7,"TipoSF_early:ns(frac_area, df = 3)2",303.358871240793
