region,response,term,median_beta,lower_beta,upper_beta,mean_beta,sd_beta
SBA,Evapo,(Intercept),1441.38566522506,1418.18620072399,1453.48080951095,1439.79838680385,9.30108625149368
SBA,Evapo,TipoSF_early,-155.177105195192,-168.268983697881,-143.572044517393,-155.445653851522,7.28657616718377
SBA,Evapo,TipoSF_intermediate,-151.83465636579,-165.504001664554,-138.624074291352,-151.823133589434,7.43393021008282
SBA,Evapo,TipoSF_advanced,-140.069908056384,-150.324078711369,-127.13996131069,-138.692010206627,7.25960575764456
SBA,Evapo,"ns(frac_area, df = 3)1",-155.550090385418,-171.122015978148,-147.962705931883,-156.579693176913,6.08941837572947
SBA,Evapo,"ns(frac_area, df = 3)2",-119.982865409362,-141.51860260929,-95.4325267405118,-118.681293603105,13.0054916307143
SBA,Evapo,"ns(frac_area, df = 3)3",-26.3897231593383,-31.5260771418779,-19.8493140629787,-25.881839245224,3.55553019498993
SBA,Evapo,"TipoSF_early:ns(frac_area, df = 3)1",225.734871157387,212.003398229122,245.484867868552,227.318467471653,9.60895397827937
SBA,Evapo,"TipoSF_intermediate:ns(frac_area, df = 3)1",226.985321851844,210.058752377726,243.848150721656,228.562215197939,10.0760313562608
SBA,Evapo,"TipoSF_advanced:ns(frac_area, df = 3)1",246.443487309994,224.469044797513,266.761426956004,244.786085374656,12.6134242427484
SBA,Evapo,"TipoSF_early:ns(frac_area, df = 3)2",295.720881957749,260.45176699432,324.979760596717,297.504950579047,17.7790806402177
SBA,Evapo,"TipoSF_intermediate:ns(frac_area, df = 3)2",329.301392903459,295.919291805272,360.779513300508,328.01684860113,19.0751168825935
SBA,Evapo,"TipoSF_advanced:ns(frac_area, df = 3)2",331.805431060034,305.740783601786,365.427635829175,332.757444235281,18.085946150668
SBA,Evapo,"TipoSF_early:ns(frac_area, df = 3)3",144.095743783951,124.007443279953,156.823078689925,144.369286504903,8.59992027869032
SBA,Evapo,"TipoSF_intermediate:ns(frac_area, df = 3)3",185.303883968605,172.538204882721,200.475556050059,185.330953443175,7.31474610567309
SBA,Evapo,"TipoSF_advanced:ns(frac_area, df = 3)3",176.298385846786,163.964577408774,196.591878924474,178.418422283747,9.7400597411223
