region;response;run;status;error_message;n_cells_per_stratum;df_frac;elapsed_min
SBA;Evapo;1;success;;200;3;355,08
SBA;Evapo;2;success;;200;3;384,18
SBA;Evapo;3;success;;200;3;383,9
SBA;Evapo;4;success;;200;3;398,71
SBA;Evapo;5;success;;200;3;494,76
SBA;Evapo;6;success;;200;3;406,55
SBA;Evapo;7;success;;200;3;321,45
SBA;Evapo;8;success;;200;3;247,31
SBA;Evapo;9;success;;200;3;369,3
SBA;Evapo;10;success;;200;3;432,63
SBA;Evapo;11;success;;200;3;421,6
SBA;Evapo;12;success;;200;3;279,03
SBA;Evapo;13;success;;200;3;297,19
SBA;Evapo;14;success;;200;3;422,66
SBA;Evapo;15;success;;200;3;332,25
SBA;Evapo;16;success;;200;3;433,28
SBA;Evapo;17;success;;200;3;211,44
SBA;Evapo;18;success;;200;3;540,43
SBA;Evapo;19;success;;200;3;380,29
SBA;Evapo;20;success;;200;3;420,83
SBA;Evapo;21;success;;200;3;418,46
SBA;Evapo;22;success;;200;3;396,9
SBA;Evapo;23;success;;200;3;446,32
SBA;Evapo;24;success;;200;3;353,27
SBA;Evapo;25;success;;200;3;335,42
SBA;Evapo;26;success;;200;3;236,55
SBA;Evapo;27;success;;200;3;211,71
SBA;Evapo;28;success;;200;3;308,02
SBA;Evapo;29;success;;200;3;391,33
SBA;Evapo;30;success;;200;3;293,79
