region;response;contrast_type;frac_plot;frac_bin;stage;median;lower;upper;n_runs
CBA;Prec;Spatially adjusted;0,01;;SF[e];-6,17646973997853;-12,8483173798451;0,268049652775;30
CBA;Prec;Spatially adjusted;0,01;;SF[i];-3,98922628448463;-13,2819155620653;10,0998122812722;30
CBA;Prec;Spatially adjusted;0,01;;SF[a];-16,5708361107786;-26,6187298412017;0,732974384151862;30
CBA;Prec;Spatially adjusted;0,030204;;SF[e];-4,91054124344555;-11,2745554036873;0,547181599806192;30
CBA;Prec;Spatially adjusted;0,030204;;SF[i];-4,05661782220091;-12,3469615716793;8,58520510827137;30
CBA;Prec;Spatially adjusted;0,030204;;SF[a];-15,2626373715555;-24,2244886153524;0,93098085378283;30
CBA;Prec;Spatially adjusted;0,050408;;SF[e];-3,91846430068631;-9,71053117538068;1,33457923119027;30
CBA;Prec;Spatially adjusted;0,050408;;SF[i];-4,12021012348783;-11,4175905838981;7,08392865125091;30
CBA;Prec;Spatially adjusted;0,050408;;SF[a];-13,9251643701125;-22,2488128950557;1,03869733740702;30
CBA;Prec;Spatially adjusted;0,070612;;SF[e];-3,00556258685902;-8,25639200230459;2,11082630122893;30
CBA;Prec;Spatially adjusted;0,070612;;SF[i];-4,34810811928287;-10,3984580172246;5,60931362619165;30
CBA;Prec;Spatially adjusted;0,070612;;SF[a];-12,4158573131163;-20,2855380158926;1,15132451249915;30
CBA;Prec;Spatially adjusted;0,090816;;SF[e];-1,99438058982696;-6,9630199902778;3,05640238635163;30
CBA;Prec;Spatially adjusted;0,090816;;SF[i];-4,62545660963497;-10,0198534117767;4,46677408853798;30
CBA;Prec;Spatially adjusted;0,090816;;SF[a];-10,6850210302955;-18,3408643984319;1,27131772479322;30
CBA;Prec;Spatially adjusted;0,11102;;SF[e];-1,09769763214718;-5,79621211428103;4,02079190025665;30
CBA;Prec;Spatially adjusted;0,11102;;SF[i];-4,87775355380882;-9,51112970639391;3,79684324720208;30
CBA;Prec;Spatially adjusted;0,11102;;SF[a];-8,73324312925366;-16,7124614574742;1,40113232002351;30
CBA;Prec;Spatially adjusted;0,131224;;SF[e];-0,207600135331859;-4,74981352275051;4,96868551953377;30
CBA;Prec;Spatially adjusted;0,131224;;SF[i];-4,67165702105172;-9,01382852325373;3,14631290206279;30
CBA;Prec;Spatially adjusted;0,131224;;SF[a];-7,62158728901977;-14,8506816464392;1,54322364392368;30
CBA;Prec;Spatially adjusted;0,151429;;SF[e];0,529805498801352;-3,7410095960674;6,23522531610807;30
CBA;Prec;Spatially adjusted;0,151429;;SF[i];-4,29175080549931;-8,53023436680622;2,3945987202745;30
CBA;Prec;Spatially adjusted;0,151429;;SF[a];-6,26838428738847;-13,127306704286;1,81023612221488;30
CBA;Prec;Spatially adjusted;0,171633;;SF[e];1,15485660167178;-3,05267651154849;7,36402584327634;30
CBA;Prec;Spatially adjusted;0,171633;;SF[i];-3,95578271441604;-8,12443351398253;1,48062359891711;30
CBA;Prec;Spatially adjusted;0,171633;;SF[a];-4,23070070742665;-11,5627984228496;2,81736284501196;30
CBA;Prec;Spatially adjusted;0,191837;;SF[e];1,86570371781181;-2,63027283399169;8,37501211348375;30
CBA;Prec;Spatially adjusted;0,191837;;SF[i];-3,9497571335528;-8,1811862314204;1,06008862053396;30
CBA;Prec;Spatially adjusted;0,191837;;SF[a];-2,97394710364279;-10,0277761163086;3,78347216280377;30
CBA;Prec;Spatially adjusted;0,212041;;SF[e];2,67198216830275;-1,88626416583965;9,71805675345664;30
CBA;Prec;Spatially adjusted;0,212041;;SF[i];-3,69315609176942;-8,20070616522305;1,02944425753724;30
CBA;Prec;Spatially adjusted;0,212041;;SF[a];-1,97521710179035;-8,52592553152482;4,70343689996574;30
CBA;Prec;Spatially adjusted;0,232245;;SF[e];3,33635880474025;-1,05595821150927;10,899668581655;30
CBA;Prec;Spatially adjusted;0,232245;;SF[i];-4,04042159842539;-8,17885633943131;1,01891820166583;30
CBA;Prec;Spatially adjusted;0,232245;;SF[a];-0,788839891488578;-7,64565091132787;5,49521119175476;30
CBA;Prec;Spatially adjusted;0,252449;;SF[e];3,7387473526835;-0,286457447832639;11,8876069685695;30
CBA;Prec;Spatially adjusted;0,252449;;SF[i];-3,8831026179073;-8,11149977808577;0,817152258354475;30
CBA;Prec;Spatially adjusted;0,252449;;SF[a];0,228096942309322;-7,03856460263579;6,05058627854867;30
CBA;Prec;Spatially adjusted;0,272653;;SF[e];4,28109006012255;0,0971013842922849;12,6642652377199;30
CBA;Prec;Spatially adjusted;0,272653;;SF[i];-3,64976295582892;-7,99449950522614;1,11810828644165;30
CBA;Prec;Spatially adjusted;0,272653;;SF[a];1,61510984597771;-6,31358791880711;6,92790522170808;30
CBA;Prec;Spatially adjusted;0,292857;;SF[e];4,70871008870495;0,353230501170922;13,1324553784978;30
CBA;Prec;Spatially adjusted;0,292857;;SF[i];-3,69788238137131;-7,82371854489444;1,59916095673451;30
CBA;Prec;Spatially adjusted;0,292857;;SF[a];2,33591339304803;-5,21436484251461;7,91352348812843;30
CBA;Prec;Spatially adjusted;0,313061;;SF[e];5,21250225586778;0,639403156871382;13,290095722913;30
CBA;Prec;Spatially adjusted;0,313061;;SF[i];-3,68142832108606;-7,59501992112993;1,9383658729801;30
CBA;Prec;Spatially adjusted;0,313061;;SF[a];3,05204675616529;-4,08057417154093;8,80935867710512;30
CBA;Prec;Spatially adjusted;0,333265;;SF[e];5,52946904952546;0,95776531845289;13,1903223249238;30
CBA;Prec;Spatially adjusted;0,333265;;SF[i];-3,7275067269104;-7,33157765988429;2,27798975886316;30
CBA;Prec;Spatially adjusted;0,333265;;SF[a];3,86439385784365;-3,25508433157695;9,61649059718929;30
CBA;Prec;Spatially adjusted;0,353469;;SF[e];5,75847404113415;1,2877727860697;13,5041752967692;30
CBA;Prec;Spatially adjusted;0,353469;;SF[i];-3,66268537738597;-7,06300448578143;2,59620227382543;30
CBA;Prec;Spatially adjusted;0,353469;;SF[a];4,92010958935316;-2,4127904610836;10,1702491005381;30
CBA;Prec;Spatially adjusted;0,373673;;SF[e];5,35426127123856;1,32481264151627;13,3968654513041;30
CBA;Prec;Spatially adjusted;0,373673;;SF[i];-3,52593742989802;-6,66653053800827;2,90780816233449;30
CBA;Prec;Spatially adjusted;0,373673;;SF[a];5,63000470905513;-1,49491662045595;10,6379978110514;30
CBA;Prec;Spatially adjusted;0,393878;;SF[e];4,94501677907578;1,32627060001461;13,0200680358501;30
CBA;Prec;Spatially adjusted;0,393878;;SF[i];-3,08778972000391;-6,16157754983575;3,19941464730147;30
CBA;Prec;Spatially adjusted;0,393878;;SF[a];6,20723610406549;-0,51862714853496;10,9462579044586;30
CBA;Prec;Spatially adjusted;0,414082;;SF[e];4,62552708211365;1,30284275096888;12,4844555653898;30
CBA;Prec;Spatially adjusted;0,414082;;SF[i];-2,52055160049713;-5,74494668233899;3,46442100487627;30
CBA;Prec;Spatially adjusted;0,414082;;SF[a];6,74723509588785;0,498913615838433;11,1081345411083;30
CBA;Prec;Spatially adjusted;0,434286;;SF[e];4,35290495062282;1,26522518378115;11,8198907479407;30
CBA;Prec;Spatially adjusted;0,434286;;SF[i];-1,73188159804886;-5,36713511991868;3,69622651120822;30
CBA;Prec;Spatially adjusted;0,434286;;SF[a];7,130987719926;1,54054133382401;11,1006993396523;30
CBA;Prec;Spatially adjusted;0,45449;;SF[e];4,23209752164053;1,10194188092858;11,056236291522;30
CBA;Prec;Spatially adjusted;0,45449;;SF[i];-1,57149539785246;-5,13006353677334;3,72153782162725;30
CBA;Prec;Spatially adjusted;0,45449;;SF[a];7,43434967605504;2,58909166658095;11,287629790099;30
CBA;Prec;Spatially adjusted;0,474694;;SF[e];4,16997690185463;0,584456693847767;10,3568130904347;30
CBA;Prec;Spatially adjusted;0,474694;;SF[i];-1,54151953925407;-5,1570723359849;3,65777234198673;30
CBA;Prec;Spatially adjusted;0,474694;;SF[a];7,89327261864128;3,62740027526793;11,3339986081458;30
CBA;Prec;Spatially adjusted;0,494898;;SF[e];3,75895806652693;-0,0940147944687281;10,5279815062392;30
