permutation,n_runs,estimate,contrast,cover_value
1,2,2.84996084508202,PF − SF[e],0.25
1,3,2.16728960134196,PF − SF[e],0.25
1,4,2.84996084508202,PF − SF[e],0.25
1,5,3.53263208882208,PF − SF[e],0.25
1,6,3.16206020307618,PF − SF[e],0.25
1,7,3.41977705711133,PF − SF[e],0.25
1,8,3.10563268722081,PF − SF[e],0.25
1,9,2.96467296102946,PF − SF[e],0.25
1,10,3.1922250090704,PF − SF[e],0.25
1,11,3.41977705711133,PF − SF[e],0.25
1,12,3.47620457296671,PF − SF[e],0.25
1,13,3.41977705711133,PF − SF[e],0.25
1,14,3.47620457296671,PF − SF[e],0.25
1,15,3.41977705711133,PF − SF[e],0.25
1,16,3.47620457296671,PF − SF[e],0.25
1,17,3.53263208882208,PF − SF[e],0.25
1,18,3.69883292399868,PF − SF[e],0.25
1,19,3.53263208882208,PF − SF[e],0.25
1,20,3.47620457296671,PF − SF[e],0.25
1,21,3.41977705711133,PF − SF[e],0.25
1,22,3.47620457296671,PF − SF[e],0.25
1,23,3.53263208882208,PF − SF[e],0.25
1,24,3.47620457296671,PF − SF[e],0.25
1,25,3.41977705711133,PF − SF[e],0.25
1,26,3.47620457296671,PF − SF[e],0.25
1,27,3.53263208882208,PF − SF[e],0.25
1,28,3.57254651750691,PF − SF[e],0.25
1,29,3.61246094619173,PF − SF[e],0.25
1,30,3.7387473526835,PF − SF[e],0.25
2,2,2.58062870136746,PF − SF[e],0.25
2,3,4.55224776700197,PF − SF[e],0.25
2,4,4.44389632865909,PF − SF[e],0.25
2,5,4.33554489031621,PF − SF[e],0.25
2,6,4.44389632865909,PF − SF[e],0.25
2,7,4.55224776700197,PF − SF[e],0.25
2,8,5.72925696617176,PF − SF[e],0.25
2,9,6.90626616534155,PF − SF[e],0.25
2,10,5.72925696617176,PF − SF[e],0.25
2,11,4.55224776700197,PF − SF[e],0.25
2,12,5.46230856760576,PF − SF[e],0.25
2,13,6.14249961626047,PF − SF[e],0.25
2,14,5.8128985814642,PF − SF[e],0.25
2,15,5.48329754666793,PF − SF[e],0.25
2,16,5.01777265683495,PF − SF[e],0.25
2,17,4.55224776700197,PF − SF[e],0.25
2,18,5.01777265683495,PF − SF[e],0.25
2,19,4.55224776700197,PF − SF[e],0.25
