contrast,cover_value,n_runs,median,lower,upper,cover_label
PF − SF[a],0.25,2,0.107114273968364,-4.97931561057621,4.4873389840722,25% forest cover
PF − SF[a],0.25,3,0.212153059573666,-5.3682534445993,4.23239200169898,25% forest cover
PF − SF[a],0.25,4,0.188217145819067,-4.18651504576603,3.58901051159897,25% forest cover
PF − SF[a],0.25,5,0.222352934607898,-2.87131208624169,3.10346883932971,25% forest cover
PF − SF[a],0.25,6,0.31554444614744,-3.15798798283254,2.92643845043468,25% forest cover
PF − SF[a],0.25,7,0.222352934607898,-2.574881484199,2.89066233775475,25% forest cover
PF − SF[a],0.25,8,0.228096942309322,-2.21684012982721,2.51568288170712,25% forest cover
PF − SF[a],0.25,9,0.222352934607898,-2.56728069953124,1.87005045069945,25% forest cover
PF − SF[a],0.25,10,0.491412342333321,-1.52966694594929,2.21242888552024,25% forest cover
PF − SF[a],0.25,11,0.233840950010745,-2.35594411712464,1.84388091513392,25% forest cover
PF − SF[a],0.25,12,0.518824842844197,-1.10497167127713,1.74677713930503,25% forest cover
PF − SF[a],0.25,13,0.222352934607898,-0.444261117373571,1.68027837557293,25% forest cover
PF − SF[a],0.25,14,0.491412342333321,-0.604364844971769,1.5262695882957,25% forest cover
PF − SF[a],0.25,15,0.222352934607898,-0.444261117373571,1.63210247705592,25% forest cover
PF − SF[a],0.25,16,0.332413376047498,-0.147961884022379,1.50278383776865,25% forest cover
PF − SF[a],0.25,17,0.233840950010745,-0.0265629268028645,1.63210247705592,25% forest cover
PF − SF[a],0.25,18,0.228096942309322,-0.230056917080901,1.50218163903719,25% forest cover
PF − SF[a],0.25,19,0.222352934607898,-0.0158527167882312,1.37226080101846,25% forest cover
PF − SF[a],0.25,20,0.228096942309322,-0.150014259848842,1.22472795537756,25% forest cover
PF − SF[a],0.25,21,0.233840950010745,-0.0158527167882312,1.37226080101846,25% forest cover
PF − SF[a],0.25,22,0.228096942309322,0.0981501713927174,1.22380540534346,25% forest cover
PF − SF[a],0.25,23,0.222352934607898,0.148337349328813,1.07535000966845,25% forest cover
PF − SF[a],0.25,24,0.228096942309322,0.0973524750146568,1.13078656868902,25% forest cover
PF − SF[a],0.25,25,0.233840950010745,0.148337349328813,1.07535000966845,25% forest cover
PF − SF[a],0.25,26,0.228096942309322,0.18024520445124,0.982331173014015,25% forest cover
PF − SF[a],0.25,27,0.233840950010745,0.212153059573666,0.889312336359581,25% forest cover
PF − SF[a],0.25,28,0.228096942309322,0.217252997090782,0.561576643185163,25% forest cover
PF − SF[a],0.25,29,0.233840950010745,0.222352934607898,0.233840950010745,25% forest cover
PF − SF[a],0.25,30,0.228096942309322,0.228096942309322,0.228096942309322,25% forest cover
PF − SF[a],0.5,2,8.50660307175758,5.75265585131527,11.0429912434626,50% forest cover
PF − SF[a],0.5,3,8.54381886057263,5.29228715971522,10.8445998883503,50% forest cover
PF − SF[a],0.5,4,8.5622136344648,6.4674752695511,10.4971886995538,50% forest cover
PF − SF[a],0.5,5,8.38455671101952,6.8008934810141,10.1086400345001,50% forest cover
PF − SF[a],0.5,6,8.55691436116865,7.15214027123102,10.0011808540948,50% forest cover
PF − SF[a],0.5,7,8.54381886057263,6.92507656811358,9.90365403084297,50% forest cover
PF − SF[a],0.5,8,8.48132635456443,7.22635939602081,9.94378244601905,50% forest cover
