region,response,run,term,estimate
CBA,Prec,1,(Intercept),2311.6616972593
CBA,Prec,1,TipoSF_early,-3.28728825390174
CBA,Prec,1,TipoSF_intermediate,7.06444813443013
CBA,Prec,1,TipoSF_advanced,-0.882397418623578
CBA,Prec,1,"ns(frac_area, df = 3)1",1.41015405437339
CBA,Prec,1,"ns(frac_area, df = 3)2",4.83459906289181
CBA,Prec,1,"ns(frac_area, df = 3)3",1.11325059502027
CBA,Prec,1,"TipoSF_early:ns(frac_area, df = 3)1",5.09636248638859
CBA,Prec,1,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.859637915472662
CBA,Prec,1,"TipoSF_advanced:ns(frac_area, df = 3)1",-15.1360792944363
CBA,Prec,1,"TipoSF_early:ns(frac_area, df = 3)2",-15.8409323271932
CBA,Prec,1,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.38512253747002
CBA,Prec,1,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.55564774885781
CBA,Prec,1,"TipoSF_early:ns(frac_area, df = 3)3",-18.0039599538189
CBA,Prec,1,"TipoSF_intermediate:ns(frac_area, df = 3)3",6.31605485841598
CBA,Prec,1,"TipoSF_advanced:ns(frac_area, df = 3)3",4.20603109696254
CBA,Prec,2,(Intercept),2319.2218558861
CBA,Prec,2,TipoSF_early,6.20633774684337
CBA,Prec,2,TipoSF_intermediate,10.0913255333289
CBA,Prec,2,TipoSF_advanced,8.47370636184481
CBA,Prec,2,"ns(frac_area, df = 3)1",8.84431757001157
CBA,Prec,2,"ns(frac_area, df = 3)2",-2.19407390011181
CBA,Prec,2,"ns(frac_area, df = 3)3",-2.87386309399764
CBA,Prec,2,"TipoSF_early:ns(frac_area, df = 3)1",22.3683769012
CBA,Prec,2,"TipoSF_intermediate:ns(frac_area, df = 3)1",-17.6042176166217
CBA,Prec,2,"TipoSF_advanced:ns(frac_area, df = 3)1",-10.714882475962
CBA,Prec,2,"TipoSF_early:ns(frac_area, df = 3)2",-52.534934548432
CBA,Prec,2,"TipoSF_intermediate:ns(frac_area, df = 3)2",0.938325741418839
CBA,Prec,2,"TipoSF_advanced:ns(frac_area, df = 3)2",-26.6176491341751
CBA,Prec,2,"TipoSF_early:ns(frac_area, df = 3)3",-26.1617098452783
CBA,Prec,2,"TipoSF_intermediate:ns(frac_area, df = 3)3",7.34971681800685
CBA,Prec,2,"TipoSF_advanced:ns(frac_area, df = 3)3",10.8562229390052
CBA,Prec,3,(Intercept),2317.1114536834
CBA,Prec,3,TipoSF_early,5.33252546987303
CBA,Prec,3,TipoSF_intermediate,12.8940259932456
CBA,Prec,3,TipoSF_advanced,12.0833888769539
CBA,Prec,3,"ns(frac_area, df = 3)1",6.85755902222468
CBA,Prec,3,"ns(frac_area, df = 3)2",4.29193421034775
CBA,Prec,3,"ns(frac_area, df = 3)3",0.199163103505675
CBA,Prec,3,"TipoSF_early:ns(frac_area, df = 3)1",13.8287575780685
CBA,Prec,3,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.407885655430121
CBA,Prec,3,"TipoSF_advanced:ns(frac_area, df = 3)1",-24.3667371035215
CBA,Prec,3,"TipoSF_early:ns(frac_area, df = 3)2",-40.3875280097087
CBA,Prec,3,"TipoSF_intermediate:ns(frac_area, df = 3)2",-13.4022260810057
CBA,Prec,3,"TipoSF_advanced:ns(frac_area, df = 3)2",-29.6251795313741
CBA,Prec,3,"TipoSF_early:ns(frac_area, df = 3)3",-29.1589099868168
CBA,Prec,3,"TipoSF_intermediate:ns(frac_area, df = 3)3",4.65744582280463
CBA,Prec,3,"TipoSF_advanced:ns(frac_area, df = 3)3",1.22342172553961
CBA,Prec,4,(Intercept),2314.52275958441
CBA,Prec,4,TipoSF_early,15.832317082796
CBA,Prec,4,TipoSF_intermediate,3.29023832593225
CBA,Prec,4,TipoSF_advanced,22.5855148058232
CBA,Prec,4,"ns(frac_area, df = 3)1",11.2243006932085
CBA,Prec,4,"ns(frac_area, df = 3)2",5.58666372363321
CBA,Prec,4,"ns(frac_area, df = 3)3",-0.913096537280802
CBA,Prec,4,"TipoSF_early:ns(frac_area, df = 3)1",-7.18048246692224
CBA,Prec,4,"TipoSF_intermediate:ns(frac_area, df = 3)1",2.20120017502481
CBA,Prec,4,"TipoSF_advanced:ns(frac_area, df = 3)1",-28.4096704274496
CBA,Prec,4,"TipoSF_early:ns(frac_area, df = 3)2",-54.1575480604818
CBA,Prec,4,"TipoSF_intermediate:ns(frac_area, df = 3)2",6.71162183477288
CBA,Prec,4,"TipoSF_advanced:ns(frac_area, df = 3)2",-54.0631088938433
CBA,Prec,4,"TipoSF_early:ns(frac_area, df = 3)3",-27.3375383214929
CBA,Prec,4,"TipoSF_intermediate:ns(frac_area, df = 3)3",7.99783531645533
CBA,Prec,4,"TipoSF_advanced:ns(frac_area, df = 3)3",1.45672232601813
CBA,Prec,5,(Intercept),2292.97495309638
CBA,Prec,5,TipoSF_early,10.7887628018133
CBA,Prec,5,TipoSF_intermediate,-0.486611755269671
CBA,Prec,5,TipoSF_advanced,8.58291882630621
CBA,Prec,5,"ns(frac_area, df = 3)1",7.33514948930797
CBA,Prec,5,"ns(frac_area, df = 3)2",3.98485812127349
CBA,Prec,5,"ns(frac_area, df = 3)3",-1.48471719414591
CBA,Prec,5,"TipoSF_early:ns(frac_area, df = 3)1",11.323061598235
CBA,Prec,5,"TipoSF_intermediate:ns(frac_area, df = 3)1",-9.63458270129088
CBA,Prec,5,"TipoSF_advanced:ns(frac_area, df = 3)1",-25.5691397136502
CBA,Prec,5,"TipoSF_early:ns(frac_area, df = 3)2",-54.2214152258468
CBA,Prec,5,"TipoSF_intermediate:ns(frac_area, df = 3)2",12.8742250436955
CBA,Prec,5,"TipoSF_advanced:ns(frac_area, df = 3)2",-10.6720802987187
CBA,Prec,5,"TipoSF_early:ns(frac_area, df = 3)3",-40.3022031592337
CBA,Prec,5,"TipoSF_intermediate:ns(frac_area, df = 3)3",23.8846103974907
CBA,Prec,5,"TipoSF_advanced:ns(frac_area, df = 3)3",1.29670066904492
CBA,Prec,6,(Intercept),2312.13832349546
CBA,Prec,6,TipoSF_early,2.78811722825972
CBA,Prec,6,TipoSF_intermediate,-3.16669366818517
CBA,Prec,6,TipoSF_advanced,19.0542934733701
CBA,Prec,6,"ns(frac_area, df = 3)1",1.43121429500711
CBA,Prec,6,"ns(frac_area, df = 3)2",-4.23490939562252
CBA,Prec,6,"ns(frac_area, df = 3)3",-3.29969969999623
CBA,Prec,6,"TipoSF_early:ns(frac_area, df = 3)1",19.1166380058417
CBA,Prec,6,"TipoSF_intermediate:ns(frac_area, df = 3)1",-5.55823253661186
CBA,Prec,6,"TipoSF_advanced:ns(frac_area, df = 3)1",-13.2708473600738
CBA,Prec,6,"TipoSF_early:ns(frac_area, df = 3)2",-40.1441081382252
CBA,Prec,6,"TipoSF_intermediate:ns(frac_area, df = 3)2",20.8426654003011
CBA,Prec,6,"TipoSF_advanced:ns(frac_area, df = 3)2",-49.2511316605114
CBA,Prec,6,"TipoSF_early:ns(frac_area, df = 3)3",-24.806681391773
CBA,Prec,6,"TipoSF_intermediate:ns(frac_area, df = 3)3",12.4680682412076
CBA,Prec,6,"TipoSF_advanced:ns(frac_area, df = 3)3",3.8341430466899
CBA,Prec,7,(Intercept),2313.92716599238
CBA,Prec,7,TipoSF_early,10.4252456150994
CBA,Prec,7,TipoSF_intermediate,2.58854728649429
CBA,Prec,7,TipoSF_advanced,11.3538288298117
CBA,Prec,7,"ns(frac_area, df = 3)1",6.17691228745046
CBA,Prec,7,"ns(frac_area, df = 3)2",-5.05858562334845
CBA,Prec,7,"ns(frac_area, df = 3)3",-0.907365535401177
CBA,Prec,7,"TipoSF_early:ns(frac_area, df = 3)1",-8.6255432151763
CBA,Prec,7,"TipoSF_intermediate:ns(frac_area, df = 3)1",-7.21426722664214
CBA,Prec,7,"TipoSF_advanced:ns(frac_area, df = 3)1",-22.5234374151549
CBA,Prec,7,"TipoSF_early:ns(frac_area, df = 3)2",-48.6259179364515
CBA,Prec,7,"TipoSF_intermediate:ns(frac_area, df = 3)2",8.72207970203378
CBA,Prec,7,"TipoSF_advanced:ns(frac_area, df = 3)2",-25.794880363313
CBA,Prec,7,"TipoSF_early:ns(frac_area, df = 3)3",-7.18910612446071
CBA,Prec,7,"TipoSF_intermediate:ns(frac_area, df = 3)3",5.81511771196903
CBA,Prec,7,"TipoSF_advanced:ns(frac_area, df = 3)3",2.24072340593185
CBA,Prec,8,(Intercept),2303.52137315296
CBA,Prec,8,TipoSF_early,7.66741003734508
CBA,Prec,8,TipoSF_intermediate,14.3045335162264
CBA,Prec,8,TipoSF_advanced,13.5938372724948
CBA,Prec,8,"ns(frac_area, df = 3)1",6.87318308426435
CBA,Prec,8,"ns(frac_area, df = 3)2",5.87957667271146
CBA,Prec,8,"ns(frac_area, df = 3)3",-2.22052311346485
CBA,Prec,8,"TipoSF_early:ns(frac_area, df = 3)1",-10.4648649218147
CBA,Prec,8,"TipoSF_intermediate:ns(frac_area, df = 3)1",-7.26869525089389
CBA,Prec,8,"TipoSF_advanced:ns(frac_area, df = 3)1",-14.4141275163315
CBA,Prec,8,"TipoSF_early:ns(frac_area, df = 3)2",-33.2285042443561
CBA,Prec,8,"TipoSF_intermediate:ns(frac_area, df = 3)2",-24.4048712900439
CBA,Prec,8,"TipoSF_advanced:ns(frac_area, df = 3)2",-31.8628745153751
CBA,Prec,8,"TipoSF_early:ns(frac_area, df = 3)3",-12.5366632144971
CBA,Prec,8,"TipoSF_intermediate:ns(frac_area, df = 3)3",11.5160878733285
CBA,Prec,8,"TipoSF_advanced:ns(frac_area, df = 3)3",4.75088248032584
CBA,Prec,9,(Intercept),2316.42200003719
CBA,Prec,9,TipoSF_early,0.877178782135171
CBA,Prec,9,TipoSF_intermediate,9.71649919120912
CBA,Prec,9,TipoSF_advanced,8.15972573747575
CBA,Prec,9,"ns(frac_area, df = 3)1",3.80015120548325
CBA,Prec,9,"ns(frac_area, df = 3)2",-5.01726588058191
CBA,Prec,9,"ns(frac_area, df = 3)3",-3.4332323349672
CBA,Prec,9,"TipoSF_early:ns(frac_area, df = 3)1",-11.0530099921924
CBA,Prec,9,"TipoSF_intermediate:ns(frac_area, df = 3)1",-1.13562990822311
CBA,Prec,9,"TipoSF_advanced:ns(frac_area, df = 3)1",-17.3042610888374
CBA,Prec,9,"TipoSF_early:ns(frac_area, df = 3)2",-11.8649335732299
CBA,Prec,9,"TipoSF_intermediate:ns(frac_area, df = 3)2",-15.1166702981829
CBA,Prec,9,"TipoSF_advanced:ns(frac_area, df = 3)2",-17.6492499349453
CBA,Prec,9,"TipoSF_early:ns(frac_area, df = 3)3",-9.90291087003597
CBA,Prec,9,"TipoSF_intermediate:ns(frac_area, df = 3)3",9.35427667398389
CBA,Prec,9,"TipoSF_advanced:ns(frac_area, df = 3)3",7.62931166157964
CBA,Prec,10,(Intercept),2319.65411146658
CBA,Prec,10,TipoSF_early,1.78138222626603
CBA,Prec,10,TipoSF_intermediate,-9.57285865513374
CBA,Prec,10,TipoSF_advanced,25.7646869621887
CBA,Prec,10,"ns(frac_area, df = 3)1",8.96189087535784
CBA,Prec,10,"ns(frac_area, df = 3)2",-7.51379356397809
CBA,Prec,10,"ns(frac_area, df = 3)3",-3.50104169626862
CBA,Prec,10,"TipoSF_early:ns(frac_area, df = 3)1",19.6325908334127
CBA,Prec,10,"TipoSF_intermediate:ns(frac_area, df = 3)1",-18.5249930961716
CBA,Prec,10,"TipoSF_advanced:ns(frac_area, df = 3)1",-11.9161635869259
CBA,Prec,10,"TipoSF_early:ns(frac_area, df = 3)2",-36.3305412002374
CBA,Prec,10,"TipoSF_intermediate:ns(frac_area, df = 3)2",43.110180272213
CBA,Prec,10,"TipoSF_advanced:ns(frac_area, df = 3)2",-66.5400625085362
CBA,Prec,10,"TipoSF_early:ns(frac_area, df = 3)3",-31.9725741697223
CBA,Prec,10,"TipoSF_intermediate:ns(frac_area, df = 3)3",23.1658517859594
CBA,Prec,10,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.290911481092187
CBA,Prec,11,(Intercept),2312.21741995619
CBA,Prec,11,TipoSF_early,9.68129053139969
CBA,Prec,11,TipoSF_intermediate,-11.489053659274
CBA,Prec,11,TipoSF_advanced,23.0103137178347
CBA,Prec,11,"ns(frac_area, df = 3)1",7.16303786184527
CBA,Prec,11,"ns(frac_area, df = 3)2",2.43247712933679
CBA,Prec,11,"ns(frac_area, df = 3)3",0.772237535184538
CBA,Prec,11,"TipoSF_early:ns(frac_area, df = 3)1",-4.36838045463286
CBA,Prec,11,"TipoSF_intermediate:ns(frac_area, df = 3)1",-4.78116369965982
CBA,Prec,11,"TipoSF_advanced:ns(frac_area, df = 3)1",-37.5408176031096
CBA,Prec,11,"TipoSF_early:ns(frac_area, df = 3)2",-38.8289689217873
CBA,Prec,11,"TipoSF_intermediate:ns(frac_area, df = 3)2",39.3010295441343
CBA,Prec,11,"TipoSF_advanced:ns(frac_area, df = 3)2",-44.2805174499501
CBA,Prec,11,"TipoSF_early:ns(frac_area, df = 3)3",-24.1783751084422
CBA,Prec,11,"TipoSF_intermediate:ns(frac_area, df = 3)3",16.2675995358239
CBA,Prec,11,"TipoSF_advanced:ns(frac_area, df = 3)3",-6.8782694869646
CBA,Prec,12,(Intercept),2308.79014078817
CBA,Prec,12,TipoSF_early,9.44991956808179
CBA,Prec,12,TipoSF_intermediate,3.41890743194429
CBA,Prec,12,TipoSF_advanced,25.1959075346226
CBA,Prec,12,"ns(frac_area, df = 3)1",3.08839142104874
CBA,Prec,12,"ns(frac_area, df = 3)2",-0.48969994255977
CBA,Prec,12,"ns(frac_area, df = 3)3",1.07382391948015
CBA,Prec,12,"TipoSF_early:ns(frac_area, df = 3)1",1.86345965562039
CBA,Prec,12,"TipoSF_intermediate:ns(frac_area, df = 3)1",2.55658028046712
CBA,Prec,12,"TipoSF_advanced:ns(frac_area, df = 3)1",-28.6735108856132
CBA,Prec,12,"TipoSF_early:ns(frac_area, df = 3)2",-45.6674198634836
CBA,Prec,12,"TipoSF_intermediate:ns(frac_area, df = 3)2",0.709601694636949
CBA,Prec,12,"TipoSF_advanced:ns(frac_area, df = 3)2",-50.6086205790874
CBA,Prec,12,"TipoSF_early:ns(frac_area, df = 3)3",-18.4883724552548
CBA,Prec,12,"TipoSF_intermediate:ns(frac_area, df = 3)3",10.229042528171
CBA,Prec,12,"TipoSF_advanced:ns(frac_area, df = 3)3",-3.33951872816998
CBA,Prec,13,(Intercept),2332.94257579678
CBA,Prec,13,TipoSF_early,5.82936567304611
CBA,Prec,13,TipoSF_intermediate,4.27659983136005
