region;response;run;status;error_message;n_cells_per_stratum;df_frac;elapsed_min
CBA;Prec;1;success;;200;3;271,59
CBA;Prec;2;success;;200;3;374
CBA;Prec;3;success;;200;3;288,61
CBA;Prec;4;success;;200;3;380,46
CBA;Prec;5;success;;200;3;304,11
CBA;Prec;6;success;;200;3;284,68
CBA;Prec;7;success;;200;3;312,15
CBA;Prec;8;success;;200;3;263,94
CBA;Prec;9;success;;200;3;350,75
CBA;Prec;10;success;;200;3;271,69
CBA;Prec;11;success;;200;3;291,56
CBA;Prec;12;success;;200;3;270,43
CBA;Prec;13;success;;200;3;320,33
CBA;Prec;14;success;;200;3;293,85
CBA;Prec;15;success;;200;3;335,77
CBA;Prec;16;success;;200;3;460,58
CBA;Prec;17;success;;200;3;353,66
CBA;Prec;18;success;;200;3;322,66
CBA;Prec;19;success;;200;3;363,08
CBA;Prec;20;success;;200;3;275,34
CBA;Prec;21;success;;200;3;289,64
CBA;Prec;22;success;;200;3;506,21
CBA;Prec;23;success;;200;3;304,89
CBA;Prec;24;success;;200;3;365,28
CBA;Prec;25;success;;200;3;320,65
CBA;Prec;26;success;;200;3;239,26
CBA;Prec;27;success;;200;3;267,43
CBA;Prec;28;success;;200;3;361,97
CBA;Prec;29;success;;200;3;377,63
CBA;Prec;30;success;;200;3;274,13
