region;response;run;CCC;RMSE;MAE;Bias;R2;Residual_SD;n_eval;n_cells_per_stratum;selected_cells;rows_model;n_unique_cells
CBA;Prec;1;0,819458859014817;209,294117087956;163,122988264847;-5,09333484854819e-13;0,694608968478262;209,295198116316;96804;200;3304;96804;3304
CBA;Prec;2;0,815725097596535;209,732496821928;163,905704324782;-1,9190194121406e-12;0,68929486536647;209,733581055402;96720;200;3290;96720;3290
CBA;Prec;3;0,815770082818287;209,66977295948;163,500940850873;-3,46582997454544e-12;0,68936209416748;209,670853305493;97039;200;3295;97039;3295
CBA;Prec;4;0,814253218200406;210,932286277367;164,181957330465;5,06542293683414e-12;0,687213675980568;210,93337524959;96850;200;3304;96850;3304
CBA;Prec;5;0,817280514103836;212,322742997569;165,817927896369;1,9954510342088e-12;0,691498667823688;212,323844139527;96411;200;3306;96411;3306
CBA;Prec;6;0,813432588401299;209,219807743896;162,796048890844;-1,18150027635523e-13;0,686031954157228;209,220889707317;96686;200;3279;96686;3279
CBA;Prec;7;0,821638465614095;207,926471094967;162,243697122742;-9,10112778754954e-13;0,697741151704788;207,92755320839;96075;200;3297;96075;3297
CBA;Prec;8;0,817155425028893;207,459796918749;161,714742652143;1,46744935726746e-12;0,691326074092152;207,460867875218;96858;200;3304;96858;3304
CBA;Prec;9;0,817352703990532;210,538099404388;164,203876223257;-5,02959514369327e-13;0,691615723324673;210,539190419519;96488;200;3295;96488;3295
CBA;Prec;10;0,820955174859319;208,752891376159;162,704891126369;4,54295546774495e-13;0,696752711516822;208,753968418533;96911;200;3303;96911;3303
CBA;Prec;11;0,821062109199831;210,186978293657;164,00772388291;-1,3530497656671e-12;0,696926154556745;210,188074990987;95828;200;3278;95828;3278
CBA;Prec;12;0,814545266100125;209,222116054465;163,008952041005;1,1361139336128e-12;0,687615039665668;209,223190076185;97402;200;3295;97402;3295
CBA;Prec;13;0,815982829309912;208,451411232857;162,709562957887;9,87797086569361e-14;0,689662487295162;208,452484051844;97152;200;3286;97152;3286
CBA;Prec;14;0,815576614062564;210,180544770929;163,98933990206;-3,02619565562373e-12;0,689073388534148;210,181636206854;96287;200;3288;96287;3288
CBA;Prec;15;0,818343608613556;209,426518135314;163,319773718463;-5,14088162617303e-13;0,693024909095151;209,427590157582;97679;200;3315;97679;3315
CBA;Prec;16;0,816703320130719;209,911785513375;163,895578505417;2,69377961478721e-12;0,690673856740054;209,912862080685;97492;200;3300;97492;3300
CBA;Prec;17;0,815991815564832;210,288297357608;164,049300890568;-3,31062902642763e-12;0,689675215268085;210,289378817723;97225;200;3310;97225;3310
CBA;Prec;18;0,819239695754618;207,047460580586;161,504144557796;1,16042160381781e-12;0,694309965351723;207,048521641458;97567;200;3303;97567;3303
CBA;Prec;19;0,815965299218733;209,468812757845;163,636303029078;4,29278830673344e-12;0,689638242711035;209,469890801909;97153;200;3291;97153;3291
CBA;Prec;20;0,821561482729738;209,825024676797;163,618718875501;-8,85968882207105e-13;0,697638561093389;209,826122004797;95608;200;3277;95608;3277
CBA;Prec;21;0,811984703458346;210,319495922842;163,991378385374;6,72153414032037e-12;0,684011610025073;210,320595043553;95677;200;3285;95677;3285
CBA;Prec;22;0,818936263351102;209,174906076927;162,872464655586;-4,52365089522101e-13;0,693867105826609;209,175985151897;96924;200;3322;96924;3322
CBA;Prec;23;0,817194330352853;208,04768020855;162,126342950991;-1,81833935879834e-12;0,691388381359072;208,0487464827;97559;200;3304;97559;3304
CBA;Prec;24;0,813557103739776;210,773692596694;164,48081974136;-5,87006536652945e-12;0,686212994987346;210,774774572175;97403;200;3311;97403;3311
CBA;Prec;25;0,815404876251175;210,104801426153;163,797207221808;5,47378072080981e-13;0,688839539865272;210,105884024853;97038;200;3294;97038;3294
CBA;Prec;26;0,820966406834284;209,58132606714;163,351774123775;-7,32949199449076e-13;0,696777450698929;209,58241469668;96260;200;3280;96260;3280
CBA;Prec;27;0,814758725649899;209,534797578185;163,128748770332;-2,17155537647177e-13;0,687914245766456;209,535871925532;97518;200;3296;97518;3296
CBA;Prec;28;0,816020261842103;208,852566796817;162,987888211733;-2,47071530547967e-12;0,689718031317018;208,853647151603;96660;200;3288;96660;3288
CBA;Prec;29;0,812256259663256;208,767809791901;163,058229673034;-6,87408666494997e-13;0,684384477051991;208,768898164433;95909;200;3286;95909;3286
CBA;Prec;30;0,820384408252938;209,136159517033;163,288652184487;-1,30977176537701e-12;0,695946747258153;209,137240042062;96776;200;3305;96776;3305
