region,response,run,term,estimate
EBA,Prec,1,(Intercept),2234.99177606171
EBA,Prec,1,TipoSF_early,-6.41133629881001
EBA,Prec,1,TipoSF_intermediate,-9.54924579397634
EBA,Prec,1,TipoSF_advanced,11.1476279915064
EBA,Prec,1,"ns(frac_area, df = 3)1",3.82542007477766
EBA,Prec,1,"ns(frac_area, df = 3)2",-12.499531929551
EBA,Prec,1,"ns(frac_area, df = 3)3",3.06869832806258
EBA,Prec,1,"TipoSF_early:ns(frac_area, df = 3)1",-2.80521469192089
EBA,Prec,1,"TipoSF_intermediate:ns(frac_area, df = 3)1",-10.1206926184949
EBA,Prec,1,"TipoSF_advanced:ns(frac_area, df = 3)1",-19.3986640487781
EBA,Prec,1,"TipoSF_early:ns(frac_area, df = 3)2",37.2457150728976
EBA,Prec,1,"TipoSF_intermediate:ns(frac_area, df = 3)2",-4.4126798519684
EBA,Prec,1,"TipoSF_advanced:ns(frac_area, df = 3)2",11.7520983646809
EBA,Prec,1,"TipoSF_early:ns(frac_area, df = 3)3",4.52735635925475
EBA,Prec,1,"TipoSF_intermediate:ns(frac_area, df = 3)3",-18.5617871714491
EBA,Prec,1,"TipoSF_advanced:ns(frac_area, df = 3)3",17.1002164995191
EBA,Prec,2,(Intercept),2207.29737346698
EBA,Prec,2,TipoSF_early,7.796986852058
EBA,Prec,2,TipoSF_intermediate,-4.56465768038631
EBA,Prec,2,TipoSF_advanced,23.730236603267
EBA,Prec,2,"ns(frac_area, df = 3)1",8.45676138144787
EBA,Prec,2,"ns(frac_area, df = 3)2",-1.38587357662543
EBA,Prec,2,"ns(frac_area, df = 3)3",-2.2205702147204
EBA,Prec,2,"TipoSF_early:ns(frac_area, df = 3)1",1.86607635434695
EBA,Prec,2,"TipoSF_intermediate:ns(frac_area, df = 3)1",-15.3009942739152
EBA,Prec,2,"TipoSF_advanced:ns(frac_area, df = 3)1",-11.4908664227882
EBA,Prec,2,"TipoSF_early:ns(frac_area, df = 3)2",-2.23499663771252
EBA,Prec,2,"TipoSF_intermediate:ns(frac_area, df = 3)2",-23.0686065501692
EBA,Prec,2,"TipoSF_advanced:ns(frac_area, df = 3)2",-17.6497329520805
EBA,Prec,2,"TipoSF_early:ns(frac_area, df = 3)3",3.31803499556538
EBA,Prec,2,"TipoSF_intermediate:ns(frac_area, df = 3)3",-26.8333851019461
EBA,Prec,2,"TipoSF_advanced:ns(frac_area, df = 3)3",15.0787064369224
EBA,Prec,3,(Intercept),2230.53951378366
EBA,Prec,3,TipoSF_early,-0.320634699633319
EBA,Prec,3,TipoSF_intermediate,-9.22319979060274
EBA,Prec,3,TipoSF_advanced,9.90923423558019
EBA,Prec,3,"ns(frac_area, df = 3)1",4.3189668447774
EBA,Prec,3,"ns(frac_area, df = 3)2",-18.0799849127327
EBA,Prec,3,"ns(frac_area, df = 3)3",-3.29712537108947
EBA,Prec,3,"TipoSF_early:ns(frac_area, df = 3)1",11.1628974479111
EBA,Prec,3,"TipoSF_intermediate:ns(frac_area, df = 3)1",-4.04324814339606
EBA,Prec,3,"TipoSF_advanced:ns(frac_area, df = 3)1",-10.9812260555613
EBA,Prec,3,"TipoSF_early:ns(frac_area, df = 3)2",16.1070554639617
EBA,Prec,3,"TipoSF_intermediate:ns(frac_area, df = 3)2",-11.06795818941
EBA,Prec,3,"TipoSF_advanced:ns(frac_area, df = 3)2",14.5266623280688
EBA,Prec,3,"TipoSF_early:ns(frac_area, df = 3)3",2.19969715765645
EBA,Prec,3,"TipoSF_intermediate:ns(frac_area, df = 3)3",-18.4570193274546
EBA,Prec,3,"TipoSF_advanced:ns(frac_area, df = 3)3",18.3347069657185
EBA,Prec,4,(Intercept),2187.69532024036
EBA,Prec,4,TipoSF_early,-2.36027272949997
EBA,Prec,4,TipoSF_intermediate,-9.75467244560076
EBA,Prec,4,TipoSF_advanced,5.0699873061617
EBA,Prec,4,"ns(frac_area, df = 3)1",1.16063399737264
EBA,Prec,4,"ns(frac_area, df = 3)2",-11.7456886413306
EBA,Prec,4,"ns(frac_area, df = 3)3",-5.11740863344222
