region;response;run;status;error_message;n_cells_per_stratum;df_frac;elapsed_min
EBA;Prec;1;success;;200;3;403,99
EBA;Prec;2;success;;200;3;730,15
EBA;Prec;3;success;;200;3;627,77
EBA;Prec;4;success;;200;3;720,52
EBA;Prec;5;success;;200;3;498,28
EBA;Prec;6;success;;200;3;545,05
EBA;Prec;7;success;;200;3;374,19
EBA;Prec;8;success;;200;3;496,87
EBA;Prec;9;success;;200;3;543,15
EBA;Prec;10;success;;200;3;648,09
EBA;Prec;11;success;;200;3;570,26
EBA;Prec;12;success;;200;3;553,05
EBA;Prec;13;success;;200;3;650,83
EBA;Prec;14;success;;200;3;581,89
EBA;Prec;15;success;;200;3;664,6
EBA;Prec;16;success;;200;3;570,48
EBA;Prec;17;success;;200;3;511,61
EBA;Prec;18;success;;200;3;459,98
EBA;Prec;19;success;;200;3;537,49
EBA;Prec;20;success;;200;3;562,06
EBA;Prec;21;success;;200;3;518,4
EBA;Prec;22;success;;200;3;631,03
EBA;Prec;23;success;;200;3;579,1
EBA;Prec;24;success;;200;3;650,34
EBA;Prec;25;success;;200;3;438,32
EBA;Prec;26;success;;200;3;677,16
EBA;Prec;27;success;;200;3;562,7
EBA;Prec;28;success;;200;3;699,05
EBA;Prec;29;success;;200;3;551,01
EBA;Prec;30;success;;200;3;409,91
