region;response;run;CCC;RMSE;MAE;Bias;R2;Residual_SD;n_eval;n_cells_per_stratum;selected_cells;rows_model;n_unique_cells
EBA;Prec;1;0,919890129031234;208,741157305381;157,93624413664;-2,54566930800118e-12;0,851771029798361;208,742216816423;98509;200;3893;98509;3893
EBA;Prec;2;0,919146859761906;208,712406206226;158,204464357758;1,04824650675221e-13;0,850496922713899;208,713453189274;99674;200;3916;99674;3916
EBA;Prec;3;0,920945450357493;206,930570309143;157,265851450175;-4,96344850009411e-12;0,853580091684373;206,931616615229;98887;200;3891;98887;3891
EBA;Prec;4;0,919773278586556;204,540925303564;155,463833665396;-3,20610549242895e-12;0,851571082309505;204,54196706991;98171;200;3889;98171;3889
EBA;Prec;5;0,919474697232759;206,749484575052;156,292487474668;-9,30539410987453e-13;0,851060816202163;206,750531426437;98749;200;3893;98749;3893
EBA;Prec;6;0,920873287364832;204,221686701877;155,633901168206;3,43602809699582e-12;0,853453880379347;204,222713103979;99485;200;3905;99485;3905
EBA;Prec;7;0,916262767518311;207,60485754534;157,35442702213;2,67356696730485e-12;0,845583129311446;207,605904603119;99138;200;3904;99138;3904
EBA;Prec;8;0,918911380921534;208,562857061171;158,134288639124;2,22376558482826e-13;0,850099342752851;208,563909662012;99071;200;3915;99071;3915
EBA;Prec;9;0,92067393494379;207,457350115098;156,575805969495;-1,31123952674779e-12;0,85311505610226;207,458400784753;98727;200;3910;98727;3910
EBA;Prec;10;0,919588380224191;208,135021715832;157,836764743439;-1,25726457746112e-12;0,851257114519403;208,136080611895;98280;200;3893;98280;3893
EBA;Prec;11;0,919954074647956;205,499859753588;155,69265977607;-2,90537848989887e-12;0,8518828347001;205,500901776076;98607;200;3907;98607;3907
EBA;Prec;12;0,922782764426493;207,613011353736;156,879598351552;-4,02696776911828e-12;0,856735621831366;207,614054569672;99507;200;3898;99507;3898
EBA;Prec;13;0,921847192717009;205,392796078328;156,333523906067;-1,59453398152576e-12;0,855129870813526;205,393830748011;99256;200;3921;99256;3921
EBA;Prec;14;0,921687819335687;205,873781865556;155,988108471866;-5,53561087537095e-13;0,854856684395406;205,874829801266;98229;200;3895;98229;3895
EBA;Prec;15;0,920662019572735;205,265779413593;156,730310129409;2,5643098192032e-12;0,85309439272714;205,266810928431;99498;200;3912;99498;3912
EBA;Prec;16;0,922560684548287;206,136312078567;156,07663355845;-1,92468783019656e-12;0,856356803953061;206,137353389307;98980;200;3912;98980;3912
EBA;Prec;17;0,919324308208978;208,157724143156;158,075312466013;1,83070345900487e-12;0,850808192311224;208,158774794769;99062;200;3901;99062;3901
EBA;Prec;18;0,92019434399203;204,62500683414;155,744844536331;-3,37080664541302e-13;0,852297971650382;204,626042362211;98803;200;3912;98803;3912
EBA;Prec;19;0,920583233035838;206,556513922991;155,936380132669;-7,14121064412221e-13;0,852962381182227;206,557572424501;97571;200;3901;97571;3901
EBA;Prec;20;0,91973269225689;205,494453653354;155,802013711854;2,35538454604521e-12;0,851502792829498;205,49549721473;98459;200;3899;98459;3899
EBA;Prec;21;0,920624663024544;207,888396147021;157,186502660138;7,00581462740549e-13;0,8530311877692;207,889454596102;98205;200;3886;98205;3886
EBA;Prec;22;0,921123462607083;206,397850831486;156,444442625601;1,51001236503952e-12;0,853887877427616;206,398903342065;98051;200;3909;98051;3909
EBA;Prec;23;0,920896305883072;206,633350162241;156,384404101183;-3,8098893702234e-12;0,853495880184658;206,634401001481;98319;200;3905;98319;3905
EBA;Prec;24;0,924074660377948;203,78966360582;154,832853970825;9,53506954115374e-13;0,858962844629727;203,790693457695;98942;200;3899;98942;3899
EBA;Prec;25;0,921180392731128;204,487406740304;155,84878789433;2,43685443394716e-12;0,853985856802182;204,488442232304;98740;200;3899;98740;3899
EBA;Prec;26;0,920901703661256;205,09719326757;156,401022287726;3,7171822789741e-12;0,853508327979569;205,098230838645;98836;200;3919;98836;3919
EBA;Prec;27;0,920318065727146;205,86304297217;155,882407091783;-2,06446247807823e-12;0,852501165382329;205,864089702359;98337;200;3900;98337;3900
EBA;Prec;28;0,919730236212641;206,91309233186;156,854077961018;-1,81228146031832e-12;0,851498226243541;206,914136258736;99104;200;3915;99104;3915
EBA;Prec;29;0,920478378897312;205,546130139213;156,397984084929;1,84600475761815e-14;0,85278127809842;205,547162492225;99553;200;3911;99553;3911
EBA;Prec;30;0,91931228852529;204,119573433918;156,316739427544;7,57459767870751e-13;0,850786854635194;204,120597685803;99644;200;3904;99644;3904
