cell_id;Lon;Lat;spatial_component;region;response;run
2005486;-54,8939739175574;-3,32292232184444;-36,8784884858351;EBA;Prec;1
2006838;-54,8850727460785;-4,0156368607803;-121,159202564268;EBA;Prec;1
2009866;-54,8672704031207;-2,52225227034715;-155,148393447096;EBA;Prec;1
2009902;-54,8672704031207;-1,63161929171533;-1,95793298092567;EBA;Prec;1
2012363;-54,8494680601629;-6,41764701527218;-9,34612297191657;EBA;Prec;1
2012627;-54,8494680601629;-3,97065539721304;-121,337907450685;EBA;Prec;1
2012678;-54,8494680601629;-3,45786671254623;-55,0665918415738;EBA;Prec;1
2014121;-54,840566888684;-3,43987412711933;-54,4118209627748;EBA;Prec;1
2014137;-54,840566888684;-3,26894456556372;-36,2015267784108;EBA;Prec;1
2014180;-54,840566888684;-2,81912992989109;-74,7393685633718;EBA;Prec;1
2015294;-54,8316657172051;-6,1657508192955;-40,8882357621143;EBA;Prec;1
2015513;-54,8316657172051;-4,168573836909;-152,130342918307;EBA;Prec;1
2015534;-54,8316657172051;-3,81771842108434;-97,0661778518165;EBA;Prec;1
2016969;-54,8227645457263;-3,6737777376691;-76,7529366919068;EBA;Prec;1
2017005;-54,8227645457263;-3,25994827285027;-36,8834030110211;EBA;Prec;1
2017094;-54,8227645457263;-1,53266007186735;22,722151402448;EBA;Prec;1
2021311;-54,7960610312896;-3,94366651907268;-126,959267575569;EBA;Prec;1
2022831;-54,7871598598107;-2,99005949144669;-36,957644207399;EBA;Prec;1
2024294;-54,7782586883318;-2,65719666104894;-106,566977297656;EBA;Prec;1
2024302;-54,7782586883318;-2,52225227034715;-138,886782169876;EBA;Prec;1
2025741;-54,7693575168529;-2,88210397888526;-52,2707515086097;EBA;Prec;1
2027084;-54,760456345374;-4,10559978791483;-161,734346924463;EBA;Prec;1
2027127;-54,760456345374;-3,61979998138838;-79,7139518306901;EBA;Prec;1
2027159;-54,760456345374;-3,28693715099063;-45,9722854633764;EBA;Prec;1
2027203;-54,760456345374;-2,75615588089692;-78,673126912321;EBA;Prec;1
2027226;-54,760456345374;-1,61362670628842;-20,9019482394858;EBA;Prec;1
2028589;-54,7515551738951;-3,34091490727134;-53,6167096992003;EBA;Prec;1
2030086;-54,7426540024162;-2,47727080677988;-142,592370567562;EBA;Prec;1
2031543;-54,7337528309373;-1,58663782814806;-18,1412872869894;EBA;Prec;1
2031548;-54,7337528309373;-1,5416563645808;-3,13340456424548;EBA;Prec;1
2036082;-54,7070493165007;0,0236985675599746;-405,426078711455;EBA;Prec;1
2037278;-54,6981481450218;-3,42188154169242;-69,3970980228772;EBA;Prec;1
2037641;-54,6981481450218;0,905335253478341;-204,952556643872;EBA;Prec;1
2038688;-54,6892469735429;-3,92567393364577;-146,554038789545;EBA;Prec;1
2038699;-54,6892469735429;-3,80872212837089;-120,597165471663;EBA;Prec;1
2038741;-54,6892469735429;-3,43087783440587;-71,452283296368;EBA;Prec;1
2038780;-54,6892469735429;-3,07102612586776;-34,007136189607;EBA;Prec;1
2040295;-54,680345802064;-2,65719666104894;-85,760948071831;EBA;Prec;1
2043226;-54,6625434591062;-3,23295939470991;-49,2757149450872;EBA;Prec;1
2043303;-54,6625434591062;-1,53266007186735;-21,9191133425264;EBA;Prec;1
2044548;-54,6536422876273;-4,77132544871033;-222,965767117764;EBA;Prec;1
2044632;-54,6536422876273;-3,92567393364577;-155,552519009679;EBA;Prec;1
2044718;-54,6536422876273;-3,13400017486193;-39,3666433559834;EBA;Prec;1
2044761;-54,6536422876273;-2,04544875653415;-207,274841928377;EBA;Prec;1
2047444;-54,6358399446695;-5,61697696377489;-122,463212405295;EBA;Prec;1
2048951;-54,6269387731906;-5,37407706051166;-144,191054700854;EBA;Prec;1
2049062;-54,6269387731906;-4,36649227660496;-231,39866995161;EBA;Prec;1
2050432;-54,6180376017117;-5,41905852407892;-141,439725270116;EBA;Prec;1
2050703;-54,6180376017117;-2,76515217361037;-51,7178114098718;EBA;Prec;1
2056440;-54,5824329157962;-4,91526613212557;-217,128998973163;EBA;Prec;1
2058043;-54,5735317443173;-4,07861090977447;-210,889693257914;EBA;Prec;1
2058186;-54,5735317443173;-1,78455626784402;-150,001476976698;EBA;Prec;1
2061512;-54,5557294013595;0,743401984636193;-228,934500561159;EBA;Prec;1
2062768;-54,5468282298806;-1,51466748644044;-60,1340891035698;EBA;Prec;1
2064083;-54,5379270584017;-4,3574959838915;-252,127131239694;EBA;Prec;1
2064243;-54,5379270584017;-2,0184598783938;-236,246864233808;EBA;Prec;1
2064245;-54,5379270584017;-2,00046729296689;-233,977380573498;EBA;Prec;1
2065763;-54,5290258869228;-2,02745617110725;-240,310840235355;EBA;Prec;1
2065775;-54,5290258869228;-1,68559704799604;-126,570642119243;EBA;Prec;1
2067297;-54,5201247154439;-2,62121149019513;-65,7312317502194;EBA;Prec;1
2070319;-54,5023223724861;-3,07102612586776;-41,7856821134187;EBA;Prec;1
2070360;-54,5023223724861;-2,00946358568034;-249,19312846027;EBA;Prec;1
2071544;-54,4934212010072;-5,90485833060537;-85,3743162786966;EBA;Prec;1
2071882;-54,4934212010072;-2,15340426909559;-242,803435944674;EBA;Prec;1
2071886;-54,4934212010072;-2,00946358568034;-253,012715836875;EBA;Prec;1
2071893;-54,4934212010072;-1,76656368241712;-177,489645176236;EBA;Prec;1
2073401;-54,4845200295283;-2,95407432059288;-31,1918498013241;EBA;Prec;1
2076521;-54,4667176865706;-1,92849695125927;-251,36592946649;EBA;Prec;1
2077903;-54,4578165150917;-4,11459608062828;-246,73430998613;EBA;Prec;1
2079550;-54,4489153436128;-2,92708544245252;-29,4715504292802;EBA;Prec;1
2079554;-54,4489153436128;-2,8731076861718;-27,4399136089679;EBA;Prec;1
2082615;-54,431113000655;-3,15199276028884;-57,2765895796474;EBA;Prec;1
2082628;-54,431113000655;-3,03504095501395;-40,4104464283438;EBA;Prec;1
2084225;-54,4222118291761;-2,00946358568034;-288,151064174258;EBA;Prec;1
2084244;-54,4222118291761;-1,5236637791539;-127,2632830017;EBA;Prec;1
2084246;-54,4222118291761;-1,50567119372699;-123,035791889857;EBA;Prec;1
2085628;-54,4133106576972;-3,96165910449958;-226,815183161537;EBA;Prec;1
2086878;-54,4044094862183;-6,61556545496814;15,9034076071424;EBA;Prec;1
2086901;-54,4044094862183;-6,40865072255873;2,00188325011302;EBA;Prec;1
2087010;-54,4044094862183;-5,41006223136547;-174,237730940206;EBA;Prec;1
2087169;-54,4044094862183;-3,97965168992649;-232,542748608852;EBA;Prec;1
2087319;-54,4044094862183;-1,66760446256914;-186,982049326031;EBA;Prec;1
2088873;-54,3955083147394;-1,59563412086152;-165,417365104851;EBA;Prec;1
2089249;-54,3955083147394;1,79596823211016;-46,6631939821884;EBA;Prec;1
2090278;-54,3866071432605;-3,85370359193815;-200,653793227748;EBA;Prec;1
2091663;-54,3777059717816;-5,48203257307309;-168,227377057203;EBA;Prec;1
2091669;-54,3777059717816;-5,41006223136547;-177,341254135953;EBA;Prec;1
2093529;-54,3688048003027;-2,76515217361037;-30,6398658937164;EBA;Prec;1
2093530;-54,3688048003027;-2,73816329547001;-33,567352450518;EBA;Prec;1
2093780;-54,3688048003027;0,428531739665347;-273,056917389513;EBA;Prec;1
2094735;-54,3599036288238;-6,11177306301478;-41,7618694245444;EBA;Prec;1
2096681;-54,351002457345;-2,69318183190275;-41,5095057192043;EBA;Prec;1
2097991;-54,3421012858661;-5,22114008438297;-201,607994436961;EBA;Prec;1
2098279;-54,3421012858661;-1,77555997513057;-276,55445618009;EBA;Prec;1
2099803;-54,3332001143872;-2,90009656431216;-31,4179376016107;EBA;Prec;1
2100030;-54,3332001143872;0,0326948602734269;-320,506909934286;EBA;Prec;1
2100182;-54,3332001143872;1,40013135271824;-72,6524326651191;EBA;Prec;1
2104509;-54,3064965999505;-2,8551151007449;-31,6105781078272;EBA;Prec;1
2105934;-54,2975954284716;-4,30351822761079;-276,182070634655;EBA;Prec;1
2106121;-54,2975954284716;-2,14440797638213;-328,386551438946;EBA;Prec;1
2106251;-54,2975954284716;-0,597045629668264;-276,272591893656;EBA;Prec;1
2106349;-54,2975954284716;0,284591056250103;-278,05809684193;EBA;Prec;1
2110848;-54,2708919140349;-1,67660075528259;-284,848023292648;EBA;Prec;1
2112043;-54,261990742556;-5,78790652533049;-112,071119745907;EBA;Prec;1
2112361;-54,261990742556;-2,84611880803145;-36,3906017516738;EBA;Prec;1
2112439;-54,261990742556;-1,47868231558663;-217,655771926511;EBA;Prec;1
2115199;-54,2441883995982;-5,89586203789192;-85,9863740599557;EBA;Prec;1
2117154;-54,2352872281193;-1,98247470753998;-404,335023572647;EBA;Prec;1
2117167;-54,2352872281193;-1,65860816985569;-301,807269372036;EBA;Prec;1
2118698;-54,2263860566405;-2,72916700275656;-48,4249376551418;EBA;Prec;1
2118747;-54,2263860566405;-1,65860816985569;-307,804459715479;EBA;Prec;1
2118787;-54,2263860566405;-1,24477870503686;-197,053743932925;EBA;Prec;1
2118947;-54,2263860566405;0,194628129115576;-266,567470607525;EBA;Prec;1
2120287;-54,2174848851616;-2,77414846632382;-45,0495045224066;EBA;Prec;1
2121728;-54,2085837136827;-4,10559978791483;-257,925650629731;EBA;Prec;1
2121823;-54,2085837136827;-3,14299646757539;-72,2962719709336;EBA;Prec;1
2124665;-54,1907813707249;-6,12976564844169;-41,1591843629179;EBA;Prec;1
2125100;-54,1907813707249;-1,50567119372699;-266,240707011953;EBA;Prec;1
2125114;-54,1907813707249;-1,36173051031175;-225,759911295818;EBA;Prec;1
2125427;-54,1907813707249;1,45410910899896;-52,9661415018846;EBA;Prec;1
2126700;-54,181880199246;-1,32574533945794;-222,402161729252;EBA;Prec;1
2128221;-54,1729790277671;-2,64820036833549;-74,5062026833358;EBA;Prec;1
2128272;-54,1729790277671;-1,5416563645808;-288,918267697122;EBA;Prec;1
2129851;-54,1640778562882;-1,46968602287318;-266,399267621753;EBA;Prec;1
2131225;-54,1551766848093;-4,10559978791483;-252,552286244989;EBA;Prec;1
2132828;-54,1462755133304;-3,61979998138838;-135,584564978282;EBA;Prec;1
2132970;-54,1462755133304;-1,66760446256914;-359,345213636579;EBA;Prec;1
2133084;-54,1462755133304;-0,561060458814453;-253,117730220256;EBA;Prec;1
2134521;-54,1373743418515;-1,53266007186735;-301,612459135045;EBA;Prec;1
2136049;-54,1284731703726;-2,52225227034715;-134,852472443951;EBA;Prec;1
2136081;-54,1284731703726;-1,53266007186735;-305,234224994238;EBA;Prec;1
2137605;-54,1195719988937;-2,67518924647584;-78,1255269829734;EBA;Prec;1
2140468;-54,101769655936;-5,14017344996189;-217,553676643549;EBA;Prec;1
2140765;-54,101769655936;-1,39771568116556;-265,13970465145;EBA;Prec;1
2142503;-54,0928684844571;0,17663554368867;-222,380126769061;EBA;Prec;1
2145292;-54,0750661414993;-3,66478144495564;-138,403318267476;EBA;Prec;1
2147009;-54,0661649700204;-1,28076387589067;-244,034155946617;EBA;Prec;1
2148563;-54,0572637985415;-1,56864524272116;-344,416866838248;EBA;Prec;1
2148569;-54,0572637985415;-1,46068973015973;-297,849709974542;EBA;Prec;1
2149878;-54,0483626270626;-4,67236622886235;-259,537928405414;EBA;Prec;1
2149892;-54,0483626270626;-4,54641813087401;-266,084822781895;EBA;Prec;1
2149923;-54,0483626270626;-4,26753305675698;-258,081784611355;EBA;Prec;1
2154449;-54,0216591126259;-6,53459882054706;-30,6767579985622;EBA;Prec;1
2154888;-54,0216591126259;-2,52225227034715;-155,420818176315;EBA;Prec;1
2156233;-54,012757941147;-4,81630691227759;-244,399976890273;EBA;Prec;1
2156521;-54,012757941147;-1,41570826659246;-289,426436387543;EBA;Prec;1
2157869;-54,0038567696681;-4,43846261831258;-263,589240421308;EBA;Prec;1
2158091;-54,0038567696681;-1,78455626784402;-454,748103354636;EBA;Prec;1
2160074;-53,9949555981893;1,83195340296397;-31,0813698530245;EBA;Prec;1
2161248;-53,9860544267104;-2,93608173516597;-89,1097064312862;EBA;Prec;1
2162856;-53,9771532552315;-2,93608173516597;-90,5760253123369;EBA;Prec;1
2166155;-53,9593509122737;-1,50567119372699;-331,79697301458;EBA;Prec;1
2167284;-53,9504497407948;-6,55259140597397;-43,1151973884416;EBA;Prec;1
2167578;-53,9504497407948;-3,73675178666327;-140,489581498414;EBA;Prec;1
2167738;-53,9504497407948;-1,76656368241712;-449,794950981631;EBA;Prec;1
2169292;-53,9415485693159;-2,75615588089692;-103,383024490032;EBA;Prec;1
2170979;-53,932647397837;-1,63161929171533;-392,010310743408;EBA;Prec;1
2172602;-53,9237462263581;-1,7125859261364;-428,229221607327;EBA;Prec;1
