region;response;Lon;Lat;spatial_median;spatial_mean;spatial_sd;n_runs
EBA;Prec;-54,8939739175574;-6,74151355295648;52,7491758509547;52,7491758509547;;1
EBA;Prec;-54,8939739175574;-6,30969150271075;-38,7970365966402;-38,7970365966402;;1
EBA;Prec;-54,8939739175574;-6,21073228286277;-28,084997367978;-28,084997367978;;1
EBA;Prec;-54,8939739175574;-5,50902145121345;-19,5202021251641;-19,5202021251641;;1
EBA;Prec;-54,8939739175574;-4,47444778916639;-131,252212097918;-131,252212097918;;1
EBA;Prec;-54,8939739175574;-4,24054417861662;-106,395396826683;-106,395396826683;;1
EBA;Prec;-54,8939739175574;-4,19556271504935;-105,555571199428;-105,555571199428;;1
EBA;Prec;-54,8939739175574;-4,13258866605519;-116,818659517023;-116,818659517023;1,94703651444376;2
EBA;Prec;-54,8939739175574;-4,08760720248792;-114,734483478782;-114,734483478782;;1
EBA;Prec;-54,8939739175574;-4,05162203163411;-109,727263007241;-109,727263007241;;1
EBA;Prec;-54,8939739175574;-4,0336294462072;-119,677349147294;-119,677349147294;;1
EBA;Prec;-54,8939739175574;-4,00664056806685;-84,7021564511884;-84,7021564511884;;1
EBA;Prec;-54,8939739175574;-3,53883334696731;-50,2081206991032;-50,2081206991032;;1
EBA;Prec;-54,8939739175574;-3,49385188340004;-61,4622045248081;-61,4622045248081;;1
EBA;Prec;-54,8939739175574;-3,47585929797314;-75,8822962594531;-75,8822962594531;;1
EBA;Prec;-54,8939739175574;-3,46686300525968;-43,1590539157929;-43,1590539157929;;1
EBA;Prec;-54,8939739175574;-3,45786671254623;-46,9189447452527;-46,9189447452527;12,1066636850133;2
EBA;Prec;-54,8939739175574;-3,37690007812516;-30,2480892577413;-30,2480892577413;;1
EBA;Prec;-54,8939739175574;-3,32292232184444;-36,8784884858351;-36,8784884858351;;1
EBA;Prec;-54,8939739175574;-3,29593344370408;-20,787137728658;-20,787137728658;;1
EBA;Prec;-54,8939739175574;-3,24195568742337;-29,8277558672336;-29,8277558672336;;1
EBA;Prec;-54,8939739175574;-3,07102612586776;-3,881261037974;-3,881261037974;;1
EBA;Prec;-54,8939739175574;-2,93608173516597;-33,1151753341277;-33,7410814593233;9,376771205275;4
EBA;Prec;-54,8939739175574;-2,91808914973907;-37,0388874689453;-37,0388874689453;;1
EBA;Prec;-54,8939739175574;-2,81912992989109;-72,4506499879718;-73,2017741956053;11,2856727210232;4
EBA;Prec;-54,8939739175574;-2,80113734446418;-72,3149934651976;-72,3149934651976;;1
EBA;Prec;-54,8939739175574;-2,6841855391893;-126,575482011387;-126,575482011387;;1
EBA;Prec;-54,8939739175574;-2,58522631934132;-143,702865390147;-143,702865390147;4,61070669308909;2
EBA;Prec;-54,8939739175574;-2,56723373391441;-168,244435208887;-168,244435208887;;1
EBA;Prec;-54,8939739175574;-2,55823744120096;-155,076500502026;-155,076500502026;;1
EBA;Prec;-54,8939739175574;-2,54924114848751;-147,225620576037;-147,225620576037;;1
EBA;Prec;-54,8939739175574;-2,54024485577405;-177,420661040438;-177,420661040438;;1
EBA;Prec;-54,8939739175574;-2,47727080677988;-184,464303609498;-184,464303609498;;1
EBA;Prec;-54,8939739175574;-2,46827451406643;-148,82804272512;-148,82804272512;;1
EBA;Prec;-54,8939739175574;-2,22537461080321;-140,804435233561;-140,804435233561;;1
EBA;Prec;-54,8939739175574;-2,19838573266285;-174,050098551548;-176,083940687018;13,6537066998979;4
EBA;Prec;-54,8939739175574;-1,78455626784402;-47,9730670032308;-47,9730670032308;;1
EBA;Prec;-54,8939739175574;-1,73057851156331;3,07227110332565;3,07227110332565;;1
EBA;Prec;-54,8939739175574;-1,65860816985569;2,78324773569632;2,78324773569632;8,44014137547824;2
EBA;Prec;-54,8939739175574;-1,53266007186735;108,79510384794;108,79510384794;;1
EBA;Prec;-54,8939739175574;-1,39771568116556;88,1937450960841;88,1937450960841;;1
EBA;Prec;-54,8939739175574;-1,3707268030252;92,9361842918144;92,9361842918144;;1
EBA;Prec;-54,8939739175574;-1,03786397262745;-27,8381224272261;-27,8381224272261;;1
EBA;Prec;-54,8939739175574;-0,983886216346732;-52,437531857731;-52,437531857731;;1
EBA;Prec;-54,8939739175574;-0,0482717741476479;-363,985475350794;-363,985475350794;;1
EBA;Prec;-54,8939739175574;0,968309302472511;-170,460543476644;-170,460543476644;;1
EBA;Prec;-54,8939739175574;1,04027964418013;-140,86390622817;-140,86390622817;;1
EBA;Prec;-54,8850727460785;-6,45363218612599;16,2354157494137;16,2354157494137;;1
EBA;Prec;-54,8850727460785;-5,70693989090941;-47,1416999090145;-47,1416999090145;;1
EBA;Prec;-54,8850727460785;-5,16716232810225;-109,475309181679;-109,475309181679;;1
EBA;Prec;-54,8850727460785;-4,49244037459329;-126,037583371484;-126,037583371484;;1
EBA;Prec;-54,8850727460785;-4,47444778916639;-126,785815491359;-126,785815491359;;1
EBA;Prec;-54,8850727460785;-4,25853676404352;-129,851503562206;-129,851503562206;;1
EBA;Prec;-54,8850727460785;-4,168573836909;-101,671929479588;-101,671929479588;;1
EBA;Prec;-54,8850727460785;-4,13258866605519;-126,657464024363;-126,657464024363;;1
EBA;Prec;-54,8850727460785;-4,10559978791483;-118,773711842096;-118,773711842096;;1
EBA;Prec;-54,8850727460785;-4,0336294462072;-102,541054840669;-87,7471842511092;26,6253534156832;3
EBA;Prec;-54,8850727460785;-4,02463315349375;-89,8811122815605;-89,8811122815605;28,3394207657201;2
EBA;Prec;-54,8850727460785;-4,0156368607803;-103,179502418703;-102,433954902933;16,8309090224259;5
EBA;Prec;-54,8850727460785;-4,00664056806685;-99,5888635054669;-99,5888635054669;;1
EBA;Prec;-54,8850727460785;-3,9976442753534;-86,1016065602226;-86,1016065602226;;1
EBA;Prec;-54,8850727460785;-3,95266281178613;-95,7273420206214;-95,7273420206214;;1
EBA;Prec;-54,8850727460785;-3,55682593239421;-42,031160464022;-42,031160464022;16,1704673981294;2
EBA;Prec;-54,8850727460785;-3,50284817611349;-36,6282168036746;-36,6282168036746;;1
EBA;Prec;-54,8850727460785;-3,49385188340004;-15,4811587708715;-15,4811587708715;;1
EBA;Prec;-54,8850727460785;-3,48485559068659;-34,9096111312553;-34,9096111312553;;1
EBA;Prec;-54,8850727460785;-3,47585929797314;-74,3097473780771;-74,3097473780771;2,93940252744686;2
EBA;Prec;-54,8850727460785;-3,31392602913099;-48,4109764395754;-48,4109764395754;4,10696475125496;2
EBA;Prec;-54,8850727460785;-3,29593344370408;-21,9676065351315;-21,9676065351315;;1
EBA;Prec;-54,8850727460785;-3,26894456556372;-34,9109246722724;-34,9109246722724;4,6667246260263;2
EBA;Prec;-54,8850727460785;-2,96307061330633;6,66699614053525;6,66699614053525;;1
EBA;Prec;-54,8850727460785;-2,95407432059288;-28,6903491927915;-28,6903491927915;;1
EBA;Prec;-54,8850727460785;-2,8731076861718;-63,4677967895514;-63,4677967895514;;1
EBA;Prec;-54,8850727460785;-2,81013363717763;-77,2177051923231;-77,2177051923231;;1
EBA;Prec;-54,8850727460785;-2,69318183190275;-126,218441025944;-126,218441025944;;1
EBA;Prec;-54,8850727460785;-2,66619295376239;-103,386523677722;-103,386523677722;;1
EBA;Prec;-54,8850727460785;-2,65719666104894;-136,81795478283;-136,81795478283;;1
EBA;Prec;-54,8850727460785;-2,60321890476822;-105,126462135436;-105,126462135436;;1
EBA;Prec;-54,8850727460785;-2,58522631934132;-126,396622970406;-126,396622970406;;1
EBA;Prec;-54,8850727460785;-2,57623002662786;-159,340578777956;-159,340578777956;;1
EBA;Prec;-54,8850727460785;-2,56723373391441;-168,969494537965;-168,969494537965;;1
EBA;Prec;-54,8850727460785;-2,47727080677988;-186,474844857577;-186,474844857577;;1
EBA;Prec;-54,8850727460785;-2,22537461080321;-167,107639509314;-167,107639509314;;1
EBA;Prec;-54,8850727460785;-2,21637831808976;-193,852194076174;-193,852194076174;;1
EBA;Prec;-54,8850727460785;-2,1893894399494;-165,870795442076;-165,870795442076;;1
EBA;Prec;-54,8850727460785;-1,85652660955165;-103,152883496162;-103,152883496162;;1
EBA;Prec;-54,8850727460785;-1,82953773141129;-92,6027999972783;-92,6027999972783;;1
EBA;Prec;-54,8850727460785;-1,81154514598438;-106,695648821136;-106,695648821136;;1
EBA;Prec;-54,8850727460785;-1,76656368241712;-24,5889798296712;-24,5889798296712;;1
EBA;Prec;-54,8850727460785;-1,67660075528259;6,34109281629032;6,34109281629032;;1
EBA;Prec;-54,8850727460785;-1,63161929171533;11,7371243376872;11,7371243376872;;1
EBA;Prec;-54,8850727460785;-1,59563412086152;46,5878458676449;46,5878458676449;;1
EBA;Prec;-54,8850727460785;-1,50567119372699;71,0719541562862;71,0719541562862;;1
EBA;Prec;-54,8850727460785;-1,40671197387901;138,569412471443;138,569412471443;;1
EBA;Prec;-54,8850727460785;-1,16381207061579;34,884196168967;34,884196168967;;1
EBA;Prec;-54,8850727460785;-0,678012264089339;-187,995720711089;-187,995720711089;;1
EBA;Prec;-54,8850727460785;0,0506874457003326;-355,842932399965;-355,842932399965;;1
EBA;Prec;-54,8850727460785;0,383550276098084;-260,248428560058;-260,248428560058;;1
EBA;Prec;-54,8850727460785;1,57106091427384;-138,278148149912;-138,278148149912;;1
EBA;Prec;-54,8761715745996;-6,46262847883944;12,1332415707396;12,1332415707396;;1
EBA;Prec;-54,8761715745996;-6,43563960069908;-2,03931656815199;-2,03931656815199;;1
EBA;Prec;-54,8761715745996;-5,59898437834798;-23,1336795616485;-23,1336795616485;;1
EBA;Prec;-54,8761715745996;-5,53601032935381;-37,7985612666336;-37,7985612666336;;1
EBA;Prec;-54,8761715745996;-4,71734769242961;-112,904002969687;-112,904002969687;;1
EBA;Prec;-54,8761715745996;-4,46545149645294;-124,251960401823;-124,251960401823;;1
EBA;Prec;-54,8761715745996;-4,43846261831258;-117,908799701293;-117,908799701293;;1
EBA;Prec;-54,8761715745996;-4,42946632559913;-107,396742810243;-107,396742810243;10,5769243596101;2
EBA;Prec;-54,8761715745996;-4,41147374017222;-136,069296594937;-136,069296594937;;1
EBA;Prec;-54,8761715745996;-4,3395033984646;-111,653887483224;-111,653887483224;;1
EBA;Prec;-54,8761715745996;-4,15058125148209;-82,8852321743456;-82,8852321743456;;1
EBA;Prec;-54,8761715745996;-4,08760720248792;-112,078424379646;-112,078424379646;;1
EBA;Prec;-54,8761715745996;-4,05162203163411;-96,0837227332583;-96,0837227332583;;1
EBA;Prec;-54,8761715745996;-3,96165910449958;-120,620136551526;-120,620136551526;;1
EBA;Prec;-54,8761715745996;-3,75474437209017;-78,310655235768;-78,310655235768;;1
EBA;Prec;-54,8761715745996;-3,44887041983278;-51,8085113899842;-51,8085113899842;27,64438162439;2
EBA;Prec;-54,8761715745996;-3,43987412711933;-45,5695813085745;-45,5695813085745;;1
EBA;Prec;-54,8761715745996;-3,41288524897897;-42,3056394789858;-42,3056394789858;;1
EBA;Prec;-54,8761715745996;-3,26894456556372;-20,1467443601511;-20,1467443601511;;1
EBA;Prec;-54,8761715745996;-3,25095198013682;-6,77384764336455;-6,77384764336455;34,3499651488925;2
EBA;Prec;-54,8761715745996;-3,13400017486193;-18,0601705061948;-18,0601705061948;;1
EBA;Prec;-54,8761715745996;-3,04403724772741;-29,5459061352669;-29,5459061352669;;1
EBA;Prec;-54,8761715745996;-2,79214105175073;-93,337899211051;-93,337899211051;;1
EBA;Prec;-54,8761715745996;-2,78314475903728;-76,279112014717;-76,279112014717;;1
EBA;Prec;-54,8761715745996;-2,76515217361037;-80,6727290221413;-80,6727290221413;;1
EBA;Prec;-54,8761715745996;-2,72916700275656;-94,4314396091249;-94,4314396091249;;1
EBA;Prec;-54,8761715745996;-2,71117441732965;-126,330125129201;-126,330125129201;;1
EBA;Prec;-54,8761715745996;-2,62121149019513;-130,540217917164;-130,540217917164;;1
EBA;Prec;-54,8761715745996;-2,59422261205477;-149,322306067733;-149,322306067733;;1
EBA;Prec;-54,8761715745996;-2,49526339220679;-179,436639619024;-179,436639619024;;1
EBA;Prec;-54,8761715745996;-2,45028192863953;-203,827501217272;-203,827501217272;;1
EBA;Prec;-54,8761715745996;-2,23437090351666;-167,030114469588;-167,030114469588;;1
EBA;Prec;-54,8761715745996;-2,21637831808976;-202,601407666753;-202,601407666753;;1
EBA;Prec;-54,8761715745996;-2,2073820253763;-165,901083782851;-165,901083782851;;1
EBA;Prec;-54,8761715745996;-1,84753031683819;-73,6133756694382;-73,6133756694382;;1
EBA;Prec;-54,8761715745996;-1,82953773141129;-58,3400436096545;-58,3400436096545;;1
EBA;Prec;-54,8761715745996;-1,78455626784402;-72,4018775932357;-72,4018775932357;;1
EBA;Prec;-54,8761715745996;-1,75756738970367;-30,9618308078998;-30,9618308078998;17,5844383984925;2
EBA;Prec;-54,8761715745996;-1,60463041357497;66,8040408582055;66,8040408582055;;1
EBA;Prec;-54,8761715745996;-1,56864524272116;59,3790530955236;59,3790530955236;;1
EBA;Prec;-54,8761715745996;-1,36173051031175;80,3030509308555;80,3030509308555;;1
EBA;Prec;-54,8761715745996;-0,507082702533737;-237,152478296909;-237,152478296909;;1
EBA;Prec;-54,8761715745996;0,329572519817367;-287,921787426019;-287,921787426019;;1
EBA;Prec;-54,8761715745996;0,878346375337983;-204,854484461334;-204,854484461334;;1
EBA;Prec;-54,8761715745996;0,986301887899416;-149,494486895381;-149,494486895381;;1
EBA;Prec;-54,8761715745996;1,86793857381778;-61,0844412595993;-61,0844412595993;;1
EBA;Prec;-54,8761715745996;1,89492745195814;-67,1213937326118;-67,1213937326118;;1
EBA;Prec;-54,8672704031207;-6,50760994240671;-33,2971836104513;-33,2971836104513;;1
EBA;Prec;-54,8672704031207;-6,12076935572824;8,50621117697019;8,50621117697019;;1
EBA;Prec;-54,8672704031207;-4,8522920831314;-101,488840322328;-101,488840322328;;1
EBA;Prec;-54,8672704031207;-4,42047003288567;-112,095834878012;-112,095834878012;10,7601752816888;2
EBA;Prec;-54,8672704031207;-4,41147374017222;-90,0228812735066;-90,0228812735066;;1
EBA;Prec;-54,8672704031207;-4,22255159318971;-113,814636848116;-113,814636848116;31,5934709456252;2
EBA;Prec;-54,8672704031207;-4,20455900776281;-123,504519128868;-126,202938986737;12,1265120248293;3
EBA;Prec;-54,8672704031207;-4,1865664223359;-121,625739939745;-121,625739939745;;1
EBA;Prec;-54,8672704031207;-4,08760720248792;-115,907851244449;-116,484323185429;8,83436050264915;3
EBA;Prec;-54,8672704031207;-4,07861090977447;-112,837030746009;-112,837030746009;;1
EBA;Prec;-54,8672704031207;-4,0156368607803;-131,904470165073;-131,904470165073;;1
EBA;Prec;-54,8672704031207;-3,94366651907268;-87,4472009038723;-87,4472009038723;;1
EBA;Prec;-54,8672704031207;-3,56582222510766;-61,151205780871;-61,151205780871;8,63332691305576;2
EBA;Prec;-54,8672704031207;-3,54782963968076;-79,2128763447703;-79,2128763447703;;1
EBA;Prec;-54,8672704031207;-3,52983705425385;-58,5449839453243;-58,5449839453243;;1
EBA;Prec;-54,8672704031207;-3,3499111999848;-30,7935460048458;-23,234238094359;28,5185588954632;3
EBA;Prec;-54,8672704031207;-3,32292232184444;5,81770646000447;5,81770646000447;;1
EBA;Prec;-54,8672704031207;-3,26894456556372;-18,9029817822007;-18,9029817822007;;1
EBA;Prec;-54,8672704031207;-3,16098905300229;21,5021868447313;21,5021868447313;;1
EBA;Prec;-54,8672704031207;-3,06202983315431;-21,1135631281478;-21,1135631281478;16,8288797210185;2
EBA;Prec;-54,8672704031207;-3,05303354044086;-35,7227029003414;-35,7227029003414;;1
EBA;Prec;-54,8672704031207;-3,0260446623005;-11,3991365125357;-11,3991365125357;27,9290964726562;2
EBA;Prec;-54,8672704031207;-3,01704836958705;15,9051505366711;15,9051505366711;;1
EBA;Prec;-54,8672704031207;-3,0080520768736;-32,4797103940879;-32,4797103940879;;1
EBA;Prec;-54,8672704031207;-2,93608173516597;-32,4627032943443;-32,4627032943443;;1
EBA;Prec;-54,8672704031207;-2,90909285702562;-37,1025907154733;-37,1025907154733;;1
EBA;Prec;-54,8672704031207;-2,8731076861718;-28,9321458141845;-28,9321458141845;;1
EBA;Prec;-54,8672704031207;-2,79214105175073;-51,6261239812735;-51,6261239812735;;1
EBA;Prec;-54,8672704031207;-2,78314475903728;-52,9908810188139;-52,9908810188139;;1
EBA;Prec;-54,8672704031207;-2,71117441732965;-109,715202950535;-109,715202950535;;1
EBA;Prec;-54,8672704031207;-2,62121149019513;-157,269417766615;-157,269417766615;;1
EBA;Prec;-54,8672704031207;-2,57623002662786;-141,944865839202;-145,257703641662;6,81585785082472;3
EBA;Prec;-54,8672704031207;-2,55823744120096;-123,9154529068;-123,9154529068;;1
EBA;Prec;-54,8672704031207;-2,54924114848751;-161,553327991266;-161,553327991266;;1
EBA;Prec;-54,8672704031207;-2,52225227034715;-155,148393447096;-158,289727643568;8,76299147760526;3
EBA;Prec;-54,8672704031207;-2,51325597763369;-131,78202440668;-131,78202440668;;1
EBA;Prec;-54,8672704031207;-2,50425968492024;-180,647335341862;-180,647335341862;;1
EBA;Prec;-54,8672704031207;-2,47727080677988;-180,691557408909;-180,691557408909;;1
EBA;Prec;-54,8672704031207;-2,26135978165702;-195,578035704889;-195,578035704889;;1
EBA;Prec;-54,8672704031207;-2,25236348894357;-196,161734858543;-196,161734858543;34,0783157386929;2
EBA;Prec;-54,8672704031207;-2,24336719623011;-187,630856635166;-187,630856635166;8,46534912804607;2
EBA;Prec;-54,8672704031207;-2,21637831808976;-174,84728058417;-172,406899720879;31,3350810233417;3
EBA;Prec;-54,8672704031207;-1,70358963342295;-49,0367011072556;-49,0367011072556;;1
EBA;Prec;-54,8672704031207;-1,67660075528259;-4,45222283584797;-4,45222283584797;;1
EBA;Prec;-54,8672704031207;-1,63161929171533;13,8629055425039;13,8629055425039;22,3740444079489;2
EBA;Prec;-54,8672704031207;-1,56864524272116;53,8011553954855;53,8011553954855;;1
EBA;Prec;-54,8672704031207;-1,5416563645808;49,488351816362;49,488351816362;;1
EBA;Prec;-54,8672704031207;-1,5236637791539;97,1043381115577;97,1043381115577;;1
EBA;Prec;-54,8672704031207;-1,51466748644044;68,1848898910781;68,1848898910781;;1
EBA;Prec;-54,8672704031207;-1,42470455930591;88,8007299514084;88,8007299514084;;1
EBA;Prec;-54,8672704031207;-1,1997972414696;23,2807817989336;23,2807817989336;;1
EBA;Prec;-54,8672704031207;-0,956897338206373;-63,8564778077192;-63,8564778077192;;1
EBA;Prec;-54,8672704031207;-0,866934411071846;-123,183700360282;-123,183700360282;;1
EBA;Prec;-54,8672704031207;-0,722993727656602;-182,067960258956;-182,067960258956;;1
EBA;Prec;-54,8672704031207;-0,246190213843608;-287,454086260879;-287,454086260879;;1
EBA;Prec;-54,8672704031207;-0,192212457562891;-326,774087346424;-326,774087346424;;1
EBA;Prec;-54,8672704031207;-0,0122866032938367;-324,487369185542;-324,487369185542;;1
EBA;Prec;-54,8672704031207;0,0326948602734269;-394,53693883116;-394,53693883116;;1
EBA;Prec;-54,8672704031207;0,0506874457003326;-348,733596063761;-348,733596063761;;1
EBA;Prec;-54,8672704031207;0,158642958261765;-342,251754546968;-342,251754546968;;1
