year_effect;Ano;region;response;run
-23,5713754579803;2001;EBA;Prec;1
-209,673659254746;2002;EBA;Prec;1
-144,455608109656;2003;EBA;Prec;1
-121,917765696393;2004;EBA;Prec;1
-124,160895658923;2005;EBA;Prec;1
26,0203849105733;2006;EBA;Prec;1
-172,847733352803;2007;EBA;Prec;1
210,747600973358;2008;EBA;Prec;1
300,26933343504;2009;EBA;Prec;1
-234,432048576447;2010;EBA;Prec;1
143,817014749762;2011;EBA;Prec;1
-349,384748106268;2012;EBA;Prec;1
93,6445064766694;2013;EBA;Prec;1
159,379739825795;2014;EBA;Prec;1
-285,181792736683;2015;EBA;Prec;1
-196,550532600594;2016;EBA;Prec;1
189,992331606186;2017;EBA;Prec;1
162,317082468002;2018;EBA;Prec;1
130,393831024267;2019;EBA;Prec;1
196,019347395971;2020;EBA;Prec;1
249,574986677957;2021;EBA;Prec;1
-27,5895959453319;2001;EBA;Prec;2
-209,580740088778;2002;EBA;Prec;2
-142,845601395669;2003;EBA;Prec;2
-122,740078056651;2004;EBA;Prec;2
-121,390239048754;2005;EBA;Prec;2
29,9546382755579;2006;EBA;Prec;2
-165,015678598679;2007;EBA;Prec;2
216,13592785064;2008;EBA;Prec;2
299,532541733439;2009;EBA;Prec;2
-235,732709673625;2010;EBA;Prec;2
142,336825334938;2011;EBA;Prec;2
-347,475304992553;2012;EBA;Prec;2
98,8918663107686;2013;EBA;Prec;2
155,747827609264;2014;EBA;Prec;2
-285,6992303114;2015;EBA;Prec;2
-196,121381141888;2016;EBA;Prec;2
188,639153729473;2017;EBA;Prec;2
158,18257322933;2018;EBA;Prec;2
125,185384854139;2019;EBA;Prec;2
191,819773462751;2020;EBA;Prec;2
247,764046865219;2021;EBA;Prec;2
-30,2376116973229;2001;EBA;Prec;3
-213,967808436322;2002;EBA;Prec;3
-144,49975391374;2003;EBA;Prec;3
-122,604914471744;2004;EBA;Prec;3
-124,344483728418;2005;EBA;Prec;3
26,7712954157871;2006;EBA;Prec;3
-165,953757376084;2007;EBA;Prec;3
213,154691416034;2008;EBA;Prec;3
302,649084600507;2009;EBA;Prec;3
-235,540013395454;2010;EBA;Prec;3
143,007280876244;2011;EBA;Prec;3
-350,0226251672;2012;EBA;Prec;3
97,30660521404;2013;EBA;Prec;3
159,277658115575;2014;EBA;Prec;3
-287,110296396232;2015;EBA;Prec;3
-194,480261153783;2016;EBA;Prec;3
193,045936464069;2017;EBA;Prec;3
161,803374254767;2018;EBA;Prec;3
133,940481644109;2019;EBA;Prec;3
193,413430687456;2020;EBA;Prec;3
244,39168704373;2021;EBA;Prec;3
-33,6821611853414;2001;EBA;Prec;4
-211,720231838168;2002;EBA;Prec;4
-143,660848620295;2003;EBA;Prec;4
-119,604772634557;2004;EBA;Prec;4
-119,763757788284;2005;EBA;Prec;4
31,093997257729;2006;EBA;Prec;4
-171,005460655876;2007;EBA;Prec;4
210,415403292572;2008;EBA;Prec;4
302,556836056153;2009;EBA;Prec;4
-229,870063205235;2010;EBA;Prec;4
141,234691219969;2011;EBA;Prec;4
-343,542007682068;2012;EBA;Prec;4
104,385114522528;2013;EBA;Prec;4
152,749758933126;2014;EBA;Prec;4
-290,932937600176;2015;EBA;Prec;4
-188,743932224108;2016;EBA;Prec;4
192,482105170173;2017;EBA;Prec;4
158,592167479019;2018;EBA;Prec;4
113,858758259629;2019;EBA;Prec;4
192,247743416013;2020;EBA;Prec;4
252,909597825038;2021;EBA;Prec;4
-32,1078144883802;2001;EBA;Prec;5
-205,773758509746;2002;EBA;Prec;5
-142,454441580356;2003;EBA;Prec;5
-118,889257763395;2004;EBA;Prec;5
-124,653214993946;2005;EBA;Prec;5
22,5761663852071;2006;EBA;Prec;5
-171,473847952996;2007;EBA;Prec;5
213,842778521515;2008;EBA;Prec;5
306,369307772298;2009;EBA;Prec;5
-234,32635312351;2010;EBA;Prec;5
139,248292415772;2011;EBA;Prec;5
-351,809492074802;2012;EBA;Prec;5
99,2052138482471;2013;EBA;Prec;5
157,793620321301;2014;EBA;Prec;5
-288,425925342679;2015;EBA;Prec;5
-192,402595599303;2016;EBA;Prec;5
195,433733105746;2017;EBA;Prec;5
161,831977094587;2018;EBA;Prec;5
121,287392896097;2019;EBA;Prec;5
