region;response;Ano;median;lower;upper;n_runs
EBA;Prec;2001;-32,0576127520552;-36,8490892495545;-25,9875617868487;30
EBA;Prec;2002;-211,319259348016;-217,779293356738;-204,865749791377;30
EBA;Prec;2003;-143,061625481533;-149,169425994375;-137,750287143037;30
EBA;Prec;2004;-119,4913418201;-125,934552058165;-114,090331708289;30
EBA;Prec;2005;-122,959630812167;-130,220644130219;-117,221087632854;30
EBA;Prec;2006;26,0582160226298;19,2767086470362;33,9280671739006;30
EBA;Prec;2007;-170,200432753002;-175,672615812122;-164,768056783578;30
EBA;Prec;2008;214,403390310035;209,229132038991;220,441082185348;30
EBA;Prec;2009;300,429671709393;294,685770389675;304,881912007456;30
EBA;Prec;2010;-235,574192373872;-238,753980695331;-230,18568109504;30
EBA;Prec;2011;142,484032935109;136,789615558333;144,811593270115;30
EBA;Prec;2012;-348,490047999964;-355,478308189118;-342,397708924306;30
EBA;Prec;2013;100,311400919836;93,4430121042506;107,560006879397;30
EBA;Prec;2014;156,448751357256;151,748534870679;164,098268148849;30
EBA;Prec;2015;-287,016161862737;-291,491359418923;-283,215210760406;30
EBA;Prec;2016;-191,910676341716;-197,20521179392;-188,078402672713;30
EBA;Prec;2017;192,366889922122;187,332502113536;199,247325671639;30
EBA;Prec;2018;161,707404974099;154,62853023102;167,245092325771;30
EBA;Prec;2019;121,292634080367;110,016227075792;134,930416643559;30
EBA;Prec;2020;195,62886093784;188,217615194473;199,847994391968;30
EBA;Prec;2021;250,820226914179;243,825655381281;256,448532701895;30
