region;response;contrast_type;frac_plot;frac_bin;stage;median;lower;upper;n_runs
SBA;Prec;Spatially adjusted;0,01;;SF[e];-0,505803202139419;-8,71437488156568;5,46237675405989;30
SBA;Prec;Spatially adjusted;0,01;;SF[i];-4,83897920276832;-12,1267486956;2,60350446503753;30
SBA;Prec;Spatially adjusted;0,01;;SF[a];8,83026348286854;-1,83787241755101;15,273733138538;30
SBA;Prec;Spatially adjusted;0,030204;;SF[e];-0,288895093364089;-7,72923421603708;4,73881213841275;30
SBA;Prec;Spatially adjusted;0,030204;;SF[i];-4,87366984350717;-11,3166274783955;1,73028567069308;30
SBA;Prec;Spatially adjusted;0,030204;;SF[a];9,21729003645908;-1,29497365934588;14,6009723911822;30
SBA;Prec;Spatially adjusted;0,050408;;SF[e];-0,105381769574933;-7,40357073418944;4,08254659457229;30
SBA;Prec;Spatially adjusted;0,050408;;SF[i];-5,09208945377032;-10,5088981739546;1,17002041741896;30
SBA;Prec;Spatially adjusted;0,050408;;SF[a];9,43902520510391;-0,754789817762191;14,2591418249778;30
SBA;Prec;Spatially adjusted;0,070612;;SF[e];-0,104139670065251;-7,23735072829244;4,00979940749733;30
SBA;Prec;Spatially adjusted;0,070612;;SF[i];-5,17861967358636;-9,70595269504162;0,616690389135892;30
SBA;Prec;Spatially adjusted;0,070612;;SF[a];9,57538198804616;-0,220035809422474;14,1234929386574;30
SBA;Prec;Spatially adjusted;0,090816;;SF[e];-0,030064781995975;-6,85491635834714;3,94461569719735;30
SBA;Prec;Spatially adjusted;0,090816;;SF[i];-5,21151260627357;-9,23450005126397;0,331598649802696;30
SBA;Prec;Spatially adjusted;0,090816;;SF[a];9,33067205274631;0,306573449052024;13,59256832445;30
SBA;Prec;Spatially adjusted;0,11102;;SF[e];-0,145618196711781;-6,43460185552027;3,88951662259773;30
SBA;Prec;Spatially adjusted;0,11102;;SF[i];-5,26394968587386;-8,89239296633458;0,119281232038027;30
SBA;Prec;Spatially adjusted;0,11102;;SF[a];9,11949860026664;0,822323041039054;13,3993562697449;30
SBA;Prec;Spatially adjusted;0,131224;;SF[e];-0,35273516241989;-6,54472860174354;3,84702334262291;30
SBA;Prec;Spatially adjusted;0,131224;;SF[i];-5,39786629428068;-8,92417641558783;-0,0843783331478477;30
SBA;Prec;Spatially adjusted;0,131224;;SF[a];9,20124419647345;1,32449804991729;13,4063771314664;30
SBA;Prec;Spatially adjusted;0,151429;;SF[e];-0,118199210118632;-6,60362914963154;3,79488414438318;30
SBA;Prec;Spatially adjusted;0,151429;;SF[i];-5,59374426202089;-8,96339054110217;-0,277648475239582;30
SBA;Prec;Spatially adjusted;0,151429;;SF[a];9,51776996244143;1,71505457955625;13,5030939876902;30
SBA;Prec;Spatially adjusted;0,171633;;SF[e];-0,117420252210422;-6,60276579946123;3,71011625714312;30
SBA;Prec;Spatially adjusted;0,171633;;SF[i];-5,61249766643232;-8,96495793222222;-0,458797623721661;30
SBA;Prec;Spatially adjusted;0,171633;;SF[a];9,61140408697269;2,0518828385154;13,6707955721621;30
SBA;Prec;Spatially adjusted;0,191837;;SF[e];0,0818333331026224;-6,53360085151047;3,98214831867649;30
SBA;Prec;Spatially adjusted;0,191837;;SF[i];-5,62526635698146;-9,14841405214024;-0,626094208078122;30
SBA;Prec;Spatially adjusted;0,191837;;SF[a];9,50806584071904;2,38337917624505;13,9396708958705;30
SBA;Prec;Spatially adjusted;0,212041;;SF[e];0,515744403102531;-6,38759660605679;4,18568667389268;30
SBA;Prec;Spatially adjusted;0,212041;;SF[i];-5,35388284803446;-9,27820552367908;-0,777806657793389;30
SBA;Prec;Spatially adjusted;0,212041;;SF[a];9,2255348050578;2,70887710259171;14,5954040827433;30
SBA;Prec;Spatially adjusted;0,232245;;SF[e];1,05567557354436;-6,15621536337737;4,57674695202035;30
