region,response,run,term,estimate
SBA,Prec,1,(Intercept),1885.69285135164
SBA,Prec,1,TipoSF_early,1.13854268522366
SBA,Prec,1,TipoSF_intermediate,12.5966173913313
SBA,Prec,1,TipoSF_advanced,-16.5398255179521
SBA,Prec,1,"ns(frac_area, df = 3)1",4.09835980776774
SBA,Prec,1,"ns(frac_area, df = 3)2",-18.3105184958508
SBA,Prec,1,"ns(frac_area, df = 3)3",-25.6925461689737
SBA,Prec,1,"TipoSF_early:ns(frac_area, df = 3)1",-4.12980742642164
SBA,Prec,1,"TipoSF_intermediate:ns(frac_area, df = 3)1",-10.5853916457793
SBA,Prec,1,"TipoSF_advanced:ns(frac_area, df = 3)1",1.8213326222492
SBA,Prec,1,"TipoSF_early:ns(frac_area, df = 3)2",24.5449636009138
SBA,Prec,1,"TipoSF_intermediate:ns(frac_area, df = 3)2",0.306004586708911
SBA,Prec,1,"TipoSF_advanced:ns(frac_area, df = 3)2",35.5436370420929
SBA,Prec,1,"TipoSF_early:ns(frac_area, df = 3)3",49.7856536462071
SBA,Prec,1,"TipoSF_intermediate:ns(frac_area, df = 3)3",31.0192193305757
SBA,Prec,1,"TipoSF_advanced:ns(frac_area, df = 3)3",25.7685556853875
SBA,Prec,2,(Intercept),1880.16889203327
SBA,Prec,2,TipoSF_early,-0.568757649406275
SBA,Prec,2,TipoSF_intermediate,8.84934503048523
SBA,Prec,2,TipoSF_advanced,-11.6507028866401
SBA,Prec,2,"ns(frac_area, df = 3)1",7.94204685749952
SBA,Prec,2,"ns(frac_area, df = 3)2",-16.474899812038
SBA,Prec,2,"ns(frac_area, df = 3)3",-21.6470941189187
SBA,Prec,2,"TipoSF_early:ns(frac_area, df = 3)1",-24.5615827771702
SBA,Prec,2,"TipoSF_intermediate:ns(frac_area, df = 3)1",-17.9883644122656
SBA,Prec,2,"TipoSF_advanced:ns(frac_area, df = 3)1",4.31113153926574
SBA,Prec,2,"TipoSF_early:ns(frac_area, df = 3)2",38.8948942502426
SBA,Prec,2,"TipoSF_intermediate:ns(frac_area, df = 3)2",11.2090569943759
SBA,Prec,2,"TipoSF_advanced:ns(frac_area, df = 3)2",22.3987732448619
SBA,Prec,2,"TipoSF_early:ns(frac_area, df = 3)3",61.8807649452149
SBA,Prec,2,"TipoSF_intermediate:ns(frac_area, df = 3)3",24.8716171617365
SBA,Prec,2,"TipoSF_advanced:ns(frac_area, df = 3)3",17.7368467552444
SBA,Prec,3,(Intercept),1924.59469076633
SBA,Prec,3,TipoSF_early,7.41169393059406
SBA,Prec,3,TipoSF_intermediate,10.3973764959367
SBA,Prec,3,TipoSF_advanced,1.74718309986096
SBA,Prec,3,"ns(frac_area, df = 3)1",4.19681195100941
SBA,Prec,3,"ns(frac_area, df = 3)2",-2.6933135070187
