region;response;run;status;error_message;n_cells_per_stratum;df_frac;elapsed_min
SBA;Prec;1;success;;200;3;396,56
SBA;Prec;2;success;;200;3;411,97
SBA;Prec;3;success;;200;3;507,06
SBA;Prec;4;success;;200;3;416,77
SBA;Prec;5;success;;200;3;541,87
SBA;Prec;6;success;;200;3;494,8
SBA;Prec;7;success;;200;3;670,19
SBA;Prec;8;success;;200;3;503,94
SBA;Prec;9;success;;200;3;467,6
SBA;Prec;10;success;;200;3;530,87
SBA;Prec;11;success;;200;3;452,24
SBA;Prec;12;success;;200;3;275,06
SBA;Prec;13;success;;200;3;504,93
SBA;Prec;14;success;;200;3;295,55
SBA;Prec;15;success;;200;3;382,63
SBA;Prec;16;success;;200;3;485,66
SBA;Prec;17;success;;200;3;523,37
SBA;Prec;18;success;;200;3;400,2
SBA;Prec;19;success;;200;3;798,28
SBA;Prec;20;success;;200;3;926,15
SBA;Prec;21;success;;200;3;599,6
SBA;Prec;22;success;;200;3;698,94
SBA;Prec;23;success;;200;3;547,73
SBA;Prec;24;success;;200;3;407,77
SBA;Prec;25;success;;200;3;455,42
SBA;Prec;26;success;;200;3;420,53
SBA;Prec;27;success;;200;3;418,11
SBA;Prec;28;success;;200;3;477,44
SBA;Prec;29;success;;200;3;351,73
SBA;Prec;30;success;;200;3;610,81
