cell_id;Lon;Lat;spatial_component;region;response;run
8570;-73,2748930214703;-7,4792095554596;270,579197830112;SBA;Prec;1
14892;-73,0167590485824;-7,56017618988067;365,639441829835;SBA;Prec;1
17696;-72,9188461623146;-7,10136526149459;382,139977414803;SBA;Prec;1
18699;-72,883241476399;-8,18991667982236;292,824889940899;SBA;Prec;1
19212;-72,8654391334412;-8,639731315495;199,911148683788;SBA;Prec;1
19573;-72,8565379619623;-7,86605014213807;393,241512395563;SBA;Prec;1
19595;-72,8565379619623;-7,61415394616139;407,069806032772;SBA;Prec;1
21510;-72,7942297616101;-7,88404272756497;403,094739380799;SBA;Prec;1
21851;-72,7853285901312;-7,18233189591566;408,033787746727;SBA;Prec;1
22175;-72,7675262471734;-9,3054569762905;84,6244306448947;SBA;Prec;1
22555;-72,7586250756945;-8,2978721923838;294,597277791121;SBA;Prec;1
23390;-72,7319215612578;-8,00099453283986;385,8904691588;SBA;Prec;1
24317;-72,6963168753423;-9,06255707302728;154,379285138735;SBA;Prec;1
24999;-72,6785145323845;-7,62315023887484;427,170911893217;SBA;Prec;1
25298;-72,6696133609056;-7,25430223762328;424,503875001776;SBA;Prec;1
25801;-72,6518110179478;-7,83006497128426;426,364369645662;SBA;Prec;1
26376;-72,63400867499;-7,31727628661745;428,193068027801;SBA;Prec;1
26928;-72,6162063320322;-7,58716506802103;429,979619920079;SBA;Prec;1
27211;-72,6073051605533;-7,61415394616139;430,861800682317;SBA;Prec;1
29217;-72,5449969602011;-7,74909833686318;433,228891161528;SBA;Prec;1
29825;-72,5271946172433;-7,54218360445377;435,162115913478;SBA;Prec;1
30121;-72,5182934457644;-7,58716506802103;435,368223452013;SBA;Prec;1
31806;-72,4648864168911;-8,50478692479321;326,796263013334;SBA;Prec;1
32140;-72,4559852454122;-8,18092038710891;381,802152783017;SBA;Prec;1
33315;-72,4203805594966;-8,17192409439546;389,470824625722;SBA;Prec;1
35474;-72,3580723591443;-7,25430223762328;458,158676479887;SBA;Prec;1
36373;-72,3313688447077;-7,24530594490983;462,049175375945;SBA;Prec;1
36970;-72,3135665017499;-7,33526887204436;460,414215208925;SBA;Prec;1
43033;-72,1444442436509;-7,36225775018471;486,454492976826;SBA;Prec;1
46075;-72,0643337003409;-8,21690555796273;451,180373703598;SBA;Prec;1
46880;-72,0465313573831;-7,38025033561162;502,872104648286;SBA;Prec;1
47910;-72,0198278429464;-7,79407980043045;455,622533060832;SBA;Prec;1
53035;-71,886310270763;-9,96218634437255;202,807094139837;SBA;Prec;1
57646;-71,7794962130163;-7,12835413963494;545,727186556318;SBA;Prec;1
57716;-71,7705950415374;-9,72828273382278;235,410896831617;SBA;Prec;1
57814;-71,7705950415374;-8,84664604790441;362,227546962999;SBA;Prec;1
60686;-71,6993856697063;-8,66672019363536;390,318214460407;SBA;Prec;1
61429;-71,6815833267485;-8,2978721923838;464,037133232291;SBA;Prec;1
61920;-71,6726821552696;-7,06538009064078;550,852762202577;SBA;Prec;1
61974;-71,6637809837907;-9,76426790467659;240,571584123289;SBA;Prec;1
62633;-71,6548798123118;-7,03839121250042;550,466322567977;SBA;Prec;1
