region;response;contrast_type;frac_plot;frac_bin;stage;median;lower;upper;n_runs;significant
CBA;Temp;Spatially adjusted;0,01;;SF[e];-0,164892032863598;-0,187599083584831;-0,1237177254103;30;TRUE
CBA;Temp;Spatially adjusted;0,01;;SF[i];-0,167653738242992;-0,198722643745789;-0,133773210798887;30;TRUE
CBA;Temp;Spatially adjusted;0,01;;SF[a];-0,187809452587907;-0,224687011244058;-0,138404904066077;30;TRUE
CBA;Temp;Spatially adjusted;0,030204;;SF[e];-0,161064527475931;-0,182533085921514;-0,124000179267864;30;TRUE
CBA;Temp;Spatially adjusted;0,030204;;SF[i];-0,164441381857442;-0,192982033374206;-0,133287693247199;30;TRUE
CBA;Temp;Spatially adjusted;0,030204;;SF[a];-0,184131202939568;-0,218087760349454;-0,139519124028613;30;TRUE
CBA;Temp;Spatially adjusted;0,050408;;SF[e];-0,157174208086597;-0,177407380666598;-0,124190770144701;30;TRUE
CBA;Temp;Spatially adjusted;0,050408;;SF[i];-0,161148345145779;-0,187192339345821;-0,132724838487874;30;TRUE
CBA;Temp;Spatially adjusted;0,050408;;SF[a];-0,180506364985736;-0,211655917135004;-0,140536960506174;30;TRUE
CBA;Temp;Spatially adjusted;0,070612;;SF[e];-0,152699106644634;-0,172162260228483;-0,124197635060103;30;TRUE
CBA;Temp;Spatially adjusted;0,070612;;SF[i];-0,157649776623119;-0,181304478003841;-0,132007309313276;30;TRUE
CBA;Temp;Spatially adjusted;0,070612;;SF[a];-0,176618986520738;-0,205119696536913;-0,141362030013792;30;TRUE
CBA;Temp;Spatially adjusted;0,090816;;SF[e];-0,148063619070119;-0,166738017015567;-0,123032311579123;30;TRUE
CBA;Temp;Spatially adjusted;0,090816;;SF[i];-0,153570767726699;-0,175269365691465;-0,131057768515766;30;TRUE
CBA;Temp;Spatially adjusted;0,090816;;SF[a];-0,172286226592025;-0,198426909863373;-0,14189794906649;30;TRUE
CBA;Temp;Spatially adjusted;0,11102;;SF[e];-0,143774254052092;-0,161074943436245;-0,121319426311547;30;TRUE
CBA;Temp;Spatially adjusted;0,11102;;SF[i];-0,148666397117293;-0,169037918751898;-0,129798878887711;30;TRUE
CBA;Temp;Spatially adjusted;0,11102;;SF[a];-0,167914933202738;-0,190922375269161;-0,1420483341793;30;TRUE
CBA;Temp;Spatially adjusted;0,131224;;SF[e];-0,138498757502028;-0,156380499673543;-0,119187140125897;30;TRUE
CBA;Temp;Spatially adjusted;0,131224;;SF[i];-0,143407027050281;-0,163590575663168;-0,127944691814222;30;TRUE
CBA;Temp;Spatially adjusted;0,131224;;SF[a];-0,164230261345999;-0,183577058710188;-0,141716801867245;30;TRUE
CBA;Temp;Spatially adjusted;0,151429;;SF[e];-0,132348283288577;-0,151724708973351;-0,116551572838546;30;TRUE
CBA;Temp;Spatially adjusted;0,151429;;SF[i];-0,138171979604638;-0,158687920166585;-0,124698633425654;30;TRUE
CBA;Temp;Spatially adjusted;0,151429;;SF[a];-0,159774210744393;-0,177936195048674;-0,140806968645353;30;TRUE
CBA;Temp;Spatially adjusted;0,171633;;SF[e];-0,126156837612806;-0,14503318238042;-0,112968046326895;30;TRUE
CBA;Temp;Spatially adjusted;0,171633;;SF[i];-0,132743907275291;-0,153272716748298;-0,120987187455721;30;TRUE
CBA;Temp;Spatially adjusted;0,171633;;SF[a];-0,153864272901897;-0,170974479068702;-0,139222451028656;30;TRUE
CBA;Temp;Spatially adjusted;0,191837;;SF[e];-0,119797510992232;-0,137792244718118;-0,108388179280998;30;TRUE
CBA;Temp;Spatially adjusted;0,191837;;SF[i];-0,126692762367096;-0,14683522605058;-0,11675805776897;30;TRUE
CBA;Temp;Spatially adjusted;0,191837;;SF[a];-0,148059313655345;-0,163460026462675;-0,136097285920042;30;TRUE
CBA;Temp;Spatially adjusted;0,212041;;SF[e];-0,112614219664961;-0,129933219602771;-0,102574031733025;30;TRUE
CBA;Temp;Spatially adjusted;0,212041;;SF[i];-0,120343820548122;-0,138487353474719;-0,11194653390081;30;TRUE
CBA;Temp;Spatially adjusted;0,212041;;SF[a];-0,142419215208886;-0,15537169133149;-0,131978709887794;30;TRUE
CBA;Temp;Spatially adjusted;0,232245;;SF[e];-0,105006701371555;-0,12184685678078;-0,0955469520922934;30;TRUE
CBA;Temp;Spatially adjusted;0,232245;;SF[i];-0,114548017807506;-0,129865366425814;-0,106487905386639;30;TRUE
CBA;Temp;Spatially adjusted;0,232245;;SF[a];-0,135378361906542;-0,146827985212342;-0,127028711497451;30;TRUE
CBA;Temp;Spatially adjusted;0,252449;;SF[e];-0,096758719306532;-0,113353219932061;-0,0878827333177876;30;TRUE
CBA;Temp;Spatially adjusted;0,252449;;SF[i];-0,10720332339354;-0,122316509547046;-0,100317461761853;30;TRUE
CBA;Temp;Spatially adjusted;0,252449;;SF[a];-0,12706539973445;-0,138355748376644;-0,121095526320709;30;TRUE
CBA;Temp;Spatially adjusted;0,272653;;SF[e];-0,0883917161052566;-0,104019418588933;-0,0790719371084338;30;TRUE
CBA;Temp;Spatially adjusted;0,272653;;SF[i];-0,099763042215045;-0,113927444442225;-0,0933138420174728;30;TRUE
CBA;Temp;Spatially adjusted;0,272653;;SF[a];-0,119211137417782;-0,129014594171911;-0,112712953291116;30;TRUE
