region,response,term,median_beta,lower_beta,upper_beta,mean_beta,sd_beta
CBA,Temp,(Intercept),24.0817947429804,22.9315301115254,25.027844082278,24.058325657211,0.735097249602275
CBA,Temp,TipoSF_early,0.164892032863597,0.123717725410301,0.187599083584831,0.162030554829689,0.0173594239759713
CBA,Temp,TipoSF_intermediate,0.167653738242992,0.133773210798886,0.19872264374579,0.164127414931461,0.0190503442638535
CBA,Temp,TipoSF_advanced,0.187809452587906,0.138404904066077,0.224687011244059,0.187370834815009,0.0236754513785388
CBA,Temp,"ns(frac_area, df = 3)1",0.206144508002326,0.193590698618781,0.242694019051094,0.20989873552982,0.013413376959294
CBA,Temp,"ns(frac_area, df = 3)2",0.0687502957164078,0.00130726372725941,0.122844928134482,0.0696078987210208,0.0345094864328913
CBA,Temp,"ns(frac_area, df = 3)3",0.0254568030105008,0.00324222765384455,0.0387364175606307,0.0235155194844936,0.0108338082543276
CBA,Temp,"TipoSF_early:ns(frac_area, df = 3)1",-0.379128439069377,-0.430164883720993,-0.331147712188217,-0.38045321512963,0.0258874918321376
CBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.348510901457387,-0.392212632910347,-0.326600205626368,-0.350762875737741,0.0204041278012477
CBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.375592412408482,-0.42169704038402,-0.355561190070717,-0.380112256023297,0.0190305569751038
CBA,Temp,"TipoSF_early:ns(frac_area, df = 3)2",-0.407054899403502,-0.46675514138337,-0.296819300437015,-0.399412337052032,0.0448862811670983
CBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)2",-0.345418040810823,-0.424862943234367,-0.268883437117126,-0.342769142447571,0.0467370273008734
CBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)2",-0.388263115496012,-0.478658883378067,-0.261129636620302,-0.383941293991164,0.0584259972430625
CBA,Temp,"TipoSF_early:ns(frac_area, df = 3)3",-0.288521289817517,-0.326459445741996,-0.248744867349428,-0.286390521086183,0.0216440102660411
CBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.23790020792735,-0.267254434156288,-0.194593244463405,-0.236975278987441,0.0200004069134432
CBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.280981903161629,-0.308355013293936,-0.237691580301633,-0.279620189812936,0.0202550585839572
