region;response;run;status;error_message;n_cells_per_stratum;df_frac;elapsed_min
CBA;Temp;1;success;;200;3;711,55
CBA;Temp;2;success;;200;3;515,64
CBA;Temp;3;success;;200;3;1080,93
CBA;Temp;4;success;;200;3;646,14
CBA;Temp;5;success;;200;3;573,46
CBA;Temp;6;success;;200;3;756,29
CBA;Temp;7;success;;200;3;887,74
CBA;Temp;8;success;;200;3;712,6
CBA;Temp;9;success;;200;3;758,25
CBA;Temp;10;success;;200;3;883,86
CBA;Temp;11;success;;200;3;1333,95
CBA;Temp;12;success;;200;3;582,46
CBA;Temp;13;success;;200;3;1408,1
CBA;Temp;14;success;;200;3;695,32
CBA;Temp;15;success;;200;3;512,6
CBA;Temp;16;success;;200;3;614,15
CBA;Temp;17;success;;200;3;489,9
CBA;Temp;18;success;;200;3;678,47
CBA;Temp;19;success;;200;3;856,98
CBA;Temp;20;success;;200;3;474,2
CBA;Temp;21;success;;200;3;675,26
CBA;Temp;22;success;;200;3;836
CBA;Temp;23;success;;200;3;492,18
CBA;Temp;24;success;;200;3;710,4
CBA;Temp;25;success;;200;3;446,26
CBA;Temp;26;success;;200;3;640,72
CBA;Temp;27;success;;200;3;500,8
CBA;Temp;28;success;;200;3;673,42
CBA;Temp;29;success;;200;3;551,83
CBA;Temp;30;success;;200;3;1417,23
