region;response;run;CCC;RMSE;MAE;Bias;R2;Residual_SD;n_eval;n_cells_per_stratum;selected_cells;rows_model;n_unique_cells
CBA;Temp;1;0,952468518351312;0,266226707547086;0,195722909456249;5,35985931999032e-13;0,909544656427894;0,26622808263887;96804;200;3304;96804;3304
CBA;Temp;2;0,955107594100285;0,267973113189514;0,196371801728996;4,58509279191115e-12;0,914334821176046;0,267974498503778;96720;200;3290;96720;3290
CBA;Temp;3;0,954269648064597;0,264706411125692;0,193914250129458;2,06366250702947e-12;0,912810995574936;0,264707775053891;97039;200;3295;97039;3295
CBA;Temp;4;0,951785516619413;0,264745603024874;0,194625957964642;1,90698677259304e-13;0,908307801113318;0,264746969817095;96850;200;3304;96850;3304
CBA;Temp;5;0,949327120380965;0,272796348733844;0,199879596151127;1,74703031262797e-14;0,90387428103101;0,272797763502236;96411;200;3306;96411;3306
CBA;Temp;6;0,953497386502258;0,268352079735814;0,196010188759524;-4,34555244523129e-14;0,911406334444236;0,268353467497027;96686;200;3279;96686;3279
CBA;Temp;7;0,952914908191873;0,27078718078561;0,19754442543237;-8,44917712143172e-13;0,910355183890985;0,270788590045536;96075;200;3297;96075;3297
CBA;Temp;8;0,953588381275762;0,265732309508429;0,194209988124228;-8,50323293468299e-13;0,911573533912582;0,265733681281371;96858;200;3304;96858;3304
CBA;Temp;9;0,953679537788753;0,268204213819058;0,196718976212989;2,2215441826673e-14;0,91174013377653;0,268205603661829;96488;200;3295;96488;3295
CBA;Temp;10;0,953598359564251;0,268240901133064;0,196719795628733;1,32163794585638e-13;0,911592837446063;0,268242285098646;96911;200;3303;96911;3303
CBA;Temp;11;0,950914325294646;0,270443192225063;0,197532130994709;5,03623091833118e-12;0,906734924770167;0,270444603322597;95828;200;3278;95828;3278
CBA;Temp;12;0,951911881214342;0,266247546915509;0,194777271972723;3,43011809792972e-14;0,908533528323523;0,266248913671823;97402;200;3295;97402;3295
CBA;Temp;13;0,94870005069991;0,262417750459722;0,19222382775838;-1,54533746001266e-12;0,90274346962572;0,262419101022636;97152;200;3286;97152;3286
CBA;Temp;14;0,951726967260428;0,267240168295741;0,195938396549834;5,68943699281845e-14;0,908202013380151;0,267241556033701;96287;200;3288;96287;3288
CBA;Temp;15;0,95388136270531;0,271380808735272;0,197127088765319;-2,25330292600883e-15;0,912104575350599;0,271382197892064;97679;200;3315;97679;3315
CBA;Temp;16;0,952008474333728;0,266230910968862;0,195115155194968;-8,07835570898712e-15;0,908709062475113;0,266232276378122;97492;200;3300;97492;3300
CBA;Temp;17;0,952024355430846;0,269072964376281;0,196605948939854;5,64736191765682e-14;0,9087400486792;0,269074348151236;97225;200;3310;97225;3310
CBA;Temp;18;0,950433556671713;0,267354963190639;0,195490045607966;1,17804340471128e-14;0,905864650028344;0,267356333310754;97567;200;3303;97567;3303
CBA;Temp;19;0,953252901346757;0,268300054751973;0,196249401061837;3,5190997722624e-14;0,910963564595311;0,268301435574624;97153;200;3291;97153;3291
CBA;Temp;20;0,952924824345054;0,267289593004658;0,195713991785895;2,58526954100061e-13;0,91037213539764;0,267290990856772;95608;200;3277;95608;3277
CBA;Temp;21;0,952242766543262;0,265587400440783;0,194454517110306;4,93245542930868e-12;0,909137454973338;0,265588788389205;95677;200;3285;95677;3285
CBA;Temp;22;0,949993557708883;0,268720336106926;0,197312164534612;3,02847095344604e-14;0,90507417796362;0,268721722360153;96924;200;3322;96924;3322
CBA;Temp;23;0,952332165928212;0,263755408443413;0,193934535373196;2,62945823168539e-14;0,909295314325506;0,263756760227646;97559;200;3304;97559;3304
CBA;Temp;24;0,953017081632142;0,267516437519586;0,196190358559433;-3,69053177559606e-15;0,910536352987329;0,26751781077553;97403;200;3311;97403;3311
CBA;Temp;25;0,951625355791337;0,269133510453828;0,197182511917382;-1,8525968614978e-15;0,908016643520591;0,269134897207422;97038;200;3294;97038;3294
CBA;Temp;26;0,952192748538343;0,269547189840552;0,197625199316429;3,13833048788134e-13;0,909043976698177;0,269548589951138;96260;200;3280;96260;3280
CBA;Temp;27;0,951497280181684;0,265629926557656;0,194146659466401;-3,65826099384924e-12;0,907784803330551;0,265631288521445;97518;200;3296;97518;3296
CBA;Temp;28;0,95161282393056;0,269308978017004;0,196460530328521;-1,76635262482321e-14;0,907995076194781;0,26931037110136;96660;200;3288;96660;3288
CBA;Temp;29;0,952995140983269;0,265915892040779;0,194983789423214;2,28774127104562e-14;0,91049981320285;0,265917278344314;95909;200;3286;95909;3286
CBA;Temp;30;0,949186459765393;0,27046985625364;0,197456043813302;-3,69711471572146e-13;0,903621097542335;0,270471253665975;96776;200;3305;96776;3305
