region;response;contrast_type;frac_plot;frac_bin;stage;median;lower;upper;n_runs;significant
EBA;Temp;Spatially adjusted;0,01;;SF[e];-0,602114061581377;-0,644034866848045;-0,545581270231735;30;TRUE
EBA;Temp;Spatially adjusted;0,01;;SF[i];-0,660104307276634;-0,692970346582476;-0,607951456594754;30;TRUE
EBA;Temp;Spatially adjusted;0,01;;SF[a];-0,716085764901577;-0,768270213299092;-0,654293682946429;30;TRUE
EBA;Temp;Spatially adjusted;0,030204;;SF[e];-0,574041929407724;-0,612824999739003;-0,521425499437694;30;TRUE
EBA;Temp;Spatially adjusted;0,030204;;SF[i];-0,634034554200859;-0,663119598454305;-0,585637495685271;30;TRUE
EBA;Temp;Spatially adjusted;0,030204;;SF[a];-0,685821751145499;-0,733463216469557;-0,631544548690537;30;TRUE
EBA;Temp;Spatially adjusted;0,050408;;SF[e];-0,545539214012463;-0,581620682814044;-0,497234427620064;30;TRUE
EBA;Temp;Spatially adjusted;0,050408;;SF[i];-0,607157741656176;-0,633267975302399;-0,563272039436865;30;TRUE
EBA;Temp;Spatially adjusted;0,050408;;SF[a];-0,656955438250096;-0,698682255036865;-0,608736955863189;30;TRUE
EBA;Temp;Spatially adjusted;0,070612;;SF[e];-0,517015416640654;-0,550427466257242;-0,472972753755281;30;TRUE
EBA;Temp;Spatially adjusted;0,070612;;SF[i];-0,579460243692065;-0,604699100595599;-0,540803592510616;30;TRUE
EBA;Temp;Spatially adjusted;0,070612;;SF[a];-0,627914519701069;-0,663953364397859;-0,585812445892931;30;TRUE
EBA;Temp;Spatially adjusted;0,090816;;SF[e];-0,488459996304029;-0,521636715161122;-0,448605176819746;30;TRUE
EBA;Temp;Spatially adjusted;0,090816;;SF[i];-0,552964770041351;-0,576646790362659;-0,518180659567591;30;TRUE
EBA;Temp;Spatially adjusted;0,090816;;SF[a];-0,598212619892982;-0,629302579949382;-0,559801215972636;30;TRUE
EBA;Temp;Spatially adjusted;0,11102;;SF[e];-0,4601121944669;-0,492690220922684;-0,424096395789891;30;TRUE
EBA;Temp;Spatially adjusted;0,11102;;SF[i];-0,526558122354468;-0,550418846995815;-0,495351745268877;30;TRUE
EBA;Temp;Spatially adjusted;0,11102;;SF[a];-0,568463806379395;-0,594755937088281;-0,533518555335697;30;TRUE
EBA;Temp;Spatially adjusted;0,131224;;SF[e];-0,432045180653987;-0,462637640527212;-0,399411109642122;30;TRUE
EBA;Temp;Spatially adjusted;0,131224;;SF[i];-0,500035212865461;-0,523230910614479;-0,472265354275541;30;TRUE
EBA;Temp;Spatially adjusted;0,131224;;SF[a];-0,538790198784792;-0,561787797439735;-0,507092495733509;30;TRUE
EBA;Temp;Spatially adjusted;0,151429;;SF[e];-0,40352001431782;-0,433072859126265;-0,376096996665298;30;TRUE
EBA;Temp;Spatially adjusted;0,151429;;SF[i];-0,473372789213907;-0,493566463887972;-0,448869991248664;30;TRUE
EBA;Temp;Spatially adjusted;0,151429;;SF[a];-0,509170610241071;-0,530299546788422;-0,477375832156187;30;TRUE
EBA;Temp;Spatially adjusted;0,171633;;SF[e];-0,374242931029102;-0,404876260122434;-0,350014602513829;30;TRUE
EBA;Temp;Spatially adjusted;0,171633;;SF[i];-0,446547599039379;-0,46660751918266;-0,425114160849323;30;TRUE
EBA;Temp;Spatially adjusted;0,171633;;SF[a];-0,478932240180708;-0,500206852344179;-0,447014327953155;30;TRUE
EBA;Temp;Spatially adjusted;0,191837;;SF[e];-0,34608341840067;-0,376376163427299;-0,32363300155362;30;TRUE
EBA;Temp;Spatially adjusted;0,191837;;SF[i];-0,419185679069548;-0,439339544098445;-0,401077733284978;30;TRUE
EBA;Temp;Spatially adjusted;0,191837;;SF[a];-0,448796993648833;-0,470444933517539;-0,418160706517248;30;TRUE
EBA;Temp;Spatially adjusted;0,212041;;SF[e];-0,316192757017502;-0,347534631829439;-0,297048226644998;30;TRUE
EBA;Temp;Spatially adjusted;0,212041;;SF[i];-0,392509115688512;-0,411723909837964;-0,374234012765306;30;TRUE
EBA;Temp;Spatially adjusted;0,212041;;SF[a];-0,418366356246453;-0,440447175910809;-0,38991319589409;30;TRUE
EBA;Temp;Spatially adjusted;0,232245;;SF[e];-0,287553569436844;-0,319002662322897;-0,270237702904806;30;TRUE
EBA;Temp;Spatially adjusted;0,232245;;SF[i];-0,3642251183991;-0,383721987603861;-0,347664406532251;30;TRUE
EBA;Temp;Spatially adjusted;0,232245;;SF[a];-0,388395568975746;-0,410187375215097;-0,361478805809291;30;TRUE
EBA;Temp;Spatially adjusted;0,252449;;SF[e];-0,259482043477725;-0,290665313692355;-0,242793613832078;30;TRUE
EBA;Temp;Spatially adjusted;0,252449;;SF[i];-0,335413899607247;-0,35529514859877;-0,319234128717208;30;TRUE
EBA;Temp;Spatially adjusted;0,252449;;SF[a];-0,358771857163316;-0,3796393271215;-0,332466374436672;30;TRUE
EBA;Temp;Spatially adjusted;0,272653;;SF[e];-0,2304686426149;-0,261865581004572;-0,213959850080041;30;TRUE
EBA;Temp;Spatially adjusted;0,272653;;SF[i];-0,307253215117884;-0,326404764025325;-0,29120594417024;30;TRUE
EBA;Temp;Spatially adjusted;0,272653;;SF[a];-0,327488596247818;-0,348776827321123;-0,301923313993655;30;TRUE
EBA;Temp;Spatially adjusted;0,292857;;SF[e];-0,201705810570514;-0,23256493225478;-0,185015496868889;30;TRUE
EBA;Temp;Spatially adjusted;0,292857;;SF[i];-0,278472127410423;-0,297012205086166;-0,263054241371892;30;TRUE
EBA;Temp;Spatially adjusted;0,292857;;SF[a];-0,297340725516165;-0,318451670176209;-0,271186968962749;30;TRUE
EBA;Temp;Spatially adjusted;0,313061;;SF[e];-0,172415811685374;-0,202724835438209;-0,156522625772049;30;TRUE
EBA;Temp;Spatially adjusted;0,313061;;SF[i];-0,249373246050665;-0,267078842983935;-0,23476951891821;30;TRUE
EBA;Temp;Spatially adjusted;0,313061;;SF[a];-0,26705296879014;-0,28780670660404;-0,240662200657513;30;TRUE
EBA;Temp;Spatially adjusted;0,333265;;SF[e];-0,142629515397879;-0,172306758550094;-0,127784493985572;30;TRUE
EBA;Temp;Spatially adjusted;0,333265;;SF[i];-0,219055294448589;-0,236566048921261;-0,20634227540524;30;TRUE
EBA;Temp;Spatially adjusted;0,333265;;SF[a];-0,236070141085937;-0,256599230799062;-0,210364121701208;30;TRUE
EBA;Temp;Spatially adjusted;0,353469;;SF[e];-0,113088064319989;-0,141303610889642;-0,098777736221963;30;TRUE
EBA;Temp;Spatially adjusted;0,353469;;SF[i];-0,188783426159422;-0,205467316795108;-0,177738530433714;30;TRUE
EBA;Temp;Spatially adjusted;0,353469;;SF[a];-0,204437620820217;-0,224820902601179;-0,180312672843249;30;TRUE
EBA;Temp;Spatially adjusted;0,373673;;SF[e];-0,0833440458569648;-0,109834066971969;-0,0695986459357391;30;TRUE
EBA;Temp;Spatially adjusted;0,373673;;SF[i];-0,158574251108847;-0,173928022475214;-0,147505864631415;30;TRUE
EBA;Temp;Spatially adjusted;0,373673;;SF[a];-0,173262456437415;-0,192580024472027;-0,150547107337617;30;TRUE
EBA;Temp;Spatially adjusted;0,393878;;SF[e];-0,0534675795455808;-0,0780482426161842;-0,0393694663323034;30;TRUE
EBA;Temp;Spatially adjusted;0,393878;;SF[i];-0,128203078009111;-0,142577248050091;-0,117567857051474;30;TRUE
EBA;Temp;Spatially adjusted;0,393878;;SF[a];-0,142446733096747;-0,160014059528663;-0,121111506564461;30;TRUE
EBA;Temp;Spatially adjusted;0,414082;;SF[e];-0,0235733729694641;-0,0460962536413874;-0,00906440587285226;30;TRUE
EBA;Temp;Spatially adjusted;0,414082;;SF[i];-0,0983798129389459;-0,111564678604468;-0,0886810574845047;30;TRUE
EBA;Temp;Spatially adjusted;0,414082;;SF[a];-0,110975290924234;-0,12726047088814;-0,0920499519039165;30;TRUE
EBA;Temp;Spatially adjusted;0,434286;;SF[e];0,00692163030003279;-0,0139449964100262;0,0201765225133537;30;FALSE
EBA;Temp;Spatially adjusted;0,434286;;SF[i];-0,0679764759669581;-0,0813471272463438;-0,0571071889090488;30;TRUE
EBA;Temp;Spatially adjusted;0,434286;;SF[a];-0,0801325083544437;-0,0944567216675236;-0,0644881526986597;30;TRUE
EBA;Temp;Spatially adjusted;0,45449;;SF[e];0,0365822821199249;0,0166651074592735;0,0488633227313211;30;TRUE
EBA;Temp;Spatially adjusted;0,45449;;SF[i];-0,0375743755074413;-0,051201834525652;-0,0247477602100761;30;TRUE
EBA;Temp;Spatially adjusted;0,45449;;SF[a];-0,0497874236101712;-0,0623229860272852;-0,0340525578922977;30;TRUE
EBA;Temp;Spatially adjusted;0,474694;;SF[e];0,0661670103769226;0,0431428099915803;0,078749821439518;30;TRUE
EBA;Temp;Spatially adjusted;0,474694;;SF[i];-0,00791305046320722;-0,0212778380229224;0,0073008756721424;30;FALSE
EBA;Temp;Spatially adjusted;0,474694;;SF[a];-0,0194329384222449;-0,0318444568695535;-0,00393588943664467;30;TRUE
EBA;Temp;Spatially adjusted;0,494898;;SF[e];0,093791436311033;0,0694150739194863;0,108675961616858;30;TRUE
EBA;Temp;Spatially adjusted;0,494898;;SF[i];0,0215378747130561;0,00827582468129861;0,0388624251750382;30;TRUE
EBA;Temp;Spatially adjusted;0,494898;;SF[a];0,0107953476796628;-0,00172788943189612;0,0268572894923237;30;FALSE
EBA;Temp;Spatially adjusted;0,515102;;SF[e];0,121859679852262;0,0952052549176984;0,137505536539213;30;TRUE
EBA;Temp;Spatially adjusted;0,515102;;SF[i];0,0499857802227375;0,0373101160064768;0,0697605947360559;30;TRUE
EBA;Temp;Spatially adjusted;0,515102;;SF[a];0,0407129918995626;0,0279361252673156;0,0570509102142729;30;TRUE
EBA;Temp;Spatially adjusted;0,535306;;SF[e];0,148722484380169;0,120447353861647;0,165069780910004;30;TRUE
EBA;Temp;Spatially adjusted;0,535306;;SF[i];0,0778132026804031;0,0647787601732211;0,099819090792617;30;TRUE
EBA;Temp;Spatially adjusted;0,535306;;SF[a];0,0703501393853223;0,0550918160873004;0,0870518543456589;30;TRUE
EBA;Temp;Spatially adjusted;0,55551;;SF[e];0,174823139885401;0,145075371626753;0,193007162037175;30;TRUE
EBA;Temp;Spatially adjusted;0,55551;;SF[i];0,105015108500942;0,0905173593993402;0,128861619782168;30;TRUE
EBA;Temp;Spatially adjusted;0,55551;;SF[a];0,098505809475892;0,0815816561348958;0,11615022690928;30;TRUE
EBA;Temp;Spatially adjusted;0,575714;;SF[e];0,200436284099144;0,169023309088439;0,22012194793118;30;TRUE
EBA;Temp;Spatially adjusted;0,575714;;SF[i];0,130966991189288;0,115406807948564;0,157103661051845;30;TRUE
EBA;Temp;Spatially adjusted;0,575714;;SF[a];0,126016991466955;0,106142782343455;0,144257126014391;30;TRUE
EBA;Temp;Spatially adjusted;0,595918;;SF[e];0,224278488015145;0,192225167122137;0,245748967507043;30;TRUE
EBA;Temp;Spatially adjusted;0,595918;;SF[i];0,15539590330116;0,139358194092137;0,185014909494741;30;TRUE
EBA;Temp;Spatially adjusted;0,595918;;SF[a];0,151366026579716;0,129546854606618;0,17122890962395;30;TRUE
EBA;Temp;Spatially adjusted;0,616122;;SF[e];0,24684417465662;0,214614946603271;0,269496442842687;30;TRUE
EBA;Temp;Spatially adjusted;0,616122;;SF[i];0,178312029301024;0,162282606101302;0,210443855047488;30;TRUE
EBA;Temp;Spatially adjusted;0,616122;;SF[a];0,177068730046898;0,151587305918416;0,196921935700901;30;TRUE
EBA;Temp;Spatially adjusted;0,636327;;SF[e];0,268236037807959;0,236126648407262;0,291563560028161;30;TRUE
EBA;Temp;Spatially adjusted;0,636327;;SF[i];0,200621631501094;0,184091132247298;0,234031458568417;30;TRUE
EBA;Temp;Spatially adjusted;0,636327;;SF[a];0,200249425767433;0,173007222266056;0,221192562208207;30;TRUE
EBA;Temp;Spatially adjusted;0,656531;;SF[e];0,288389262766437;0,256694273409538;0,311797098369173;30;TRUE
EBA;Temp;Spatially adjusted;0,656531;;SF[i];0,221716844273106;0,20414647005508;0,255587174984718;30;TRUE
EBA;Temp;Spatially adjusted;0,656531;;SF[a];0,222006654986551;0,193792657526667;0,243952868931814;30;TRUE
EBA;Temp;Spatially adjusted;0,676735;;SF[e];0,306705494684265;0,276251822485521;0,33095819671941;30;TRUE
EBA;Temp;Spatially adjusted;0,676735;;SF[i];0,241035557921835;0,22291907281926;0,274920459223596;30;TRUE
EBA;Temp;Spatially adjusted;0,676735;;SF[a];0,242449908663286;0,213929665577385;0,265038214902211;30;TRUE
EBA;Temp;Spatially adjusted;0,696939;;SF[e];0,323418945207317;0,294755505479852;0,348417170699073;30;TRUE
EBA;Temp;Spatially adjusted;0,696939;;SF[i];0,258270096683648;0,240368685227976;0,291897658904062;30;TRUE
EBA;Temp;Spatially adjusted;0,696939;;SF[a];0,26152474234188;0,233413524371365;0,284349910153543;30;TRUE
EBA;Temp;Spatially adjusted;0,717143;;SF[e];0,339312909458252;0,312219947531997;0,363959342158462;30;TRUE
EBA;Temp;Spatially adjusted;0,717143;;SF[i];0,273570470165856;0,256560653037085;0,30661269241244;30;TRUE
EBA;Temp;Spatially adjusted;0,717143;;SF[a];0,279290105555958;0,252276408165879;0,301986656376515;30;TRUE
EBA;Temp;Spatially adjusted;0,737347;;SF[e];0,353375586279542;0,327396754050545;0,37771249793227;30;TRUE
EBA;Temp;Spatially adjusted;0,737347;;SF[i];0,286840818077792;0,271073536272304;0,319216370826866;30;TRUE
EBA;Temp;Spatially adjusted;0,737347;;SF[a];0,295833296336488;0,270559715294222;0,319871766064496;30;TRUE
EBA;Temp;Spatially adjusted;0,757551;;SF[e];0,365491964579771;0,341635876829063;0,389804424855175;30;TRUE
EBA;Temp;Spatially adjusted;0,757551;;SF[i];0,297846641425037;0,283843217390986;0,329859505225481;30;TRUE
EBA;Temp;Spatially adjusted;0,757551;;SF[a];0,311241612714438;0,288304844089693;0,33719477824288;30;TRUE
