region,response,run,term,estimate
EBA,Temp,1,(Intercept),25.0931775261414
EBA,Temp,1,TipoSF_early,0.556403760951508
EBA,Temp,1,TipoSF_intermediate,0.623852097724587
EBA,Temp,1,TipoSF_advanced,0.652144592997015
EBA,Temp,1,"ns(frac_area, df = 3)1",0.540749831212994
EBA,Temp,1,"ns(frac_area, df = 3)2",0.474700711671054
EBA,Temp,1,"ns(frac_area, df = 3)3",0.154043403965379
EBA,Temp,1,"TipoSF_early:ns(frac_area, df = 3)1",-0.841413783144959
EBA,Temp,1,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.883067984761673
EBA,Temp,1,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.87504567045305
EBA,Temp,1,"TipoSF_early:ns(frac_area, df = 3)2",-1.28028025157965
EBA,Temp,1,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.26506206240358
EBA,Temp,1,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.39525662624305
EBA,Temp,1,"TipoSF_early:ns(frac_area, df = 3)3",-0.740272301718396
EBA,Temp,1,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.749280360247469
EBA,Temp,1,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.837952684297921
EBA,Temp,2,(Intercept),25.1439764630194
EBA,Temp,2,TipoSF_early,0.575228394987704
EBA,Temp,2,TipoSF_intermediate,0.639910912654843
EBA,Temp,2,TipoSF_advanced,0.668595450558212
EBA,Temp,2,"ns(frac_area, df = 3)1",0.55012128899603
EBA,Temp,2,"ns(frac_area, df = 3)2",0.562329570247892
EBA,Temp,2,"ns(frac_area, df = 3)3",0.1649715588593
EBA,Temp,2,"TipoSF_early:ns(frac_area, df = 3)1",-0.847454329481373
EBA,Temp,2,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.851152423135041
EBA,Temp,2,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.84872776731698
EBA,Temp,2,"TipoSF_early:ns(frac_area, df = 3)2",-1.34739171960098
EBA,Temp,2,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.33036374730014
EBA,Temp,2,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.41616832648506
EBA,Temp,2,"TipoSF_early:ns(frac_area, df = 3)3",-0.796927452715562
EBA,Temp,2,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.783120992676735
EBA,Temp,2,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.855919903165655
EBA,Temp,3,(Intercept),24.8573897590594
EBA,Temp,3,TipoSF_early,0.604598047179225
EBA,Temp,3,TipoSF_intermediate,0.660111485808153
EBA,Temp,3,TipoSF_advanced,0.697086169246993
EBA,Temp,3,"ns(frac_area, df = 3)1",0.561054983216302
EBA,Temp,3,"ns(frac_area, df = 3)2",0.611690299866632
EBA,Temp,3,"ns(frac_area, df = 3)3",0.185356096621763
EBA,Temp,3,"TipoSF_early:ns(frac_area, df = 3)1",-0.900958775733394
EBA,Temp,3,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.855499218475475
EBA,Temp,3,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.904625093174991
EBA,Temp,3,"TipoSF_early:ns(frac_area, df = 3)2",-1.41133073541716
EBA,Temp,3,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.38637441038665
EBA,Temp,3,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.4843808099343
EBA,Temp,3,"TipoSF_early:ns(frac_area, df = 3)3",-0.809887956133932
EBA,Temp,3,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.798868185959865
EBA,Temp,3,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.863001498027479
EBA,Temp,4,(Intercept),24.9643646808048
EBA,Temp,4,TipoSF_early,0.601704992202645
EBA,Temp,4,TipoSF_intermediate,0.633183053827828
EBA,Temp,4,TipoSF_advanced,0.700492891336987
EBA,Temp,4,"ns(frac_area, df = 3)1",0.548236117111257
EBA,Temp,4,"ns(frac_area, df = 3)2",0.601058382281383
EBA,Temp,4,"ns(frac_area, df = 3)3",0.182084865969621
EBA,Temp,4,"TipoSF_early:ns(frac_area, df = 3)1",-0.852924234635428
EBA,Temp,4,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.837524925670476
EBA,Temp,4,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.890720421950504
EBA,Temp,4,"TipoSF_early:ns(frac_area, df = 3)2",-1.40503371535579
EBA,Temp,4,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.32598782878272
EBA,Temp,4,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.47753475070857
EBA,Temp,4,"TipoSF_early:ns(frac_area, df = 3)3",-0.775910010710938
EBA,Temp,4,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.772024557902058
EBA,Temp,4,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.874878944423702
EBA,Temp,5,(Intercept),24.9401285482533
EBA,Temp,5,TipoSF_early,0.606547759646645
EBA,Temp,5,TipoSF_intermediate,0.665342026626103
EBA,Temp,5,TipoSF_advanced,0.733775336720992
EBA,Temp,5,"ns(frac_area, df = 3)1",0.551108317992334
EBA,Temp,5,"ns(frac_area, df = 3)2",0.587246284782562
EBA,Temp,5,"ns(frac_area, df = 3)3",0.172366778917885
EBA,Temp,5,"TipoSF_early:ns(frac_area, df = 3)1",-0.850213873329511
EBA,Temp,5,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.8589519814372
EBA,Temp,5,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.890608074378109
EBA,Temp,5,"TipoSF_early:ns(frac_area, df = 3)2",-1.45029700753415
EBA,Temp,5,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.37425312410197
EBA,Temp,5,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.56480264956146
EBA,Temp,5,"TipoSF_early:ns(frac_area, df = 3)3",-0.833597590675351
EBA,Temp,5,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.792724916189883
EBA,Temp,5,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.875823021855268
EBA,Temp,6,(Intercept),24.9561681606709
EBA,Temp,6,TipoSF_early,0.616992292514822
EBA,Temp,6,TipoSF_intermediate,0.685637021579005
EBA,Temp,6,TipoSF_advanced,0.765623162931388
EBA,Temp,6,"ns(frac_area, df = 3)1",0.527441040434736
EBA,Temp,6,"ns(frac_area, df = 3)2",0.634459767906389
EBA,Temp,6,"ns(frac_area, df = 3)3",0.202637504485591
EBA,Temp,6,"TipoSF_early:ns(frac_area, df = 3)1",-0.822101536945043
EBA,Temp,6,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.83519269092584
EBA,Temp,6,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.867545081063818
EBA,Temp,6,"TipoSF_early:ns(frac_area, df = 3)2",-1.5059888332522
EBA,Temp,6,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.45062946791228
EBA,Temp,6,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.65719523793982
EBA,Temp,6,"TipoSF_early:ns(frac_area, df = 3)3",-0.861483713842363
EBA,Temp,6,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.819080378790025
EBA,Temp,6,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.943472938341976
EBA,Temp,7,(Intercept),24.925512185341
EBA,Temp,7,TipoSF_early,0.587961245780499
EBA,Temp,7,TipoSF_intermediate,0.644036027258117
