region,response,term,median_beta,lower_beta,upper_beta,mean_beta,sd_beta
EBA,Temp,(Intercept),24.9539634416706,24.8240398107714,25.1071472337829,24.9533115275735,0.0670327149272065
EBA,Temp,TipoSF_early,0.602114061581376,0.545581270231735,0.644034866848043,0.597105756599262,0.0292311119734992
EBA,Temp,TipoSF_intermediate,0.660104307276634,0.607951456594753,0.692970346582476,0.654958403567265,0.0254524546124692
EBA,Temp,TipoSF_advanced,0.716085764901578,0.654293682946429,0.768270213299094,0.712591662375257,0.0287451803961351
EBA,Temp,"ns(frac_area, df = 3)1",0.555374458979464,0.521441764206854,0.599700253308178,0.554637426777242,0.0220935434550968
EBA,Temp,"ns(frac_area, df = 3)2",0.591851808156254,0.45695332416069,0.675086273981987,0.586625376362624,0.0584347319173225
EBA,Temp,"ns(frac_area, df = 3)3",0.17287969075746,0.132071112699477,0.206875422428016,0.173641107213959,0.0196242149756159
EBA,Temp,"TipoSF_early:ns(frac_area, df = 3)1",-0.848834101405442,-0.924362970300431,-0.784920050399296,-0.851966827949603,0.0391916096181341
EBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.861091784203662,-0.928047781473249,-0.81170942132712,-0.861397205460835,0.0319582821424293
EBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.887013620363515,-0.941189919014809,-0.809847047995606,-0.882999084414623,0.0332004507831062
EBA,Temp,"TipoSF_early:ns(frac_area, df = 3)2",-1.40934233812499,-1.51065270940986,-1.25846373917638,-1.40014279974813,0.0734914661796631
EBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.36962400709867,-1.46574731626913,-1.22929223879851,-1.36288104975312,0.0674294373829416
EBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.51705427408865,-1.65955662827253,-1.3773072334523,-1.5129633655612,0.0722821518724899
EBA,Temp,"TipoSF_early:ns(frac_area, df = 3)3",-0.785737823973573,-0.84893106352154,-0.715242076778651,-0.78887770251518,0.0389271032423487
EBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.788573314111934,-0.828350141099047,-0.727277479826316,-0.78267447471085,0.0303661556418246
EBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.879743640883774,-0.946172194710308,-0.84398742098137,-0.885957009858987,0.0308097214549514
