region;response;run;status;error_message;n_cells_per_stratum;df_frac;elapsed_min
EBA;Temp;1;success;;200;3;561,01
EBA;Temp;2;success;;200;3;733,35
EBA;Temp;3;success;;200;3;523,77
EBA;Temp;4;success;;200;3;476,8
EBA;Temp;5;success;;200;3;1317,34
EBA;Temp;6;success;;200;3;639,33
EBA;Temp;7;success;;200;3;829,66
EBA;Temp;8;success;;200;3;706,54
EBA;Temp;9;success;;200;3;702,83
EBA;Temp;10;success;;200;3;1191,91
EBA;Temp;11;success;;200;3;627,71
EBA;Temp;12;success;;200;3;605,1
EBA;Temp;13;success;;200;3;1164,7
EBA;Temp;14;success;;200;3;1156,66
EBA;Temp;15;success;;200;3;594,65
EBA;Temp;16;success;;200;3;517,43
EBA;Temp;17;success;;200;3;977,25
EBA;Temp;18;success;;200;3;797,17
EBA;Temp;19;success;;200;3;832,34
EBA;Temp;20;success;;200;3;1104,52
EBA;Temp;21;success;;200;3;955,43
EBA;Temp;22;success;;200;3;788,35
EBA;Temp;23;success;;200;3;668,86
EBA;Temp;24;success;;200;3;1558,93
EBA;Temp;25;success;;200;3;647,29
EBA;Temp;26;success;;200;3;830,89
EBA;Temp;27;success;;200;3;1228,9
EBA;Temp;28;success;;200;3;1192,35
EBA;Temp;29;success;;200;3;1125,63
EBA;Temp;30;success;;200;3;688,69
