region,Tipo_cell,frac_class,n_cells_total,n_cells_21_years,prop_cells_21_years,max_years
CBA,PF,"[0,0.2]",53273,37696,0.707600473035121,21
CBA,PF,"(0.2,0.4]",40894,27974,0.6840612314765,21
CBA,PF,"(0.4,0.6]",64129,35056,0.546648162297868,21
CBA,PF,"(0.6,0.8]",87351,50025,0.57268949410997,21
CBA,PF,"(0.8,1]",824928,792777,0.961025689514721,21
CBA,SF_advanced,"[0,0.2]",29015,0,0,14
CBA,SF_advanced,"(0.2,0.4]",10852,0,0,14
CBA,SF_advanced,"(0.4,0.6]",3112,0,0,14
CBA,SF_advanced,"(0.6,0.8]",791,0,0,14
CBA,SF_advanced,"(0.8,1]",155,0,0,14
CBA,SF_early,"[0,0.2]",69349,0,0,20
CBA,SF_early,"(0.2,0.4]",5452,0,0,11
CBA,SF_early,"(0.4,0.6]",865,0,0,11
CBA,SF_early,"(0.6,0.8]",206,0,0,9
CBA,SF_early,"(0.8,1]",36,0,0,8
CBA,SF_intermediate,"[0,0.2]",55644,0,0,10
CBA,SF_intermediate,"(0.2,0.4]",12243,0,0,10
CBA,SF_intermediate,"(0.4,0.6]",2669,0,0,10
CBA,SF_intermediate,"(0.6,0.8]",626,0,0,10
CBA,SF_intermediate,"(0.8,1]",117,0,0,10
EBA,PF,"[0,0.2]",42617,19635,0.460731632916442,21
EBA,PF,"(0.2,0.4]",50513,14581,0.288658365173322,21
EBA,PF,"(0.4,0.6]",125404,18704,0.1491499473701,21
EBA,PF,"(0.6,0.8]",140477,25160,0.179104052620714,21
EBA,PF,"(0.8,1]",493826,397687,0.805318067497459,21
EBA,SF_advanced,"[0,0.2]",100461,0,0,14
EBA,SF_advanced,"(0.2,0.4]",51793,0,0,14
EBA,SF_advanced,"(0.4,0.6]",19144,0,0,14
EBA,SF_advanced,"(0.6,0.8]",5993,0,0,14
EBA,SF_advanced,"(0.8,1]",1658,0,0,14
EBA,SF_early,"[0,0.2]",221467,0,0,20
EBA,SF_early,"(0.2,0.4]",33043,0,0,16
EBA,SF_early,"(0.4,0.6]",8702,0,0,12
EBA,SF_early,"(0.6,0.8]",2788,0,0,11
EBA,SF_early,"(0.8,1]",904,0,0,13
EBA,SF_intermediate,"[0,0.2]",186341,0,0,10
EBA,SF_intermediate,"(0.2,0.4]",66231,0,0,10
EBA,SF_intermediate,"(0.4,0.6]",20536,0,0,10
EBA,SF_intermediate,"(0.6,0.8]",6036,0,0,10
EBA,SF_intermediate,"(0.8,1]",1714,0,0,10
SBA,PF,"[0,0.2]",39562,23345,0.590086446590162,21
SBA,PF,"(0.2,0.4]",47157,22916,0.485951184341667,21
SBA,PF,"(0.4,0.6]",162361,34701,0.21372743454401,21
SBA,PF,"(0.6,0.8]",207548,49662,0.239279588336192,21
SBA,PF,"(0.8,1]",1037335,864948,0.833817426385883,21
SBA,SF_advanced,"[0,0.2]",68753,0,0,14
SBA,SF_advanced,"(0.2,0.4]",13631,0,0,14
SBA,SF_advanced,"(0.4,0.6]",3916,0,0,14
SBA,SF_advanced,"(0.6,0.8]",1320,0,0,14
SBA,SF_advanced,"(0.8,1]",503,0,0,14
SBA,SF_early,"[0,0.2]",297983,0,0,20
SBA,SF_early,"(0.2,0.4]",23490,0,0,15
SBA,SF_early,"(0.4,0.6]",6321,0,0,11
SBA,SF_early,"(0.6,0.8]",2115,0,0,11
SBA,SF_early,"(0.8,1]",681,0,0,11
SBA,SF_intermediate,"[0,0.2]",182681,0,0,10
SBA,SF_intermediate,"(0.2,0.4]",25052,0,0,10
SBA,SF_intermediate,"(0.4,0.6]",7076,0,0,10
SBA,SF_intermediate,"(0.6,0.8]",2450,0,0,10
SBA,SF_intermediate,"(0.8,1]",905,0,0,10
