region;response;contrast_type;frac_plot;frac_bin;stage;median;lower;upper;n_runs
SBA;Temp;Spatially adjusted;0,01;;SF[e];-0,686082955163966;-0,725882213420969;-0,64325738982041;30
SBA;Temp;Spatially adjusted;0,01;;SF[i];-0,719613468509099;-0,783076917235566;-0,679344459483776;30
SBA;Temp;Spatially adjusted;0,01;;SF[a];-0,773902092274764;-0,863093859208101;-0,69744710515301;30
SBA;Temp;Spatially adjusted;0,030204;;SF[e];-0,65396443577413;-0,693693207440377;-0,615097177281974;30
SBA;Temp;Spatially adjusted;0,030204;;SF[i];-0,691961159359751;-0,749341404631656;-0,653865464854702;30
SBA;Temp;Spatially adjusted;0,030204;;SF[a];-0,743321797055318;-0,824472748316067;-0,673878396658552;30
SBA;Temp;Spatially adjusted;0,050408;;SF[e];-0,62408201216066;-0,662010693191146;-0,585712369590267;30
SBA;Temp;Spatially adjusted;0,050408;;SF[i];-0,665266982944942;-0,716275064805355;-0,624852570461916;30
SBA;Temp;Spatially adjusted;0,050408;;SF[a];-0,71392348612552;-0,785864106467459;-0,650233229826766;30
SBA;Temp;Spatially adjusted;0,070612;;SF[e];-0,595360017435898;-0,630266700978472;-0,556289191991413;30
SBA;Temp;Spatially adjusted;0,070612;;SF[i];-0,638423664081279;-0,685370308822826;-0,595773322405472;30
SBA;Temp;Spatially adjusted;0,070612;;SF[a];-0,68567998200343;-0,747280402705709;-0,626435146320318;30
SBA;Temp;Spatially adjusted;0,090816;;SF[e];-0,56649639179193;-0,598430491820614;-0,526808459531842;30
SBA;Temp;Spatially adjusted;0,090816;;SF[i];-0,609139100277347;-0,65433235836796;-0,567945396027475;30
SBA;Temp;Spatially adjusted;0,090816;;SF[a];-0,65778234955905;-0,708734106074239;-0,600329190211942;30
SBA;Temp;Spatially adjusted;0,11102;;SF[e];-0,535476194201671;-0,566471326735858;-0,497250987257984;30
SBA;Temp;Spatially adjusted;0,11102;;SF[i];-0,580216257563317;-0,623116815283316;-0,540491435278059;30
SBA;Temp;Spatially adjusted;0,11102;;SF[a];-0,630630638432305;-0,670237685616477;-0,571958359788737;30
SBA;Temp;Spatially adjusted;0,131224;;SF[e];-0,503299373767426;-0,534358466742471;-0,466815899808789;30
SBA;Temp;Spatially adjusted;0,131224;;SF[i];-0,550911863645201;-0,591679281411444;-0,512794693711073;30
SBA;Temp;Spatially adjusted;0,131224;;SF[a];-0,600976968890708;-0,638299152963868;-0,54281376596154;30
SBA;Temp;Spatially adjusted;0,151429;;SF[e];-0,470613586040195;-0,501663864013448;-0,435395592655237;30
SBA;Temp;Spatially adjusted;0,151429;;SF[i];-0,522014803353025;-0,559975358594899;-0,48480661516301;30
SBA;Temp;Spatially adjusted;0,151429;;SF[a];-0,568720744862443;-0,606082081671981;-0,511552234416896;30
SBA;Temp;Spatially adjusted;0,171633;;SF[e];-0,439357899276211;-0,46852075116666;-0,403979981576734;30
SBA;Temp;Spatially adjusted;0,171633;;SF[i];-0,493323501823563;-0,52796064867624;-0,455629124867519;30
SBA;Temp;Spatially adjusted;0,171633;;SF[a];-0,537055854256799;-0,573453457041229;-0,480279997908322;30
SBA;Temp;Spatially adjusted;0,191837;;SF[e];-0,407011253266074;-0,435185429273638;-0,372569737441147;30
SBA;Temp;Spatially adjusted;0,191837;;SF[i];-0,463874400820393;-0,495590753498021;-0,424080870173135;30
SBA;Temp;Spatially adjusted;0,191837;;SF[a];-0,50568864399988;-0,540354485737494;-0,448995527155254;30
SBA;Temp;Spatially adjusted;0,212041;;SF[e];-0,374476089348107;-0,403673111567104;-0,341165531116342;30
SBA;Temp;Spatially adjusted;0,212041;;SF[i];-0,431436131465233;-0,462821274902793;-0,392384942342231;30
SBA;Temp;Spatially adjusted;0,212041;;SF[a];-0,474624305147078;-0,506726374426647;-0,417697292877131;30
SBA;Temp;Spatially adjusted;0,232245;;SF[e];-0,342631402262398;-0,371825558761923;-0,30976803347019;30
SBA;Temp;Spatially adjusted;0,232245;;SF[i];-0,398506888139368;-0,429607814733115;-0,360524933248536;30
SBA;Temp;Spatially adjusted;0,232245;;SF[a];-0,442057931582909;-0,472782388433401;-0,386383765793389;30
SBA;Temp;Spatially adjusted;0,252449;;SF[e];-0,310792488210497;-0,338911693995065;-0,278377915370544;30
SBA;Temp;Spatially adjusted;0,252449;;SF[i];-0,366170251396145;-0,395556211445765;-0,328484434765763;30
SBA;Temp;Spatially adjusted;0,252449;;SF[a];-0,40929952331571;-0,439458132245666;-0,355053416623468;30
SBA;Temp;Spatially adjusted;0,272653;;SF[e];-0,278573197623038;-0,306918228859168;-0,245425785728221;30
SBA;Temp;Spatially adjusted;0,272653;;SF[i];-0,332581554847492;-0,360530306985807;-0,296247038767635;30
SBA;Temp;Spatially adjusted;0,272653;;SF[a];-0,377053601127553;-0,406242141975324;-0,324985480386053;30
SBA;Temp;Spatially adjusted;0,292857;;SF[e];-0,244919600909064;-0,274218752231146;-0,212384561321367;30
SBA;Temp;Spatially adjusted;0,292857;;SF[i];-0,29844435914923;-0,324813899216177;-0,263796337127873;30
SBA;Temp;Spatially adjusted;0,292857;;SF[a];-0,342273929400419;-0,371417299818643;-0,294992864400375;30
SBA;Temp;Spatially adjusted;0,313061;;SF[e];-0,211928341493643;-0,240712711200457;-0,179475878440176;30
SBA;Temp;Spatially adjusted;0,313061;;SF[i];-0,263741951111054;-0,28835387249767;-0,231115921720199;30
SBA;Temp;Spatially adjusted;0,313061;;SF[a];-0,307155861817487;-0,334879384918815;-0,264610784339113;30
SBA;Temp;Spatially adjusted;0,333265;;SF[e];-0,178393017274221;-0,206342494024042;-0,146709204336462;30
SBA;Temp;Spatially adjusted;0,333265;;SF[i];-0,228433958422974;-0,251097111191078;-0,197745674749604;30
SBA;Temp;Spatially adjusted;0,333265;;SF[a];-0,272078009852751;-0,299979447566168;-0,233297226869062;30
SBA;Temp;Spatially adjusted;0,353469;;SF[e];-0,144311640936762;-0,171095121062483;-0,11410762796455;30
SBA;Temp;Spatially adjusted;0,353469;;SF[i];-0,192514989577587;-0,21400304762951;-0,163168550380619;30
