region,response,run,term,estimate
SBA,Temp,1,(Intercept),24.972772576187
SBA,Temp,1,TipoSF_early,0.678265325267142
SBA,Temp,1,TipoSF_intermediate,0.718095426558264
SBA,Temp,1,TipoSF_advanced,0.762550266151754
SBA,Temp,1,"ns(frac_area, df = 3)1",0.647955877049122
SBA,Temp,1,"ns(frac_area, df = 3)2",0.659072498246148
SBA,Temp,1,"ns(frac_area, df = 3)3",0.245970616979153
SBA,Temp,1,"TipoSF_early:ns(frac_area, df = 3)1",-0.962591565361911
SBA,Temp,1,"TipoSF_intermediate:ns(frac_area, df = 3)1",-1.03227688090599
SBA,Temp,1,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.9829064695679
SBA,Temp,1,"TipoSF_early:ns(frac_area, df = 3)2",-1.56077637819325
SBA,Temp,1,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.57351067708123
SBA,Temp,1,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.64964948198361
SBA,Temp,1,"TipoSF_early:ns(frac_area, df = 3)3",-0.870974105438158
SBA,Temp,1,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.933510013980254
SBA,Temp,1,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.977491918854463
SBA,Temp,2,(Intercept),25.0710360984262
SBA,Temp,2,TipoSF_early,0.627812302046164
SBA,Temp,2,TipoSF_intermediate,0.714811922976503
SBA,Temp,2,TipoSF_advanced,0.733080172573268
SBA,Temp,2,"ns(frac_area, df = 3)1",0.660967484273954
SBA,Temp,2,"ns(frac_area, df = 3)2",0.549148982336543
SBA,Temp,2,"ns(frac_area, df = 3)3",0.202114571375953
SBA,Temp,2,"TipoSF_early:ns(frac_area, df = 3)1",-0.969319443606956
SBA,Temp,2,"TipoSF_intermediate:ns(frac_area, df = 3)1",-1.0562855139444
SBA,Temp,2,"TipoSF_advanced:ns(frac_area, df = 3)1",-1.02943244588795
SBA,Temp,2,"TipoSF_early:ns(frac_area, df = 3)2",-1.43816714197001
SBA,Temp,2,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.5499749846653
SBA,Temp,2,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.4834197945826
SBA,Temp,2,"TipoSF_early:ns(frac_area, df = 3)3",-0.827860191669284
SBA,Temp,2,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.930615162194304
SBA,Temp,2,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.954760400741453
SBA,Temp,3,(Intercept),24.9576691013654
SBA,Temp,3,TipoSF_early,0.667579544539619
SBA,Temp,3,TipoSF_intermediate,0.686842233040954
SBA,Temp,3,TipoSF_advanced,0.66879931421624
SBA,Temp,3,"ns(frac_area, df = 3)1",0.576497413228084
SBA,Temp,3,"ns(frac_area, df = 3)2",0.617824635099771
SBA,Temp,3,"ns(frac_area, df = 3)3",0.202453959478313
SBA,Temp,3,"TipoSF_early:ns(frac_area, df = 3)1",-0.870274135675079
SBA,Temp,3,"TipoSF_intermediate:ns(frac_area, df = 3)1",-0.953554158630866
SBA,Temp,3,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.897857407361024
SBA,Temp,3,"TipoSF_early:ns(frac_area, df = 3)2",-1.55922421598426
SBA,Temp,3,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.55007126186179
SBA,Temp,3,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.44381116372927
SBA,Temp,3,"TipoSF_early:ns(frac_area, df = 3)3",-0.815518898093305
SBA,Temp,3,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.8767450436788
SBA,Temp,3,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.907025422470243
SBA,Temp,4,(Intercept),24.9837472410342
SBA,Temp,4,TipoSF_early,0.656255013742204
SBA,Temp,4,TipoSF_intermediate,0.682013649686627
SBA,Temp,4,TipoSF_advanced,0.743937002837267
SBA,Temp,4,"ns(frac_area, df = 3)1",0.651463705439436
SBA,Temp,4,"ns(frac_area, df = 3)2",0.620148682298406
SBA,Temp,4,"ns(frac_area, df = 3)3",0.219344079351033
SBA,Temp,4,"TipoSF_early:ns(frac_area, df = 3)1",-0.968869002241627
SBA,Temp,4,"TipoSF_intermediate:ns(frac_area, df = 3)1",-1.01746760165888
SBA,Temp,4,"TipoSF_advanced:ns(frac_area, df = 3)1",-0.998164615603737
SBA,Temp,4,"TipoSF_early:ns(frac_area, df = 3)2",-1.48586475093341
SBA,Temp,4,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.49459586810212
SBA,Temp,4,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.58509401946673
SBA,Temp,4,"TipoSF_early:ns(frac_area, df = 3)3",-0.842426354278654
SBA,Temp,4,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.954821123266244
SBA,Temp,4,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.990274026527597
SBA,Temp,5,(Intercept),24.8936018500469
SBA,Temp,5,TipoSF_early,0.678870551924348
SBA,Temp,5,TipoSF_intermediate,0.718439959643126
SBA,Temp,5,TipoSF_advanced,0.753334416687183
SBA,Temp,5,"ns(frac_area, df = 3)1",0.687968481554538
SBA,Temp,5,"ns(frac_area, df = 3)2",0.585624328108653
SBA,Temp,5,"ns(frac_area, df = 3)3",0.208638310701768
SBA,Temp,5,"TipoSF_early:ns(frac_area, df = 3)1",-1.02915938794124
SBA,Temp,5,"TipoSF_intermediate:ns(frac_area, df = 3)1",-1.0807878858018
SBA,Temp,5,"TipoSF_advanced:ns(frac_area, df = 3)1",-1.08948541921535
SBA,Temp,5,"TipoSF_early:ns(frac_area, df = 3)2",-1.48050410020644
SBA,Temp,5,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.53295152033418
SBA,Temp,5,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.5194486617779
SBA,Temp,5,"TipoSF_early:ns(frac_area, df = 3)3",-0.843747428018952
SBA,Temp,5,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.919930335789687
SBA,Temp,5,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.959649984110035
SBA,Temp,6,(Intercept),25.0081333861259
SBA,Temp,6,TipoSF_early,0.661065609477335
SBA,Temp,6,TipoSF_intermediate,0.707071346717291
SBA,Temp,6,TipoSF_advanced,0.761216841265253
SBA,Temp,6,"ns(frac_area, df = 3)1",0.651599519242037
SBA,Temp,6,"ns(frac_area, df = 3)2",0.607736715842983
SBA,Temp,6,"ns(frac_area, df = 3)3",0.201462275035169
SBA,Temp,6,"TipoSF_early:ns(frac_area, df = 3)1",-0.965960816539068
SBA,Temp,6,"TipoSF_intermediate:ns(frac_area, df = 3)1",-1.00519384801408
SBA,Temp,6,"TipoSF_advanced:ns(frac_area, df = 3)1",-1.01975019494988
SBA,Temp,6,"TipoSF_early:ns(frac_area, df = 3)2",-1.50177083902553
SBA,Temp,6,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.53104245574512
SBA,Temp,6,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.59187187783717
SBA,Temp,6,"TipoSF_early:ns(frac_area, df = 3)3",-0.822614098188582
SBA,Temp,6,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.898875239392568
SBA,Temp,6,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.940075305762959
SBA,Temp,7,(Intercept),24.9558369487129
SBA,Temp,7,TipoSF_early,0.704006641327613
SBA,Temp,7,TipoSF_intermediate,0.745397745062191
SBA,Temp,7,TipoSF_advanced,0.772630653579689
