region,response,term,median_beta,lower_beta,upper_beta,mean_beta,sd_beta
SBA,Temp,(Intercept),24.9609456035772,24.8249722840797,25.0721887511147,24.9575244470058,0.0626822480266029
SBA,Temp,TipoSF_early,0.686082955163966,0.643257389820411,0.725882213420969,0.684798854822912,0.0267787126946292
SBA,Temp,TipoSF_intermediate,0.719613468509099,0.679344459483775,0.783076917235567,0.727877566050096,0.0292586238492475
SBA,Temp,TipoSF_advanced,0.773902092274763,0.69744710515301,0.863093859208101,0.77520471968453,0.0419453588669368
SBA,Temp,"ns(frac_area, df = 3)1",0.665666930939497,0.597115698139322,0.730591826755551,0.666245229404486,0.0347867997589754
SBA,Temp,"ns(frac_area, df = 3)2",0.651393955353181,0.560994504330374,0.738642512242805,0.653388084989564,0.0519570226824357
SBA,Temp,"ns(frac_area, df = 3)3",0.22618879238632,0.174330851352308,0.262233090257806,0.222390910172711,0.024088939244844
SBA,Temp,"TipoSF_early:ns(frac_area, df = 3)1",-0.987387487243029,-1.05821426176997,-0.882773450171057,-0.983037210929329,0.0464538586237899
SBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)1",-1.02608824691304,-1.11296970211869,-0.939964604352584,-1.02756541810997,0.0484192392327762
SBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)1",-1.02826560042255,-1.12616921785408,-0.893539900637974,-1.03237704488267,0.0578628993032271
SBA,Temp,"TipoSF_early:ns(frac_area, df = 3)2",-1.55974913522963,-1.65330206396468,-1.46886143669142,-1.55724568499301,0.0563199432459046
SBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)2",-1.59309184245469,-1.72113089614653,-1.50117829228989,-1.60094064910899,0.0636868912446385
SBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)2",-1.64230712084336,-1.86498365186082,-1.47252742109793,-1.63717785376191,0.0986095584232244
SBA,Temp,"TipoSF_early:ns(frac_area, df = 3)3",-0.860395655711871,-0.9284414664437,-0.81226036602395,-0.865395856302915,0.035156194974668
SBA,Temp,"TipoSF_intermediate:ns(frac_area, df = 3)3",-0.953703874772057,-1.02635095263225,-0.883242934616293,-0.950029740918724,0.037272870078927
SBA,Temp,"TipoSF_advanced:ns(frac_area, df = 3)3",-0.98818184602566,-1.05057835623196,-0.908597416856357,-0.985543212461337,0.0429664706747442
