region;response;run;status;error_message;n_cells_per_stratum;df_frac;elapsed_min
SBA;Temp;1;success;;200;3;1284,65
SBA;Temp;2;success;;200;3;726,38
SBA;Temp;3;success;;200;3;1343,79
SBA;Temp;4;success;;200;3;1263,43
SBA;Temp;5;success;;200;3;658,13
SBA;Temp;6;success;;200;3;1382,15
SBA;Temp;7;success;;200;3;741,51
SBA;Temp;8;success;;200;3;706,57
SBA;Temp;9;success;;200;3;1327,1
SBA;Temp;10;success;;200;3;498,8
SBA;Temp;11;success;;200;3;813,83
SBA;Temp;12;success;;200;3;899,46
SBA;Temp;13;success;;200;3;1305,65
SBA;Temp;14;success;;200;3;1000,37
SBA;Temp;15;success;;200;3;1274,25
SBA;Temp;16;success;;200;3;671,66
SBA;Temp;17;success;;200;3;1297,23
SBA;Temp;18;success;;200;3;1070,35
SBA;Temp;19;success;;200;3;643,12
SBA;Temp;20;success;;200;3;1321,52
SBA;Temp;21;success;;200;3;1242,9
SBA;Temp;22;success;;200;3;1385,78
SBA;Temp;23;success;;200;3;929,76
SBA;Temp;24;success;;200;3;643,5
SBA;Temp;25;success;;200;3;871,1
SBA;Temp;26;success;;200;3;705,54
SBA;Temp;27;success;;200;3;663,12
SBA;Temp;28;success;;200;3;1267,94
SBA;Temp;29;success;;200;3;1068,65
SBA;Temp;30;success;;200;3;1169,35
