region;response;run;CCC;RMSE;MAE;Bias;R2;Residual_SD;n_eval;n_cells_per_stratum;selected_cells;rows_model;n_unique_cells
SBA;Temp;1;0,93757237944156;0,364218925384051;0,265644890214831;-3,29565408118953e-13;0,883083882647186;0,36422087687224;93319;200;3836;93319;3836
SBA;Temp;2;0,936094629497386;0,369884112776505;0,267522649188903;6,7268981551243e-13;0,88049847932883;0,369886119259545;92173;200;3812;92173;3812
SBA;Temp;3;0,937013776326254;0,375088558194335;0,270483917043679;-1,15625611362371e-12;0,882110347713672;0,375090589603655;92323;200;3829;92323;3829
SBA;Temp;4;0,93739821456577;0,364201497523851;0,264352984343296;3,57762845330134e-13;0,882779869784901;0,364203469906799;92326;200;3804;92326;3804
SBA;Temp;5;0,935479049031362;0,373167115088844;0,269602822398874;1,85030126264244e-14;0,879426180624096;0,373169152288568;91589;200;3797;91589;3797
SBA;Temp;6;0,937150605262005;0,370157306999207;0,26842065841469;3,62028802486832e-13;0,88234277508612;0,370159287228372;93464;200;3834;93464;3834
SBA;Temp;7;0,936644811388899;0,370997381810774;0,269871834485878;1,99013704435313e-12;0,881461070737842;0,370999390888957;92331;200;3811;92331;3811
SBA;Temp;8;0,936778158845385;0,368216925869646;0,266743824838769;-1,75543226189933e-14;0,881692320469005;0,368218902867968;93126;200;3829;93126;3829
SBA;Temp;9;0,935808964256239;0,363693857118775;0,264981412444587;-7,14911934044626e-13;0,879993401075578;0,363695791038217;94031;200;3844;94031;3844
SBA;Temp;10;0,938385251107789;0,366301761992612;0,266492332874091;-1,45497586578017e-14;0,884512753210364;0,366303744740472;92373;200;3820;92373;3820
SBA;Temp;11;0,938245351816925;0,365990622153151;0,266025657935445;-3,25557423583294e-14;0,884264636654414;0,365992591279166;92933;200;3824;92933;3824
SBA;Temp;12;0,935382843514916;0,37101201643399;0,26992428979631;-3,82943768251009e-13;0,879258062009918;0,37101403573932;91867;200;3810;91867;3810
SBA;Temp;13;0,937171039849295;0,367911896480438;0,267410996847317;-3,22947284033382e-13;0,882387182300606;0,367913916237606;91079;200;3789;91079;3789
SBA;Temp;14;0,936300627363213;0,365526812250111;0,266335347853762;-1,08789068626485e-13;0,880860279208337;0,365528786230114;92587;200;3824;92587;3824
SBA;Temp;15;0,936689404972229;0,370182137795816;0,268355815563909;4,77301522658785e-13;0,881535183331988;0,370184129280425;92942;200;3813;92942;3813
SBA;Temp;16;0,935787487446247;0,370960382913815;0,26838874960934;4,87179411747765e-13;0,879954477371489;0,37096235492728;94057;200;3838;94057;3838
SBA;Temp;17;0,936716537341636;0,365417537480816;0,26443377239278;-1,25547652507295e-12;0,881582996352517;0,365419491162171;93521;200;3843;93521;3843
SBA;Temp;18;0,937943356603348;0,365052365876657;0,266273757328854;2,25910337116834e-13;0,883735997240148;0,365054330398531;92912;200;3828;92912;3828
SBA;Temp;19;0,937781293010768;0,367461075756028;0,267283649654339;2,10825583485901e-14;0,883449363879919;0,367463052963677;92925;200;3819;92925;3819
SBA;Temp;20;0,937320339138641;0,369368734754587;0,268975296682083;6,64040517337641e-13;0,882643148240552;0,369370721051179;92980;200;3829;92980;3829
SBA;Temp;21;0,936793747594583;0,365527682069681;0,264573828999685;5,03204820015529e-13;0,881713458641453;0,365529633272914;93668;200;3812;93668;3812
SBA;Temp;22;0,93938596077185;0,36509769750754;0,267047594922231;-3,01268502585204e-13;0,886273277342937;0,365099670448719;92527;200;3825;92527;3825
SBA;Temp;23;0,934022640521128;0,373025543505045;0,270909358835158;-6,52617075665983e-14;0,876879381718475;0,37302754918586;92993;200;3816;92993;3816
SBA;Temp;24;0,937670263398559;0,367650157287127;0,267337405169459;1,7051382674957e-14;0,883253994708949;0,367652139800451;92724;200;3810;92724;3810
SBA;Temp;25;0,935296285628456;0,368827670588898;0,266874491545356;7,05144184855195e-13;0,879105107554277;0,368829668176973;92319;200;3822;92319;3822
SBA;Temp;26;0,937045890375041;0,369861004703701;0,268523010654389;-2,87725988583849e-12;0,882161104087029;0,369862995038901;92915;200;3830;92915;3830
SBA;Temp;27;0,936683693934407;0,368108384010016;0,269098460878387;1,83443933388144e-13;0,881525811933023;0,368110367176298;92809;200;3818;92809;3818
SBA;Temp;28;0,937303849690728;0,367846138574354;0,267784590779393;-1,29823063555135e-13;0,88261209196521;0,367848119260715;92859;200;3816;92859;3816
SBA;Temp;29;0,93618715980446;0,368336514565359;0,266667562907108;8,38399955407778e-13;0,88064969418909;0,368338480405479;93685;200;3802;93685;3802
SBA;Temp;30;0,935583360054565;0,371028651519201;0,269327769231506;1,87416814405176e-13;0,879605800000543;0,371030654821704;92605;200;3821;92605;3821
