region;response;Lon;Lat;spatial_median;spatial_mean;spatial_sd;n_runs
SBA;Temp;-73,9246785394294;-7,56917248259413;-1,34761137861477;-1,34761137861477;;1
SBA;Temp;-73,9068761964716;-7,43422809189234;-1,38988495912218;-1,38988495912218;;1
SBA;Temp;-73,8000621387249;-7,54218360445377;-1,4012820723936;-1,4012820723936;;1
SBA;Temp;-73,7466551098516;-7,69512058058247;-1,47730973201038;-1,47730973201038;;1
SBA;Temp;-73,7199515954149;-7,71311316600937;-1,6376467786807;-1,6376467786807;;1
SBA;Temp;-73,6932480809782;-7,1553430177753;-1,28139981071149;-1,28139981071149;;1
SBA;Temp;-73,6576433950626;-6,84047277280446;-1,08105270088691;-1,08105270088691;;1
SBA;Temp;-73,630939880626;-6,84946906551791;-0,965771004036429;-0,965771004036429;;1
SBA;Temp;-73,6220387091471;-7,4612169700327;-1,32986452769782;-1,32986452769782;;1
SBA;Temp;-73,6220387091471;-7,18233189591566;-1,07528499576455;-1,07528499576455;;1
SBA;Temp;-73,6131375376682;-7,39824292103853;-1,34258547710181;-1,34258547710181;;1
SBA;Temp;-73,6042363661893;-7,44322438460579;-1,11153727152371;-1,11153727152371;0,0442990065859602;2
SBA;Temp;-73,5953351947104;-7,71311316600937;-1,2652387478818;-1,2652387478818;;1
SBA;Temp;-73,5953351947104;-7,45222067731924;-1,1718450285487;-1,1718450285487;0,0701697577683321;2
SBA;Temp;-73,5953351947104;-7,44322438460579;-1,04627018720812;-1,04627018720812;;1
SBA;Temp;-73,5953351947104;-7,03839121250042;-1,2127558176051;-1,2127558176051;;1
SBA;Temp;-73,5864340232315;-7,40723921375198;-1,10603166133808;-1,10603166133808;;1
SBA;Temp;-73,5775328517526;-7,62315023887484;-1,28089031597412;-1,28089031597412;;1
SBA;Temp;-73,5775328517526;-7,48820584817305;-1,1915778616943;-1,16588542556719;0,0904441675536848;3
SBA;Temp;-73,5775328517526;-7,47021326274615;-1,28740910725065;-1,28740910725065;;1
SBA;Temp;-73,5597305087948;-7,47021326274615;-1,23338992867409;-1,23338992867409;;1
SBA;Temp;-73,5508293373159;-7,51519472631341;-1,1369897206157;-1,1369897206157;;1
SBA;Temp;-73,5508293373159;-7,39824292103853;-1,05909881250646;-1,05909881250646;;1
SBA;Temp;-73,541928165837;-7,9740056546995;-1,28680492925446;-1,28680492925446;;1
SBA;Temp;-73,5330269943582;-7,45222067731924;-1,20649556561475;-1,20649556561475;0,0224937418315097;2
SBA;Temp;-73,5241258228793;-7,4972021408865;-1,06040793891141;-1,06040793891141;;1
SBA;Temp;-73,5241258228793;-7,45222067731924;-1,31421870265346;-1,31421870265346;;1
SBA;Temp;-73,5241258228793;-7,03839121250042;-1,18125217105765;-1,18125217105765;;1
SBA;Temp;-73,5152246514004;-7,4612169700327;-1,25890894314775;-1,25890894314775;;1
SBA;Temp;-73,5063234799215;-8,07296487454748;-1,1840522063362;-1,1840522063362;;1
SBA;Temp;-73,5063234799215;-7,71311316600937;-1,04085788791257;-1,04085788791257;;1
SBA;Temp;-73,4885211369637;-7,65913540972865;-1,06915042736429;-1,06915042736429;;1
SBA;Temp;-73,4885211369637;-7,59616136073449;-1,0291435746053;-1,0291435746053;;1
SBA;Temp;-73,4796199654848;-6,82248018737755;-0,984466817750615;-0,984466817750615;;1
SBA;Temp;-73,4707187940059;-7,4792095554596;-1,07338117765518;-1,07338117765518;;1
SBA;Temp;-73,4707187940059;-7,47021326274615;-1,10990788748306;-1,10990788748306;;1
SBA;Temp;-73,4707187940059;-7,19132818862911;-1,02924884458892;-1,02924884458892;;1
SBA;Temp;-73,4707187940059;-7,08337267606768;-1,08810614824247;-1,08810614824247;;1
SBA;Temp;-73,461817622527;-7,62315023887484;-1,22062106157577;-1,22062106157577;;1
SBA;Temp;-73,461817622527;-7,40723921375198;-1,03914446655335;-1,03914446655335;;1
SBA;Temp;-73,4529164510481;-7,68612428786901;-1,163231838793;-1,163231838793;;1
SBA;Temp;-73,4529164510481;-7,3262725793309;-0,964295265535783;-0,964295265535783;;1
SBA;Temp;-73,4529164510481;-7,21831706676947;-1,20823941960728;-1,20823941960728;;1
SBA;Temp;-73,4529164510481;-6,90344682179863;-1,11054521627879;-1,11054521627879;;1
SBA;Temp;-73,4440152795692;-7,42523179917888;-1,13784623501523;-1,13784623501523;;1
SBA;Temp;-73,4351141080903;-8,30686848509725;-1,38768718407769;-1,38768718407769;;1
SBA;Temp;-73,4351141080903;-8,18991667982236;-1,49822441378811;-1,49822441378811;;1
SBA;Temp;-73,4173117651326;-7,55117989716722;-1,03292629182039;-1,03292629182039;;1
SBA;Temp;-73,4173117651326;-7,38924662832507;-1,06002437043875;-1,06002437043875;;1
SBA;Temp;-73,4173117651326;-7,09236896878113;-1,09511160311614;-1,09511160311614;;1
SBA;Temp;-73,4084105936537;-7,85705384942461;-1,28290311899369;-1,28290311899369;;1
SBA;Temp;-73,4084105936537;-7,47021326274615;-1,03293909493549;-1,03293909493549;0,0342963692677444;2
SBA;Temp;-73,4084105936537;-7,45222067731924;-1,27115677536558;-1,27115677536558;;1
SBA;Temp;-73,3995094221748;-7,41623550646543;-1,13707361048876;-1,13707361048876;;1
SBA;Temp;-73,3906082506959;-7,4612169700327;-1,22217572542644;-1,22217572542644;;1
SBA;Temp;-73,3906082506959;-6,91244311451208;-0,992175438722988;-0,992175438722988;;1
SBA;Temp;-73,381707079217;-7,79407980043045;-1,37680638137161;-1,37680638137161;;1
SBA;Temp;-73,381707079217;-7,4612169700327;-1,20780457222014;-1,20780457222014;;1
SBA;Temp;-73,3728059077381;-7,77608721500354;-1,16639248450775;-1,16639248450775;;1
SBA;Temp;-73,3728059077381;-7,76709092229009;-1,24837955981263;-1,24837955981263;;1
SBA;Temp;-73,3728059077381;-7,4972021408865;-1,0359828274621;-1,0359828274621;;1
SBA;Temp;-73,3639047362592;-8,32486107052416;-1,32770371237069;-1,32770371237069;;1
SBA;Temp;-73,3639047362592;-7,73110575143628;-1,17831550711604;-1,17831550711604;;1
SBA;Temp;-73,3639047362592;-7,4612169700327;-1,08603702799474;-1,08603702799474;;1
SBA;Temp;-73,3550035647803;-7,98300194741295;-1,16394744303607;-1,16394744303607;;1
SBA;Temp;-73,3372012218225;-8,06396858183403;-1,03088640986915;-1,03088640986915;;1
SBA;Temp;-73,3372012218225;-7,70411687329592;-1,15317369018657;-1,15317369018657;;1
SBA;Temp;-73,3372012218225;-7,12835413963494;-1,34225393048325;-1,34225393048325;;1
SBA;Temp;-73,3283000503436;-8,25289072881653;-1,3064552237754;-1,3064552237754;;1
SBA;Temp;-73,3283000503436;-7,43422809189234;-1,0449363839821;-1,0449363839821;;1
SBA;Temp;-73,3193988788647;-8,25289072881653;-1,30468715609168;-1,30468715609168;0,0348880972001126;2
SBA;Temp;-73,3193988788647;-8,24389443610308;-1,33450066958591;-1,33450066958591;;1
SBA;Temp;-73,3193988788647;-8,00099453283986;-1,22247319176011;-1,22247319176011;0,00375938540520612;2
SBA;Temp;-73,3193988788647;-7,70411687329592;-1,25125358633846;-1,25125358633846;;1
SBA;Temp;-73,3193988788647;-7,53318731174032;-1,02538443854777;-1,02538443854777;;1
SBA;Temp;-73,3104977073858;-8,24389443610308;-1,16614889385632;-1,13580852215285;0,0902820860372069;3
SBA;Temp;-73,3104977073858;-7,45222067731924;-1,01018084939429;-1,01018084939429;;1
SBA;Temp;-73,3015965359069;-8,2978721923838;-1,20266433489292;-1,20266433489292;;1
SBA;Temp;-73,3015965359069;-7,65913540972865;-1,38997753427012;-1,38997753427012;;1
SBA;Temp;-73,3015965359069;-7,42523179917888;-0,959876979266994;-0,959876979266994;;1
SBA;Temp;-73,3015965359069;-7,37125404289817;-1,06572326162106;-1,06572326162106;;1
SBA;Temp;-73,3015965359069;-7,16433931048875;-1,19448011419751;-1,19448011419751;;1
SBA;Temp;-73,2837941929492;-8,24389443610308;-1,46213820164118;-1,46213820164118;0,0201323137575375;2
SBA;Temp;-73,2837941929492;-8,16292780168201;-1,20236289594229;-1,20236289594229;;1
SBA;Temp;-73,2748930214703;-7,4792095554596;-1,21288089022118;-1,21288089022118;;1
SBA;Temp;-73,2748930214703;-7,29028740847709;-0,98323780527403;-0,98323780527403;;1
SBA;Temp;-73,2659918499914;-8,44181287579904;-1,54293788690348;-1,54293788690348;;1
SBA;Temp;-73,2570906785125;-8,43281658308559;-1,4544515062272;-1,4544515062272;;1
SBA;Temp;-73,2570906785125;-7,92902419113224;-1,03460805001094;-1,03460805001094;;1
SBA;Temp;-73,2570906785125;-7,84805755671116;-1,07747969186344;-1,07747969186344;;1
SBA;Temp;-73,2570906785125;-7,38924662832507;-1,19948750597845;-1,19948750597845;;1
SBA;Temp;-73,2570906785125;-7,38025033561162;-1,14316261999193;-1,14316261999193;;1
SBA;Temp;-73,2570906785125;-7,35326145747126;-1,20711191485695;-1,20711191485695;;1
SBA;Temp;-73,2481895070336;-8,25289072881653;-1,34754483539936;-1,34754483539936;;1
SBA;Temp;-73,2481895070336;-7,06538009064078;-1,18160492957557;-1,18160492957557;;1
SBA;Temp;-73,2481895070336;-6,78649501652374;-0,995752838662725;-0,995752838662725;;1
SBA;Temp;-73,2392883355547;-8,2978721923838;-1,11925162087334;-1,11925162087334;;1
SBA;Temp;-73,2392883355547;-7,92902419113224;-1,03341295095059;-1,03341295095059;;1
SBA;Temp;-73,2392883355547;-7,65913540972865;-1,107276520353;-1,107276520353;;1
SBA;Temp;-73,2303871640758;-7,38924662832507;-1,1629366055893;-1,1629366055893;;1
SBA;Temp;-73,2214859925969;-8,24389443610308;-1,26347391561728;-1,26347391561728;;1
SBA;Temp;-73,2214859925969;-7,90203531299188;-1,10585401741861;-1,10585401741861;;1
SBA;Temp;-73,2214859925969;-7,88404272756497;-1,04132964293041;-1,04132964293041;;1
SBA;Temp;-73,2214859925969;-7,41623550646543;-1,18875518841946;-1,18875518841946;;1
SBA;Temp;-73,2214859925969;-7,12835413963494;-0,976863005281391;-0,976863005281391;;1
SBA;Temp;-73,2214859925969;-6,85846535823136;-1,04500684617942;-1,04500684617942;;1
SBA;Temp;-73,212584821118;-7,90203531299188;-1,15690731551769;-1,15690731551769;;1
SBA;Temp;-73,212584821118;-7,56017618988067;-1,09544468965305;-1,09544468965305;;1
SBA;Temp;-73,212584821118;-7,20932077405602;-1,04004107804698;-1,04004107804698;;1
SBA;Temp;-73,2036836496391;-8,639731315495;-1,22215731653654;-1,22215731653654;;1
SBA;Temp;-73,2036836496391;-7,89303902027843;-1,13502678658629;-1,13502678658629;;1
SBA;Temp;-73,2036836496391;-7,88404272756497;-1,02581163502015;-1,02581163502015;;1
SBA;Temp;-73,2036836496391;-7,18233189591566;-0,911655468462201;-0,911655468462201;;1
SBA;Temp;-73,1947824781602;-7,90203531299188;-1,26575390078156;-1,26575390078156;;1
SBA;Temp;-73,1947824781602;-6,831476480091;-1,00344236646049;-1,00344236646049;;1
SBA;Temp;-73,1858813066813;-8,60374614464119;-1,18008673531155;-1,18008673531155;;1
SBA;Temp;-73,1858813066813;-8,21690555796273;-0,979019433823197;-0,979019433823197;;1
SBA;Temp;-73,1769801352025;-8,639731315495;-1,19364973042269;-1,19364973042269;;1
SBA;Temp;-73,1769801352025;-7,71311316600937;-1,23172984821695;-1,23172984821695;;1
SBA;Temp;-73,1769801352025;-7,27229482305019;-1,08460682909979;-1,08460682909979;;1
SBA;Temp;-73,1680789637236;-7,89303902027843;-1,24496221821528;-1,24496221821528;;1
SBA;Temp;-73,1502766207658;-7,62315023887484;-1,15192513539853;-1,15192513539853;;1
SBA;Temp;-73,1413754492869;-7,42523179917888;-0,955607533364685;-0,955607533364685;;1
SBA;Temp;-73,132474277808;-8,00999082555331;-1,06180766542995;-1,06180766542995;;1
SBA;Temp;-73,132474277808;-7,22731335948292;-0,942188927221352;-0,942188927221352;;1
SBA;Temp;-73,132474277808;-7,10136526149459;-1,01718580096568;-1,01718580096568;;1
SBA;Temp;-73,1235731063291;-8,64872760820845;-1,20732495280379;-1,20732495280379;;1
SBA;Temp;-73,1235731063291;-7,8210686785708;-1,2205910821782;-1,2205910821782;;1
SBA;Temp;-73,1235731063291;-7,52419101902686;-0,98123736746374;-0,98123736746374;;1
SBA;Temp;-73,1235731063291;-7,42523179917888;-1,09396176094965;-1,09396176094965;;1
SBA;Temp;-73,1235731063291;-7,22731335948292;-0,886665594094097;-0,886665594094097;;1
SBA;Temp;-73,1146719348502;-9,36843102528467;-1,32803639412891;-1,32803639412891;;1
SBA;Temp;-73,1146719348502;-7,90203531299188;-1,22171520605965;-1,22171520605965;;1
SBA;Temp;-73,1146719348502;-7,42523179917888;-1,06013028997251;-1,06013028997251;;1
SBA;Temp;-73,1146719348502;-7,25430223762328;-1,16499204765472;-1,15569150747487;0,029899648910754;4
SBA;Temp;-73,1057707633713;-8,24389443610308;-1,06621947161071;-1,06621947161071;;1
SBA;Temp;-73,1057707633713;-7,92902419113224;-0,956017417690723;-0,956017417690723;;1
