region;response;Ano;median;lower;upper;n_runs
SBA;Temp;2001;-0,606437546812713;-0,619546711545402;-0,592008949677455;30
SBA;Temp;2002;0,0461037561462107;0,0332529153825675;0,0585561581494662;30
SBA;Temp;2003;-0,593401935427455;-0,606703858533877;-0,588359461812406;30
SBA;Temp;2004;-0,642218904883979;-0,65716708539901;-0,631460066708078;30
SBA;Temp;2005;-0,149480705120336;-0,165296795464313;-0,140919716467449;30
SBA;Temp;2006;-0,43692417191492;-0,445247952711873;-0,427859734403514;30
SBA;Temp;2007;-0,201204460110284;-0,211097039701646;-0,189795617888;30
SBA;Temp;2008;-0,127160602589845;-0,134477701994395;-0,117924633839604;30
SBA;Temp;2009;-0,3417966075787;-0,349766939457425;-0,328976555765227;30
SBA;Temp;2010;0,169612141090624;0,16029711322656;0,177893531392105;30
SBA;Temp;2011;0,141876225145053;0,133956966226448;0,151553437581335;30
SBA;Temp;2012;-0,0114217942867705;-0,0192333007763301;-0,00273186508588894;30
SBA;Temp;2013;-0,207529514566338;-0,21489612547937;-0,198409519576429;30
SBA;Temp;2014;0,0918882548536107;0,0866488389040883;0,101099468002918;30
SBA;Temp;2015;0,749789610038165;0,739690355913303;0,758185117027842;30
SBA;Temp;2016;0,502270683137946;0,490783208586771;0,511723606664169;30
SBA;Temp;2017;0,347466748132482;0,339339907201993;0,355933267634518;30
SBA;Temp;2018;-0,103609713874802;-0,110815029198626;-0,0952342977901429;30
SBA;Temp;2019;0,36021757061422;0,353023371203407;0,367775482346845;30
SBA;Temp;2020;0,715435692025636;0,702315735358639;0,724921412711706;30
SBA;Temp;2021;0,300365302690338;0,28217708696885;0,309068255559433;30
